,Adventist movement (Sunday observing),African traditional religions Ethnic,Ahl-i Hadith,Anglican,Armenian Apostolic Church,Baptist,Brotherhood of the Cross and Star,Buddhist,Byzantine Rite,Catholic,Chinese traditional religion,Church of Sweden,Confucianists,Cypriot Orthodox Church,Druze,Dutch Reformed Church,Eastern Orthodox,Ethiopian Orthodox Tewahedo Church,Ethnic religions excluding some in separate,Evangelical,Evangelical Church of the Augsburg Confession in,Evangelical Lutheran Church of Brazil,Evangelicalism,Free Church,Greek Byzantine Catholic Church,Hinduism,Hoahaoism,Iglesia ni Cristo (Church of Christ),Islam,Jainism,Jehovah's Witnesses,Judaism,Maronite Church,Methodist,Mormons,Netherlands Reformed Churches,Orthodox,Orthodox Church of Greece,Orthodox Church of Ukraine,Other Christian,Other syncretists,Pentecostal and Charismatic,Presbyterianism,Protestant,Protestant Churches without free churches,Reformed Church in Romania,Roman Catholic; Latin Church;,Russian Orthodox Church,Serbian Orthodox Church,Seventh-day Adventist Church,Shia,Sikhism,Slovak Greek Catholic Church,Spiritism,Sunni,Taoism (Han Chinese),The African Church,United Evangelical Church in Nigeria,Vietnam Ancestral worshipping / Tradition,Vodou,Yiguandao,Zion Christian Church
Adventist movement (Sunday observing),0.0,0.043019301677676224,0.17713415863174597,0.11345381443842095,0.0658576416254611,0.057248645891582184,0.15459159031091543,0.046081293582006445,0.03725994846682207,0.050675266452710005,0.06965523228344662,0.1488460867240335,0.05409518244079106,0.029252026533985547,0.0483563202882617,0.03702995831036658,0.08292971694409357,0.039695877262901816,0.04260002834359197,0.056840286758629475,0.03433412145880582,0.03219685373678874,0.15100220523240027,0.09544418892533514,0.033261017555389336,0.09511352704651849,0.15141204690538926,0.06601796850027264,0.07042600637938645,0.14205480461824674,0.05240573131421714,0.08379270634887792,0.04977348771817124,0.08250392497151245,0.04619049647585296,0.029658522343476944,0.023774685591436303,0.0357585161798546,0.039944256583423994,0.03558849789609209,0.1708866946348293,0.10088450741735012,0.10663543073417385,0.07450451134088051,0.05344022230072491,0.0644665871781935,0.08828377950212986,0.03612380398477927,0.034995664282686176,0.06423211877314482,0.1377541872025241,0.07324789634298552,0.036543048826415396,0.03070011068190863,0.04123384234652044,0.040843455727783966,0.07418679558631085,0.2863720859538069,0.15447676381644035,0.06546936540527894,0.06137134769323745,0.17348043754159495
African traditional religions Ethnic,0.043019301677676224,0.0,0.2015406576539095,0.10296247195444391,0.06257821244722496,0.07878114779369695,0.17763468680611819,0.050196183127136924,0.06027182343050758,0.03126798836352184,0.03554317165113386,0.12700962700778934,0.027485882370060017,0.06685961904693835,0.06639721593339555,0.044281812930829195,0.07260088283717382,0.10627292638918114,0.07126961476551522,0.05145194690233262,0.06930405293581193,0.09267361880350528,0.11227317858777035,0.08754488336990497,0.0765277345527596,0.08573674517483267,0.11118276743705792,0.08283198646810147,0.08078625645353715,0.1379329795971238,0.05305028863339151,0.07012820389282165,0.07397105192728619,0.060573038952905736,0.05508226918910189,0.03552967386839436,0.02247364687250199,0.06575709443434775,0.05501731679688077,0.06180000976210655,0.1832912890431482,0.10903984121345323,0.08308522841232599,0.06691682253076169,0.08123414140283505,0.03013531934557367,0.09417909201494819,0.05833117506608011,0.05983330424988576,0.07565629522043814,0.11679457702220795,0.07836253897193556,0.06460281976983655,0.0400897803591214,0.053137711631597945,0.03816483223960435,0.05090642640633329,0.2966897001386446,0.124880449664866,0.031671449338143504,0.04167186390761633,0.18770526060850468
Ahl-i Hadith,0.17713415863174597,0.2015406576539095,0.0,0.12316157809613563,0.13524108898379186,0.10030342372084514,0.09960547832256463,0.14111384114267825,0.15342306318466448,0.14775404994258248,0.22034734705206802,0.14908553226712298,0.16774866586619078,0.1900700563735763,0.15758467676943957,0.21267253319782733,0.11945227676764349,0.19857686276143133,0.17629267897540302,0.12720018583587536,0.18074862837507336,0.17791061151764467,0.18874222301816934,0.12452848435223969,0.1779288051855023,0.12535468003556996,0.20216958662187043,0.09234738123478098,0.07061764154344247,0.08958377644719688,0.1308707639330936,0.13181927137403068,0.1728296939939334,0.16429198748814167,0.12112755889362983,0.19872434256488805,0.18981569433503342,0.16967853086655132,0.18284998856495577,0.11188204087904634,0.08852310107116315,0.09211259562037183,0.15222742526747887,0.1147933184660473,0.22809197100571948,0.2219672123853694,0.10844061082446656,0.17915382612662498,0.19350377525606716,0.1088654924041655,0.13633713601895672,0.12520362906970792,0.1779784534067059,0.1729691535216023,0.10816953062752803,0.17308906690755085,0.13837700051121038,0.38321782882554073,0.142593798644296,0.22203113733332092,0.1824091589552291,0.0940720339332909
Anglican,0.11345381443842095,0.10296247195444391,0.12316157809613563,0.0,0.06382713216109137,0.05132265650670145,0.11426794974628411,0.05996414788791692,0.10844202319251607,0.055773776937996226,0.11135473425858547,0.05859845400893914,0.0806840384492897,0.12256248382177926,0.10306248840869377,0.10368575485287891,0.042249308522807054,0.17222358124007153,0.10804572997095878,0.046650193351217235,0.11914826539808028,0.15028338277575198,0.09178754631105836,0.041856382550140285,0.13459720505451053,0.037070719861074374,0.10673172040348387,0.06133040500811432,0.050818662961905126,0.06129624814160702,0.049216804423232625,0.04131633276667009,0.12702651979001625,0.04930233411508803,0.05013320105813848,0.10053179136684846,0.10395163697300319,0.10876208666380205,0.10680527853618352,0.0638746069743049,0.10575736801819581,0.06161124802710903,0.025539586209324772,0.037238423649616985,0.13034671657650757,0.1250280018182391,0.032313733823678685,0.11181020010031217,0.11621739100842078,0.048202961627113065,0.08441232577038672,0.06311302024951185,0.12725192073204625,0.08000464317418592,0.0757647431864206,0.07999466106937911,0.05309775012502408,0.4322136181648065,0.0821904498801253,0.12248133230715041,0.07287718977603135,0.10807395525683289
Armenian Apostolic Church,0.0658576416254611,0.06257821244722496,0.13524108898379186,0.06382713216109137,0.0,0.041300875984244693,0.0914046361869092,0.03673039715415802,0.06690223878084088,0.02649462912374409,0.08142177379722355,0.08087414074456171,0.03345172228432012,0.06592452759963709,0.07118097808740982,0.07037912910954287,0.02335632443123787,0.10760523543582313,0.06594768633108991,0.03847958769702173,0.0710623315580545,0.0992562375813156,0.11555966048310641,0.049824976619512344,0.0885616289156058,0.047358983904290095,0.1080031185037975,0.037916628006751316,0.03894017163103409,0.06101494383775546,0.02689749737684488,0.04046474542083156,0.08584918435603149,0.05884227240800753,0.04294044483886564,0.0667434462832705,0.0480843756128337,0.05913872195769903,0.05813413963355725,0.04397196931553931,0.09233535213818654,0.04812618758340253,0.064536486857546,0.034004757642424784,0.09231388187383212,0.07725448329867178,0.05086351013435319,0.060898148035532514,0.06706148437243706,0.04726905767183897,0.10008374040244787,0.04307011608585242,0.0754123444183936,0.04921539616328146,0.04053526062274783,0.051638928118439516,0.052636563433164474,0.3668832226985092,0.08812731096236287,0.08413173192785565,0.06216888979438323,0.09866273764508084
Baptist,0.057248645891582184,0.07878114779369695,0.10030342372084514,0.05132265650670145,0.041300875984244693,0.0,0.09105952463344444,0.028186742045391785,0.057468525791386456,0.04156645234283258,0.10475943233184,0.0775581834002022,0.061531724291627204,0.07065546305280652,0.07017381347246886,0.07890116098628157,0.031020071830209075,0.08797060577632543,0.06002272541431009,0.02467667812113748,0.06730064636317223,0.07456419738458316,0.10672968427206768,0.038765225169975125,0.06699269682394605,0.040394764910217505,0.10756177598044846,0.019193749351871427,0.020566221682447768,0.05660059587818132,0.02214883817292445,0.04313476618149358,0.08061742279512926,0.054466614210909856,0.01517934886705038,0.07178212644743961,0.06466190321210258,0.06107257341442819,0.06852748607906549,0.025157903168262784,0.09722831197271653,0.040009916727997155,0.05893194560432125,0.025428742071922757,0.09005540522204758,0.10393419538286969,0.02483265641368557,0.0657532089780496,0.07451200354200456,0.017106603716676282,0.08257809414977481,0.029530178708655434,0.0787828383179413,0.043250188264872286,0.03519390427430812,0.05330389880139216,0.03528984922113222,0.4600971082826088,0.08098137858191214,0.11000797935490357,0.059693054444459985,0.10149208674432374
Brotherhood of the Cross and Star,0.15459159031091543,0.17763468680611819,0.09960547832256463,0.11426794974628411,0.0914046361869092,0.09105952463344444,0.0,0.13492104236984645,0.14728027063194332,0.1217205879783701,0.21133006360669496,0.13239563150862851,0.1429000907224153,0.17199954226084907,0.15760423868702642,0.19542556632817376,0.09692462551712824,0.1692673266242935,0.1590304598147043,0.1155155389650235,0.16917222306538607,0.16178670518016527,0.1931226053345831,0.09060166064730911,0.16224537237010703,0.10924403768572935,0.20490547847536417,0.06579379039748633,0.0839213459690806,0.06229088456356205,0.1037755810644718,0.12169163817858653,0.17144368178588307,0.156384204813444,0.11526863537234269,0.181729264095129,0.1671440259221374,0.15892768310703292,0.17204032255316168,0.11720000120124954,0.038345511573383326,0.032245644946030425,0.14902069720809474,0.09015952956203499,0.20767481473265156,0.20590288217007618,0.10090040059937569,0.16979151456468727,0.18045979521027947,0.10466015849787376,0.15430274105947334,0.12835711129000263,0.16484200757885048,0.15327754434037408,0.1197538594377547,0.16490487655926014,0.13252212244483527,0.3382960926845434,0.15991140029019635,0.1989389868958282,0.17484514450834482,0.025183938358465257
Buddhist,0.046081293582006445,0.050196183127136924,0.14111384114267825,0.05996414788791692,0.03673039715415802,0.028186742045391785,0.13492104236984645,0.0,0.036640434270782,0.030055170326090536,0.06257059872541355,0.07615846412995675,0.03477677183693053,0.04393774457638159,0.04244107419982774,0.04076714789086954,0.03416483244322544,0.08564508497230229,0.0301347345601038,0.024308866151287037,0.037299419151547365,0.06732336339727957,0.0910913264308854,0.05462613381877728,0.052243069425613575,0.0497028336142571,0.08368199562891417,0.04321003684866606,0.036179581961877864,0.08298701085869709,0.027449300148977326,0.03493252711365055,0.05530630657268051,0.039846589726273245,0.02579551938625654,0.04202683619427358,0.037142952072173156,0.033513163819241666,0.031719731972522355,0.02111821027539523,0.14071157146856408,0.07172634360478215,0.05258874947094202,0.033012428753872586,0.05186562818963881,0.07622643056576905,0.03723399797492678,0.031209678431628123,0.03680566517991182,0.03084200046979148,0.09090604411545071,0.02784290256293873,0.04908575912677482,0.028570653982668247,0.03213033451710219,0.017971205864608524,0.04077988920272202,0.4062464625304274,0.07807613390838454,0.08022965464414777,0.03161340871515958,0.14379687690729467
Byzantine Rite,0.03725994846682207,0.06027182343050758,0.15342306318466448,0.10844202319251607,0.06690223878084088,0.057468525791386456,0.14728027063194332,0.036640434270782,0.0,0.06466439121867082,0.08368624917123467,0.14281050239581478,0.06518940712333332,0.027648834751659714,0.025607934198650772,0.050747636946234236,0.0825872528123398,0.05387797623785646,0.025865557338005378,0.07247793764850839,0.018060846463587965,0.040809987594843236,0.15025940673565175,0.10394515668821842,0.026706024896645728,0.10000185710315451,0.14346513758829132,0.06858409457508617,0.0677712470582483,0.13485255520117553,0.06937547166744905,0.07246904185163067,0.030758038502681037,0.08838419686914187,0.06256666291183131,0.04781956239318392,0.04237787934067506,0.02403033414392788,0.018651603880761532,0.039970038498679535,0.16647382625082366,0.10581013385270564,0.10781151237474164,0.08450199844165213,0.04638043010003276,0.09110664473542644,0.08498430227137896,0.015316677241072283,0.025266045217035554,0.07111565246644608,0.14139796642173724,0.07002234937721541,0.01803036006026475,0.055956266155010904,0.0487868298854702,0.042884837413885386,0.08763406473513176,0.2543926491770628,0.1475272055885993,0.08919507524758935,0.07516023537898021,0.16484072908847405
Catholic,0.050675266452710005,0.03126798836352184,0.14775404994258248,0.055773776937996226,0.02649462912374409,0.04156645234283258,0.1217205879783701,0.030055170326090536,0.06466439121867082,0.0,0.0451991797926432,0.0758988577152062,0.018057318092454495,0.06826964969103942,0.06642582028356389,0.04872962991025847,0.027631412201800987,0.1152999269151681,0.06149407403163946,0.02274977540360694,0.07274740939407225,0.09593423164976683,0.09663834874280594,0.039337547017327425,0.08485434256030325,0.04456986423741614,0.09907429410091426,0.03877387998742229,0.039686805667137816,0.07737322664081038,0.019922858540727322,0.03497275292212852,0.0784679387329737,0.0394583218347107,0.028727203839973445,0.041095934857015515,0.03471555875223288,0.05789585574124439,0.05860482323273724,0.03936682134950629,0.11840223887880941,0.05647069235196484,0.05037785548609376,0.02530255306961913,0.08616438408875034,0.045324916452372924,0.048126342900983235,0.0617780802146555,0.06593029827544339,0.03858991830623984,0.09229542038070286,0.04973654029356401,0.07625073163967146,0.03206935110419136,0.03523325649864296,0.03045583396703378,0.032140998175000345,0.3999191726344516,0.08860991678851901,0.052580293485353244,0.035416042927984226,0.12422108627302082
