,Adventist movement (Sunday observing),African traditional religions Ethnic,Ahl-i Hadith,Anglican,Armenian Apostolic Church,Baptist,Brotherhood of the Cross and Star,Buddhist,Byzantine Rite,Catholic,Chinese traditional religion,Church of Sweden,Confucianists,Cypriot Orthodox Church,Druze,Dutch Reformed Church,Eastern Orthodox,Ethiopian Orthodox Tewahedo Church,Ethnic religions excluding some in separate,Evangelical,Evangelical Church of the Augsburg Confession in,Evangelical Lutheran Church of Brazil,Evangelicalism,Free Church,Greek Byzantine Catholic Church,Hindu,Hoahaoism,Iglesia ni Cristo (Church of Christ),Islam,Jainism,Jehovah's Witnesses,Judaism,Maronite Church,Methodist,Mormons,Netherlands Reformed Churches,Orthodox,Orthodox Church of Greece,Orthodox Church of Ukraine,Other Christian,Other syncretists,Pentecostal and Charismatic,Presbyterianism,Protestant,Protestant Churches without free churches,Reformed Church in Romania,Roman Catholic; Latin Church;,Russian Orthodox Church,Serbian Orthodox Church,Seventh-day Adventist Church,Shia,Sikhism,Slovak Greek Catholic Church,Spiritism,Sunni,Taoism (Han Chinese),The African Church,United Evangelical Church in Nigeria,Vietnam Ancestral worshipping / Tradition,Vodou,Yiguandao,Zion Christian Church
Metaphysics,0.059036864783192644,0.049150856264759665,0.12293936729812559,0.054115313144647875,0.047008810281197515,0.05883945617683621,0.10015784010032262,0.04981209913487429,0.06713453925731803,0.04504918797566623,0.06400377417154178,0.0781971200177969,0.046286996133603854,0.05845377606819598,0.05984784844836215,0.04875871422313595,0.05434996617238382,0.09046844123454464,0.06434387433191939,0.04385833135514762,0.06519666556234939,0.06960535767127618,0.10325332837376812,0.061433743217954036,0.061942563000109425,0.0985064619897195,0.09878505358109972,0.0660003031937033,0.05199039888076402,0.05828095079533861,0.043698098881870075,0.06945716897954592,0.06592854791896181,0.06218598637915397,0.04717143481281301,0.04712061582724715,0.04464689756339749,0.05530610511306661,0.06429082141348567,0.039607311343512815,0.10062929789859247,0.07479725253868731,0.06680663027216685,0.05074677783761058,0.07004125486882616,0.054377996886297686,0.07270305710654115,0.06664587613561661,0.06539443984474567,0.050336902793501295,0.08888013419968017,0.044793969321172286,0.07349187189423237,0.05150395469726398,0.05321296529824497,0.054313763408312905,0.04747467143546741,0.213645990813949,0.08299449357496946,0.0563587088674678,0.04894914470797133,0.10421692692674377
Cosmology,0.08724717187810882,0.08549661553030304,0.1834009285049192,0.09899161324775606,0.07890715485077683,0.07530146770485723,0.20344583573454497,0.06948387015104612,0.07549569577520211,0.06310622720385434,0.0798808870099201,0.14922062800575192,0.06920640732995523,0.085568340619152,0.0815859969895898,0.09219057450775771,0.08465715165258127,0.1013633382283165,0.08056994358710312,0.0745608981587669,0.08973476331374242,0.09029944990489713,0.11762103017370995,0.10696692059890885,0.09041980477450427,0.0732242845456659,0.19534750929310007,0.07881708432697562,0.06860981805017884,0.17392458495123006,0.0694730173638973,0.08625183256421527,0.08908160618983178,0.07277540344716965,0.06566993097786203,0.0918890288805224,0.10064778945456274,0.08171099313154405,0.08339023491354668,0.06663781632566797,0.28928516073731403,0.12024047099030116,0.09797731641898509,0.0799688126818808,0.08682941182788415,0.08135431522965712,0.08422670333830039,0.08942925941752108,0.08948769321968829,0.08180516984377505,0.173855705411241,0.08269174688240301,0.09354468271197192,0.08889375467784279,0.06864570032258085,0.0833184243930124,0.07270949310357717,0.42343330977965193,0.12750439412932754,0.09022589610915978,0.08626635591278953,0.23885439812038448
Anthropology,0.07300149767271083,0.07589518947262046,0.0971106326349518,0.06621406618499771,0.08003881428615339,0.0554365888363752,0.15062000726345662,0.05768372766328471,0.06464850335913876,0.05595072504105155,0.10524593735177395,0.11084914591449252,0.06335572552872917,0.06916567635606038,0.06339154944059336,0.08117426404880408,0.06563295198475315,0.086266280375229,0.07328423308109316,0.06305929856654856,0.06424932242383714,0.06531984356867977,0.08773674814447888,0.100323775365115,0.05537212743557726,0.068411019686687,0.09125855329227169,0.06628274715472751,0.056207696569692,0.08274594050082994,0.058189164056768834,0.056387589630081746,0.06725339714923527,0.07323760343414097,0.05750838550955089,0.08015834855799203,0.05775150561815052,0.061039651097070255,0.06734240602743523,0.059075290123001466,0.12722505637497203,0.09182170952691064,0.06852770422207577,0.05873735712494401,0.08716745988646259,0.09072196902322165,0.05433598090623053,0.06386585992349096,0.07001692914297225,0.06199125554783007,0.07416798017608224,0.06611901941866108,0.08099717748177478,0.05576600974014177,0.05882150691637942,0.06576743891584114,0.07912273098906814,0.41470787720950203,0.08757079190973983,0.11665211009043944,0.07916667327774254,0.1358364605228336
Soteriology,0.06868818034375745,0.09099260812331814,0.3043476576745105,0.07889736289757847,0.07013784349364025,0.08198020383542026,0.14151480854739237,0.0658507510594454,0.09425274732398599,0.07458621127807621,0.127391422862846,0.10046107967200307,0.09982496133533453,0.08151719330719097,0.10094200500515225,0.08644262240948991,0.07491471533846165,0.13945728967863735,0.08962665940462052,0.06733190632822568,0.09412294943343712,0.14967248852134218,0.18604828162763154,0.08254628016241657,0.1358020801801842,0.07559169249824231,0.1877965677362956,0.10626768706267144,0.0925291002520166,0.09520529032734419,0.07492749960916667,0.08608127109109642,0.11115761287933909,0.10803418251106728,0.06553812749939635,0.07627446021529517,0.08586853805949199,0.08270140765050421,0.082829048627323,0.07652936708016742,0.15566723462055806,0.0931145803395676,0.11156116210865705,0.07057095213282703,0.0902795894637367,0.12238164964351535,0.07444251478805285,0.08046022050421829,0.07844961817132735,0.06862961908903178,0.12772913588076626,0.07859012668989943,0.08929413237866324,0.07725013089242524,0.07940607920056576,0.07215298533850893,0.08003975603467182,0.44101985910207453,0.11059749078360796,0.1658828543233089,0.09882947942410114,0.17978827450280147
Ethics & Morality,0.08307595273578558,0.07872835012396515,0.16334122935924497,0.10215182367656496,0.07085847038205315,0.062066740830889526,0.1376932233762887,0.05917735418092351,0.0897984056854939,0.06274346359396434,0.08748165093297851,0.1204308718183935,0.06593784424969897,0.10670239837405146,0.09860246580394759,0.09412625724573781,0.07400803177548808,0.1405650756850407,0.0887522187007813,0.06162716616953687,0.0974388685119341,0.10463804610458934,0.11208593023578109,0.0874348433377624,0.10140275894680936,0.09308129590765941,0.09786160616553136,0.07242800038219671,0.07592566458518797,0.1339024672020481,0.05919150781319463,0.08126412612532292,0.11856266772505986,0.06821639515069214,0.05781255393347476,0.08634003573959495,0.07592805517186284,0.09825677177241869,0.08553264543945886,0.06555496262286456,0.16356729443763615,0.09628054902872482,0.08253368901051988,0.07196749253997871,0.1262260241832004,0.10396946402919809,0.07794456904426153,0.09042002761996404,0.09706687331512696,0.06809976318595039,0.10600199168777434,0.06723294260941459,0.08980143484939042,0.07049911669129756,0.0664862866620156,0.06764026811733494,0.06957182425527289,0.3923923068714437,0.11903929609320982,0.08766454311370298,0.066339848971098,0.14647534157077247
Praxis,0.04646740102830977,0.045301486552372774,0.05652665703598645,0.13417845685460078,0.038293704396011145,0.057715896049193936,0.1102675171033694,0.035633493445339996,0.043991069564604184,0.03951699247561612,0.05059930588289084,0.061036620807467745,0.03682890306261766,0.04378041026956902,0.046000945502870726,0.04307407538068472,0.047904975508065314,0.05137137882585421,0.043291742643442134,0.04122704140395435,0.040767819566902695,0.05171142549584123,0.07157182391984312,0.05257045002580182,0.0437875111333113,0.08031938942026288,0.07359089121010544,0.05584324748225813,0.040557963698363515,0.08120747548608206,0.04374972375859723,0.050366558909238156,0.047253202510974104,0.04171300419886662,0.053121513990912965,0.04326727018972813,0.04412695831816555,0.04285761359179244,0.04958171951582545,0.03739183365119024,0.09099078148859366,0.06497810901581964,0.07427198389924948,0.04284371575319563,0.04568121674911067,0.04243743441170789,0.07473161550228033,0.043170156236057,0.04639957547230328,0.06024577781487821,0.0816388548554531,0.05315811530703562,0.05073621955017709,0.03783441957622146,0.03675435328719063,0.04171892068167361,0.05250458558236233,0.20010167935840806,0.06624972451425035,0.050587740363924695,0.040990461831391246,0.12215787081729648
Epistemology,0.11295395795942785,0.17520048783984898,0.21181663650243118,0.10758917766010936,0.07303207748643921,0.07749466456079057,0.1686989044220178,0.0801989924864341,0.09189780127974681,0.09208888008666895,0.1350863831003866,0.14352763127997964,0.12366241095141015,0.10537582482109263,0.09851469347759981,0.10647194858973606,0.08206017183925456,0.15970067847359418,0.13291914664133728,0.07770942849850296,0.11755973827140419,0.12963093512278565,0.14915284410544583,0.10348956053351997,0.12006266870301067,0.08447139111907813,0.20684177165342585,0.08173255455603823,0.08136787896659228,0.1597018636720191,0.08448792067132434,0.09734148665032676,0.12422122787098439,0.08529379430171886,0.07434207377382542,0.10549491000060643,0.12643018139679088,0.09562850234067345,0.09766033910645558,0.07491424689249754,0.21181663650243118,0.10176520359362248,0.10543976259483602,0.08346003027886324,0.12770880736090529,0.2586444711376431,0.09020354453118319,0.09970870084368595,0.11889247311987566,0.08592714147691491,0.19646903451085138,0.07510251484526351,0.11649382617604814,0.10621945710606198,0.09694033128801577,0.12105501115958014,0.09222532217527848,0.47451087681344,0.1853673705614111,0.21087621381265462,0.08917064625431821,0.21181663650243118
Ecclesiology,0.10419564109851773,0.08354252626720454,0.1562562360282334,0.07943222769949682,0.08813549572657144,0.09322565262065592,0.09486828164305663,0.06553044927605743,0.07459781412660062,0.07670844390737928,0.0842568859969381,0.11215909115700812,0.0770210067291036,0.07410059363687621,0.1024139547660808,0.07930988316878676,0.07971894461306972,0.15569250542625587,0.07514385438392097,0.07652167639457479,0.08309752503518812,0.16192521325794973,0.19016048880898312,0.07562484562013837,0.11561158420244046,0.06846253543766098,0.19489300301273765,0.06638846682811145,0.08521584229144293,0.07451930838362847,0.07319413367740925,0.0700130244324412,0.1024035047084489,0.09694621687687734,0.09309890449750748,0.07694788837262932,0.0715340638480045,0.09416056031806061,0.07939904222704575,0.06771657987748998,0.08779536534481487,0.08241081918652952,0.0931357450611529,0.0704905138308864,0.11379865216743186,0.08350862966192302,0.08457590893123859,0.07690116422505013,0.07732125649036606,0.07742896041623232,0.18999789928967137,0.10423115918321744,0.10315334094457558,0.06842693684820059,0.08164601703655007,0.06666376894480916,0.09852943640339593,0.3210477001932107,0.22101518120729924,0.08341826681834999,0.08326741340426552,0.1021406480089749
Eschatology,0.049759604887542004,0.0740101720966666,0.19480940948720674,0.08461696336744086,0.06193609419386953,0.06878723746559265,0.20477947234171812,0.04771001642601394,0.06579573208038747,0.0634392425189971,0.1162496974974578,0.08623367120587809,0.08578326606547396,0.04959805394507273,0.07079832395353498,0.05967948421802907,0.06517086620020165,0.11075272979806661,0.0708690315053773,0.04930202896383169,0.06725988530953193,0.1385236050390649,0.15288026784743766,0.06540886420388102,0.12112026233652916,0.07986914671620982,0.15288026784743766,0.09513106395517869,0.0680781415004547,0.06019140934012792,0.059231778297190556,0.07189920044540035,0.08325997925419784,0.09513032484699242,0.04775416003424486,0.04909541588504049,0.06782406576601127,0.0545419643196316,0.05296942734733846,0.05779609212706446,0.1480980077718317,0.10053499977773486,0.10531657299367986,0.05394075705873678,0.06013974950223742,0.11013146333071054,0.06927624782545659,0.04822637285348288,0.04843180773986488,0.048829994740942066,0.10010925261199217,0.05018853340955209,0.057666016573419646,0.05300273894107,0.06605783491312382,0.054823088462389716,0.06031086928061076,0.27735428655430056,0.08627956894168055,0.11079601103191619,0.07206851939242945,0.18036131260655974
Exclusivity,0.1007338284843671,0.152393595596968,0.16481388583091092,0.10658382572335852,0.07696226916236078,0.07390707617583664,0.14201622736990024,0.07188809861967262,0.08239088507809283,0.11180659404091914,0.21585890127214075,0.12645503639856678,0.11431874316195441,0.09398005889043232,0.09929389202256025,0.11318282764467592,0.07788862330814753,0.10192933719463071,0.10396354600710367,0.06987041747368279,0.09592289560101822,0.10872364813291996,0.12174940510120773,0.09278188283950244,0.10433644409219012,0.07734807606886838,0.11303453166267229,0.07214457034431292,0.07649665051182174,0.13626921127837802,0.0720755530480658,0.08943665436834773,0.1107253534881738,0.09798779774153558,0.07278409924113813,0.12973561894123434,0.09983860753261402,0.09707340955063823,0.08051894718566302,0.068959814034132,0.16517778352214604,0.09197646213006835,0.10981855788133216,0.07699628588955201,0.10475004337891516,0.20153971114238084,0.08847316757815993,0.08538195572310134,0.10022815937613269,0.07921866693570227,0.17532578211531877,0.1050017213621926,0.1006592672937677,0.09015501745500952,0.11715787607048543,0.09899595481185688,0.08702335531752464,0.41532203778187693,0.124832917726433,0.2132917708455819,0.10167992410365612,0.17100212058026806
