,Adventist movement (Sunday observing),African traditional religions Ethnic,Ahl-i Hadith,Anglican,Armenian Apostolic Church,Baptist,Brotherhood of the Cross and Star,Buddhist,Byzantine Rite,Catholic,Chinese traditional religion,Church of Sweden,Confucianists,Cypriot Orthodox Church,Druze,Dutch Reformed Church,Eastern Orthodox,Ethiopian Orthodox Tewahedo Church,Ethnic religions excluding some in separate,Evangelical,Evangelical Church of the Augsburg Confession in,Evangelical Lutheran Church of Brazil,Evangelicalism,Free Church,Greek Byzantine Catholic Church,Hindu,Hoahaoism,Iglesia ni Cristo (Church of Christ),Islam,Jainism,Jehovah's Witnesses,Judaism,Maronite Church,Methodist,Mormons,Netherlands Reformed Churches,Orthodox,Orthodox Church of Greece,Orthodox Church of Ukraine,Other Christian,Other syncretists,Pentecostal and Charismatic,Presbyterianism,Protestant,Protestant Churches without free churches,Reformed Church in Romania,Roman Catholic; Latin Church;,Russian Orthodox Church,Serbian Orthodox Church,Seventh-day Adventist Church,Shia,Sikhism,Slovak Greek Catholic Church,Spiritism,Sunni,Taoism (Han Chinese),The African Church,United Evangelical Church in Nigeria,Vietnam Ancestral worshipping / Tradition,Vodou,Yiguandao,Zion Christian Church
Adventist movement (Sunday observing),0.0,0.013548267565394494,0.24667885820760654,0.12472497199719249,0.09076312627441409,0.08884229897373087,0.2869777185132392,0.041162649214890844,0.016803005515646605,0.03545478533258336,0.014359518642555233,0.22262058137176205,0.04311321763265791,0.012659136687691702,0.019647108355880672,0.024788999038697808,0.11721029785113579,0.024006960832184208,0.016842485874622976,0.08075442324620943,0.012462350431607778,0.009689296923773934,0.14224539930370922,0.1548273147321803,0.010466089183422577,0.09548808785656482,0.19116042866350139,0.0936668155381684,0.07921551206503875,0.26073304420077387,0.07615988400847498,0.10737011239367145,0.013525137882703106,0.06467095642970919,0.06666526546878888,0.020006633696622013,0.017895580102268015,0.020759183199203196,0.018422314832193316,0.030978531715797113,0.39270677579207514,0.1754470725629733,0.11059465314283479,0.11061494337530395,0.01785768789693535,0.012216084915369598,0.11601437291673485,0.01649489469835783,0.013043800302172812,0.09986280258910167,0.21645349191267255,0.09055681333527787,0.012621058005917543,0.03420832879182359,0.027199507148373315,0.025147183205244263,0.07341097672047783,0.2999521665617048,0.17414445484517546,0.007177472689768522,0.04681411844743433,0.3294196468307482
African traditional religions Ethnic,0.013548267565394494,0.0,0.2492321738249788,0.1238206558332298,0.09383030866395733,0.08899609276204798,0.2894207817191985,0.03791344141228641,0.01710305265847071,0.03201798820127947,0.006592681176372672,0.22259300325524983,0.04086566654810563,0.007036966428920566,0.01640501327031548,0.01320918177057268,0.11651251902202467,0.024385601766474946,0.010274061219298391,0.07790192256662365,0.007797507356269713,0.016729163246600693,0.14305492020233287,0.15250877243826744,0.00875958951790077,0.09201096495212668,0.18932052404020233,0.09240681398162756,0.0783922121154052,0.2611820382105305,0.07312624612952823,0.10927444555616743,0.007935005013727223,0.0636360865673902,0.06493809718671158,0.011043056421925948,0.020435512342377796,0.014813536296885813,0.008413868229044594,0.02922245314880768,0.3952600914094474,0.1769668568967767,0.11152565414877565,0.11136008451759856,0.0102985568666797,0.01042579340351231,0.11568031568341768,0.009801357051043773,0.00691955254852413,0.10187947363535507,0.2195876515966139,0.08904766850532767,0.00583602959876086,0.03838934763144257,0.03140959564732581,0.013152183536358442,0.06895046549595599,0.29928401701122415,0.1723296507146726,0.013636139937303763,0.04041652197591842,0.33197296244812047
Ahl-i Hadith,0.24667885820760654,0.2492321738249788,0.0,0.055039758847501785,0.12268665130973211,0.10116713839767844,0.07040924235410931,0.1823348834875506,0.2148601285388682,0.15816174221600585,0.23478504121170468,0.11248184074392147,0.17759401686208873,0.251705596247672,0.22320156033620658,0.2557424223156133,0.11513663936904428,0.2871028903008107,0.23374940663676064,0.15613506528718396,0.2596099379380675,0.25821686897780044,0.11105419641132441,0.11057405916172629,0.25988318174275504,0.10040378267738832,0.34423547997168236,0.11221313839012007,0.10091807127830577,0.09777889881584,0.1431398613996403,0.0668530998428796,0.25769490852892385,0.10121810461035836,0.1239367382598477,0.2613773756126915,0.28467800190125675,0.23505819955539403,0.24371836325959526,0.16541853368079673,0.10017307026652819,0.08928582495807838,0.0660606050904933,0.10687926572533021,0.25495100047517705,0.23843109280280722,0.10525243559786943,0.2620803997812284,0.2619436287407311,0.13853535479156145,0.021576377586606944,0.16693444357093262,0.2564614476308544,0.2517856462794401,0.17279698240458918,0.24640352874983687,0.1589848819111613,0.6984371428571429,0.14721492239166958,0.2562231913079494,0.23372316160583936,0.05053730426773103
Anglican,0.12472497199719249,0.1238206558332298,0.055039758847501785,0.0,0.05761828497970436,0.039824692414486815,0.10461975456890474,0.07874312297492335,0.09396400404672539,0.0646908488337293,0.11026168709145981,0.10484130806444483,0.08354457098616358,0.12560690190500728,0.09928770960389947,0.12423025656154282,0.058008359183090254,0.15463356601897935,0.11308745432999578,0.07438535621058104,0.13388482616523395,0.13319034682092717,0.06343746865953252,0.06864417315258696,0.13259262532495536,0.03216803477515322,0.23801016324727384,0.05329082205306347,0.03368025721803618,0.10926371251649716,0.06313399191812215,0.010754267521124607,0.12951058242609453,0.017887236952451358,0.04626490489601394,0.12990076665951586,0.15458827877791853,0.11075712960259143,0.11879887135404621,0.06187623944799805,0.1871445224698878,0.06380346411515705,0.006088612657863429,0.049702739234328254,0.12530823114077516,0.11531079213388225,0.04806376449546219,0.13496911983348667,0.1358516960491424,0.07192119749323382,0.042659475124384574,0.08726755931696582,0.13471152896456584,0.13126235870643094,0.06634964203624354,0.12037061120956109,0.0761919631721839,0.4133330914337625,0.11348335375473009,0.1319721408231553,0.1192445920159331,0.12990160123904257
Armenian Apostolic Church,0.09076312627441409,0.09383030866395733,0.12268665130973211,0.05761828497970436,0.0,0.0098834352486185,0.11025093892815904,0.05434375129582695,0.07340951881314443,0.026824271695261147,0.08692967542929626,0.07630670933453972,0.025319150602384977,0.09321308802287662,0.08927934997363848,0.10674400274165399,0.023588946597320238,0.0980089945450697,0.07788379044615568,0.0396264302824708,0.09564614181732016,0.08928891746245098,0.10883252272799285,0.028063877125355935,0.10174012147691372,0.02635596261166116,0.1996884985746582,0.009106633223071448,0.021085067144254975,0.08616476061497307,0.027146341934303958,0.03285112937878392,0.09818880535893398,0.04417011885822748,0.020928950758388916,0.10497403788645727,0.09880016151497006,0.08208974219707033,0.08569664341053687,0.057031825835113015,0.17970237285553908,0.04001978769966954,0.06495749456710578,0.021583117356644952,0.09568191295749959,0.08370500100321898,0.03834128499380798,0.09063250297617861,0.09502270995517915,0.0387033163494128,0.14031825148210048,0.03964917456977405,0.09895032420870827,0.09096397582418397,0.0415601689117713,0.0969718194652084,0.04137304115637918,0.40098710488368045,0.0762011549168146,0.09541099891099883,0.10195417830837512,0.14519322230024978
Baptist,0.08884229897373087,0.08899609276204798,0.10116713839767844,0.039824692414486815,0.0098834352486185,0.0,0.10441596023191284,0.03996489163780705,0.07200813141424678,0.02550456126487997,0.08177123830695253,0.06880862734993433,0.029113757717386828,0.09094211384908332,0.07901178519347742,0.09612110917328909,0.017706501036308407,0.10700869989368109,0.07454245608457466,0.033381510215595336,0.09512790976669468,0.09172005260871349,0.09217989873256636,0.019980483375314904,0.09747795980566683,0.015049040496573346,0.2086366736916939,0.009751349772490342,0.01135347596450545,0.08140438701002205,0.020428281659938027,0.01855594195588693,0.09796223574517418,0.031149372726610076,0.010625523400343805,0.09769390085192922,0.10466785701359642,0.07527507777647686,0.08786088122114748,0.043434826765118666,0.17153613848391108,0.032249158840365014,0.04825827020619673,0.014664720303968684,0.09365229373959737,0.08345535521954942,0.026829128089406584,0.09611658865948206,0.09705167464617183,0.03117090765591874,0.1157936116269919,0.03674810505812666,0.10752056282107463,0.09011807691287037,0.0444899004926368,0.08528793067398606,0.03629680128242667,0.5006022053380309,0.0782226574944858,0.09547739146282504,0.09030462239927797,0.13349476478769304
Brotherhood of the Cross and Star,0.2869777185132392,0.2894207817191985,0.07040924235410931,0.10461975456890474,0.11025093892815904,0.10441596023191284,0.0,0.21447551114356128,0.25465956068216206,0.17599960999283065,0.2755771630833747,0.10301840724707542,0.18778315786496647,0.2914674998212082,0.2648025367092163,0.29578763470734526,0.11228013693503094,0.32198642138634204,0.2686729742069881,0.1745572249507943,0.2991123178043981,0.29646543843368617,0.17698178496577305,0.0840807161934358,0.3000340535450027,0.12194008039521069,0.38235979307268037,0.0859868747338878,0.1206044725499877,0.07112259593907116,0.15865374782457692,0.10438136387395225,0.29651588366509174,0.14788706175063995,0.1405434610915418,0.30088593926962465,0.32039119563104623,0.27227101045873986,0.28228273890835787,0.2072077057148547,0.07222298915408999,0.049584298799204646,0.12042123231812332,0.10701078955372764,0.29399617296295294,0.2784840499228181,0.12679206792963002,0.2993298093884123,0.3003533443731657,0.1471007308361087,0.10932021592509575,0.17734984951901225,0.2919314292449579,0.2892730297297545,0.2103624401296056,0.2867996162050804,0.17136508333574957,0.45373990326933733,0.15631989579090091,0.2959218445062691,0.27653690886249793,0.022555642917314357
Buddhist,0.041162649214890844,0.03791344141228641,0.1823348834875506,0.07874312297492335,0.05434375129582695,0.03996489163780705,0.21447551114356128,0.0,0.036864750701715125,0.0197311902948969,0.031759602111051013,0.1225036519027265,0.02548373483424088,0.03834562629941014,0.033302406122821336,0.03630057209611021,0.04399215845747898,0.06234695668282668,0.02692390224353724,0.02112276174511732,0.044385082665944806,0.04433937118252721,0.09194737436485663,0.07473139009133173,0.03861917011556697,0.033410503139939485,0.15813106471479957,0.05202926950334587,0.03028134850193166,0.16368831119635632,0.01892248318008231,0.05587685336675237,0.042306865037937694,0.040722272751484476,0.018052733370727596,0.03872486594218305,0.05670333186175782,0.023468609945935574,0.042232815157125736,0.01466159777595242,0.3040741648924482,0.10049577937823909,0.08125647194406967,0.04099160796837123,0.03705092947892039,0.03852391256673553,0.04297907975487719,0.05022951486827122,0.04479680524560661,0.034137572967691834,0.17588067985431047,0.03446506337032521,0.060367380426950945,0.02971203968564427,0.03353362268453822,0.024068660946336744,0.02398486624123785,0.49758506033280214,0.09898224120473094,0.0443735981941351,0.028811822342922296,0.25084819649037643
Byzantine Rite,0.016803005515646605,0.01710305265847071,0.2148601285388682,0.09396400404672539,0.07340951881314443,0.07200813141424678,0.25465956068216206,0.036864750701715125,0.0,0.026164319592277586,0.009714764257934053,0.1930226001247532,0.03454483750229044,0.011952286577812207,0.01254743089155387,0.02323589277767899,0.09308665687345327,0.02330290182332577,0.01586895991267694,0.06664043855345513,0.017082614412946662,0.02158679804001585,0.11348426000758267,0.13128985772983265,0.01891047839039836,0.0689980993288451,0.16916212090211533,0.07459685959990281,0.05961686440331558,0.23142301219409647,0.05877209789512898,0.08209226638597782,0.01708205134832203,0.045524903956409686,0.05054827342600673,0.01867389057088669,0.026102318229606562,0.013955118486994456,0.014805540764403848,0.024654909925946253,0.3608880461233368,0.1482272692859181,0.08447302366645966,0.08735941989744092,0.013321194501361721,0.01119681256206764,0.0932879166009641,0.014410734421958065,0.017484365735132866,0.083591656739133,0.18539288502334245,0.08041182260321558,0.01413083073805425,0.03808019688618218,0.01821304075902423,0.022434062240902865,0.055832852137634434,0.29986363282797757,0.1466257386077888,0.018989482307805006,0.0408016599778976,0.29760091716200987
Catholic,0.03545478533258336,0.03201798820127947,0.15816174221600585,0.0646908488337293,0.026824271695261147,0.02550456126487997,0.17599960999283065,0.0197311902948969,0.026164319592277586,0.0,0.030123904310672533,0.12827835053857123,0.00784142046692728,0.033751266542659406,0.02951757852460487,0.040060561814748825,0.04679146501400968,0.04859231128493742,0.020543610466784594,0.03493569078376785,0.0370409771616226,0.03886889900518225,0.11133570277777145,0.06736433021611082,0.03846316910051027,0.033355987308099695,0.184583745042217,0.026688820516615735,0.02630807815303955,0.15504599066762487,0.025968215568685525,0.04446882198024789,0.03464021267530082,0.03236111995540636,0.016842871394502683,0.037907926325087125,0.0476809350077417,0.024640910523094323,0.03224425375029942,0.02057192264674109,0.2653312476002057,0.08597583405799966,0.06715194829632516,0.04222029186101376,0.036833628021402894,0.030046017767213128,0.053456463895399285,0.03677267844585806,0.03659483455891724,0.046814211979518724,0.15912883404651318,0.041334269696562655,0.04238613729849939,0.04860444864592469,0.01813186922210792,0.038675592316225596,0.030147206627255507,0.3984119169002052,0.10531314065368828,0.03586953270572241,0.05706886274520875,0.214948752349872
