,Adventist movement (Sunday observing),African traditional religions Ethnic,Ahl-i Hadith,Anglican,Armenian Apostolic Church,Baptist,Brotherhood of the Cross and Star,Buddhist,Byzantine Rite,Catholic,Chinese traditional religion,Church of Sweden,Confucianists,Cypriot Orthodox Church,Druze,Dutch Reformed Church,Eastern Orthodox,Ethiopian Orthodox Tewahedo Church,Ethnic religions excluding some in separate,Evangelical,Evangelical Church of the Augsburg Confession in,Evangelical Lutheran Church of Brazil,Evangelicalism,Free Church,Greek Byzantine Catholic Church,Hindu,Hoahaoism,Iglesia ni Cristo (Church of Christ),Islam,Jainism,Jehovah's Witnesses,Judaism,Maronite Church,Methodist,Mormons,Netherlands Reformed Churches,Orthodox,Orthodox Church of Greece,Orthodox Church of Ukraine,Other Christian,Other syncretists,Pentecostal and Charismatic,Presbyterianism,Protestant,Protestant Churches without free churches,Reformed Church in Romania,Roman Catholic; Latin Church;,Russian Orthodox Church,Serbian Orthodox Church,Seventh-day Adventist Church,Shia,Sikhism,Slovak Greek Catholic Church,Spiritism,Sunni,Taoism (Han Chinese),The African Church,United Evangelical Church in Nigeria,Vietnam Ancestral worshipping / Tradition,Vodou,Yiguandao,Zion Christian Church
Adventist movement (Sunday observing),0.0,0.12504105509139032,0.29544317714805907,0.15430131798174662,0.06938487485033441,0.0677807377651626,0.2416682282859425,0.04744207555388672,0.04491862355418431,0.07701532940546023,0.0809072682919033,0.19560229839921986,0.10465700162035206,0.02649912922326712,0.026293615118503838,0.055363596284536,0.10437696153768412,0.046442430452189536,0.06432307827561938,0.08452555629841646,0.037689101844403584,0.034659039492440376,0.22382041126204752,0.15764911832825382,0.024263229984649026,0.11477190450892912,0.2607839673953614,0.0706664198870963,0.08025776458908636,0.231929600852309,0.07631373101744242,0.1332003323393751,0.02264472007212176,0.10585772696707947,0.06839698726140335,0.041418747720786,0.05515919329914291,0.03034154935992352,0.05138860879922497,0.037767974656912916,0.29544317714805907,0.1391042988338903,0.15297352884300555,0.10457662711296338,0.062318528872354485,0.2351254345328626,0.1191010565803991,0.05001957962738259,0.047488772056013435,0.09929780712589137,0.2733339073397388,0.06867228033482396,0.0508634998523196,0.06253774754661089,0.06034458583125991,0.06339237879172592,0.08493994275632,0.4964409210501548,0.26234122864464476,0.1550222083223159,0.05339822035788388,0.29544317714805907
African traditional religions Ethnic,0.12504105509139032,0.0,0.40947924814632536,0.22240692873312973,0.12971599532380973,0.16260886833612448,0.3556777407511313,0.12527263081699064,0.17461458000059912,0.0556616991334218,0.2078877096983688,0.29738179821785243,0.03683118062117904,0.15870815838286248,0.15795326727829803,0.10908325140001396,0.1707419737944085,0.19243177210964016,0.20321820070931165,0.10114751894101533,0.1718221523047165,0.1917385742216865,0.19955120557276337,0.1743936204013531,0.16607519775629057,0.15600389354935953,0.11694938488945521,0.11863692805331762,0.165234002802185,0.2965514150924479,0.10530251978435916,0.21092447550823734,0.15769234033971088,0.14894419192881772,0.10211870292303253,0.09567977331535064,0.0416318719714486,0.1608804363003977,0.17935831640753772,0.14160588103570151,0.40947924814632536,0.20518668103395932,0.21619987943017893,0.13743992424216944,0.2044747278531199,0.04002007758147004,0.1902712946538059,0.17696614997110882,0.1868401190809704,0.13095045197617514,0.38587663028424873,0.16420990008701444,0.17590363351764315,0.09047582523183206,0.10208396023152137,0.19558414643867825,0.07262537387030617,0.5026756968689001,0.16664151248341205,0.03618462130440498,0.1659026819930248,0.40947924814632536
Ahl-i Hadith,0.29544317714805907,0.40947924814632536,0.0,0.08220877980542383,0.14855944585916794,0.13024008202837398,0.022435897435897356,0.22177408249147612,0.20514105065904298,0.2476352046745913,0.3058558697760543,0.0552719147333006,0.31435296264628976,0.2591343796564815,0.24141029060824606,0.3084513474777872,0.11672960625696009,0.3351783513230698,0.31156262527250655,0.18447503141487995,0.28659053194113454,0.2984934516496757,0.11004224862557331,0.11005429928764215,0.289586935961363,0.1111916558679548,0.3213124505984423,0.1638325058424829,0.12182346764851808,0.04864832712613354,0.18629481324739305,0.08155267298621789,0.2924570994746433,0.14469651734903274,0.17671582925146767,0.31260140714296325,0.34926904756073696,0.23929646808167693,0.23283633841886264,0.19170550084154492,0.0,0.08530427898928572,0.07628577541534072,0.13270465719737098,0.295808724037054,0.5139149320090831,0.10292754188396445,0.236287872719564,0.2865923628547489,0.1582737364591478,0.010101010101008969,0.144265421010028,0.2627238981495559,0.307297134852575,0.23224729120796347,0.2882142293131192,0.21112197939432686,0.6666666666666666,0.1907930703068542,0.4575555311738743,0.2092044330918089,0.0
Anglican,0.15430131798174662,0.22240692873312973,0.08220877980542383,0.0,0.027687627110695997,0.030188348654951434,0.050591149329940965,0.07636090104524776,0.10722458991421713,0.0873214713318507,0.1733173792594882,0.04993334232203564,0.13604177910918167,0.1510134450241191,0.1293400841110658,0.13343369129615404,0.017874017841582792,0.21971859091039223,0.18616074363203886,0.04620505545130695,0.17166120557417683,0.18050993475759503,0.05863579429178293,0.015498903210824642,0.17935926076987938,0.013637535873636933,0.18120782480021191,0.039671430095560366,0.030619118309401238,0.036280534746703196,0.056100723402077446,0.0070569786739739905,0.18427494061304853,0.025290593637555262,0.0434598405432128,0.14165644895189045,0.166952409697558,0.12248788350323352,0.12365131710828288,0.06390133009139484,0.08220877980542383,0.012615044692617525,0.0024401411126056837,0.026457540330452795,0.17418481849276266,0.30633666260935444,0.017530797620574915,0.12546729470424903,0.1669113702328006,0.03701292800806128,0.06363154938120162,0.03310623842875355,0.16431935957037333,0.13483515657377643,0.0892528158625231,0.16361647374368382,0.07239753112212459,0.5145324716299914,0.11314621190073255,0.2674639201686271,0.09760987761409791,0.08220877980542383
Armenian Apostolic Church,0.06938487485033441,0.12971599532380973,0.14855944585916794,0.027687627110695997,0.0,0.007661058853777564,0.10647004340768636,0.025284946679848624,0.05192445460496503,0.03418313434841497,0.10399583854101128,0.07895023798112184,0.06773603207965957,0.07510807238775107,0.06225883739337446,0.05868868798268214,0.012383426455476325,0.1290040005688017,0.10831235324754242,0.013344758235010384,0.09215358391369992,0.10186083926567029,0.07369572442243005,0.028211896912757457,0.09235826597126094,0.012232706931185167,0.15130850579651042,0.009059509190057118,0.010865592637834204,0.07826597802222095,0.011882575678318635,0.022778720818439444,0.09694477322906869,0.013506491462810697,0.006270340287849935,0.061573447247599465,0.07396056240519162,0.05770469459820404,0.06343273528736455,0.01859485288947833,0.14855944585916794,0.0233768486958984,0.026828938677033138,0.012698343104803023,0.10082516091622486,0.21181701338079953,0.018161823277785094,0.0666502037075794,0.09258492213015289,0.014044823032211676,0.1280827441110136,0.011117570730634846,0.09314384512564718,0.06080252252773604,0.03581859800715098,0.09185381289710613,0.02456071092559073,0.5016567301028828,0.11628036077172117,0.1685853742380646,0.04466394320177494,0.14855944585916794
Baptist,0.0677807377651626,0.16260886833612448,0.13024008202837398,0.030188348654951434,0.007661058853777564,0.0,0.08781005190190998,0.031870728602335696,0.04381685816046522,0.057430892592216065,0.10191035838587137,0.06988730485098772,0.09954152204161676,0.06747235369830397,0.054531925809976366,0.07958453734391992,0.013526753633564537,0.12137899667829614,0.10513545700194511,0.029485594416156845,0.0850982959796082,0.09764383750885737,0.09118577741479648,0.039337986286349436,0.08565531851664994,0.016737283560413475,0.1898549340557438,0.015044859774906898,0.004463567745413604,0.077090288964623,0.02018228996594547,0.022829860450144596,0.0892925581385328,0.022603634235977638,0.01716216731876102,0.08077016185069735,0.10195869533346213,0.054773978577768535,0.0577860461246066,0.021318030472362925,0.13024008202837398,0.02097649338288062,0.027958907426029318,0.020600816488604245,0.10215958992035457,0.25671186868318063,0.017678606076559408,0.06165072661831605,0.08988027682495658,0.02450747867716548,0.11005693965496577,0.010219834994662518,0.09221919872980693,0.08457133213447084,0.04656445291344541,0.08689610074647121,0.0410831684122092,0.5023098141129151,0.14632048878768125,0.20923836682494956,0.03993257427106556,0.13024008202837398
Brotherhood of the Cross and Star,0.2416682282859425,0.3556777407511313,0.022435897435897356,0.050591149329940965,0.10647004340768636,0.08781005190190998,0.0,0.17340506325982033,0.15644536878648374,0.2020478371644174,0.24946100556759734,0.04977324507490261,0.2673014573125518,0.2083578836917208,0.19126378947221997,0.2579035264879122,0.08077505693712585,0.2725495696139883,0.25821153397473856,0.14202082169305685,0.23526303265245074,0.24329618541512285,0.10418268788194202,0.07690970618640593,0.23522787630832787,0.0737839201441193,0.2878950480321412,0.11959074399474474,0.0780025701883998,0.045971647664211385,0.13761137421679737,0.04603213287662806,0.23814013768528083,0.10504431912193472,0.1337246371386011,0.2618807633728218,0.2959193251574735,0.19066579494233835,0.18358057880908893,0.14498227234161667,0.022435897435897356,0.04795522147127945,0.04518381091518139,0.09462637055091706,0.2437599029903943,0.46305558282342413,0.06795420595881764,0.18577233374270855,0.23524284310942,0.11857702591697672,0.013815024245645879,0.10268917873072218,0.2134391136912662,0.25650077973311197,0.17569731016334242,0.23448820053774297,0.16199212591326875,0.3900972942817293,0.1834141641843068,0.40545711484601593,0.1628686512075461,0.022435897435897356
Buddhist,0.04744207555388672,0.12527263081699064,0.22177408249147612,0.07636090104524776,0.025284946679848624,0.031870728602335696,0.17340506325982033,0.0,0.041117476664058385,0.035307226858928974,0.05945757731139841,0.12687048316034819,0.059223634708620965,0.048460148018703374,0.032798798433815814,0.02147347205547338,0.037465283688813945,0.10463412702285124,0.05665735109328505,0.022758684422587636,0.052096700733095226,0.07307568264687309,0.13203383663613816,0.07406293871396562,0.06068398917581491,0.04693197235889226,0.1748014350978109,0.030906794669807645,0.04268652933009923,0.1494684336411812,0.03685764826579171,0.06824607860497933,0.06896703454777296,0.03869434498260385,0.023318539667077476,0.025625572366842014,0.060982521781684146,0.030680087013322702,0.03581408720631475,0.007006736247026764,0.22177408249147612,0.07613387109605872,0.07904286208630269,0.045797524533603286,0.056732873463107215,0.20512351855911679,0.051387129919162784,0.041039349537837194,0.05118403931090521,0.03895165641515517,0.20013111328599806,0.0242937321461875,0.06494177282994942,0.030647077644432242,0.03838498631634993,0.044025166751537094,0.0472937898572719,0.49959190936945647,0.16355167586505112,0.16401582939098658,0.025943835221906592,0.22177408249147612
Byzantine Rite,0.04491862355418431,0.17461458000059912,0.20514105065904298,0.10722458991421713,0.05192445460496503,0.04381685816046522,0.15644536878648374,0.041117476664058385,0.0,0.07963079593906591,0.03565905268112873,0.1368349499563307,0.1266198315984524,0.018919589033247166,0.0160528979475156,0.06343897239491521,0.06710580465379452,0.06630182507382526,0.03236457389527605,0.06813962219355885,0.02313762474028276,0.047016155421497126,0.18608530773480814,0.11412438705276794,0.02858179472708215,0.07875053986776147,0.26739184340861516,0.07026221415553541,0.05507757658994352,0.1789307551162952,0.0704875000719275,0.08983032764378307,0.029777858468794646,0.07262038783703857,0.05868407198825051,0.06167423235599501,0.1084336246726912,0.019452077425685332,0.009397564367608323,0.027618184966814233,0.20514105065904298,0.09712217330025376,0.10683565523362003,0.08257869281174646,0.03987154362435987,0.28903337975612337,0.08246954344505719,0.014264972441680642,0.02730750203686332,0.08086296566128946,0.19463776401841257,0.042022135193962695,0.023108912472978072,0.07510203556878726,0.06946999485121785,0.02650201261701578,0.09188775770925371,0.3352295540075267,0.24481934778489758,0.20897295908138083,0.021677730085486346,0.20514105065904298
Catholic,0.07701532940546023,0.0556616991334218,0.2476352046745913,0.0873214713318507,0.03418313434841497,0.057430892592216065,0.2020478371644174,0.035307226858928974,0.07963079593906591,0.0,0.10403475557655638,0.15413735559738126,0.021991638700639946,0.08699382660133824,0.07367576491358188,0.037130308790747496,0.05340059171871003,0.1495017944601488,0.10725625384557734,0.01867647748277397,0.09864572761000223,0.11060842564770278,0.10650750974406041,0.060759301751854046,0.10657351049211039,0.04797653011830764,0.11417698114980152,0.03607340306165081,0.06436641286969964,0.1577432885581824,0.03645317276160856,0.0818170031558489,0.10873430012857287,0.0347716221559801,0.019539351764406843,0.036102035098003325,0.040818787832242846,0.07354140335111924,0.08073968567391897,0.044711867069909456,0.2476352046745913,0.08638480475391323,0.08505606784080914,0.03936678089931984,0.10678720991792894,0.11671813687236976,0.07345557451866677,0.08228991959424227,0.09728802523692842,0.04348823202467398,0.2270691235256027,0.04957436939349987,0.10158048636400126,0.029217903504835024,0.041574000381097174,0.09788135918735635,0.025046882543184833,0.5006811172527971,0.11577206401228642,0.08373212300298055,0.06758329606699277,0.2476352046745913
Chinese traditional religion,0.0809072682919033,0.2078877096983688,0.3058558697760543,0.1733173792594882,0.10399583854101128,0.10191035838587137,0.24946100556759734,0.05945757731139841,0.03565905268112873,0.10403475557655638,0.0,0.23107320924917918,0.14982465400144443,0.03529004677870409,0.031887123760558446,0.05859413067475125,0.12836230100247242,0.12561320197565554,0.01340686175900537,0.11083543584510315,0.03217386829888011,0.06978526401874012,0.2791643243669531,0.1861871063644713,0.05528309409888361,0.14145548344005673,0.3316964210874486,0.13058878884601674,0.12547733822362672,0.2793652325094348,0.13626873773921522,0.16012230112531592,0.06353885740553812,0.1160257888086554,0.10732358219803319,0.05970290085531985,0.143763059100668,0.031035225376956816,0.01617377407947212,0.05535901918367675,0.3058558697760543,0.1781402104712365,0.17701028073336378,0.147404250302392,0.03571284937618537,0.3160798591335424,0.15319169100419303,0.017950296751957875,0.019404781754610984,0.14782836377485445,0.2938062685523738,0.08381784413208804,0.026157331553614948,0.0820016617603612,0.12748568022270576,0.010919224019643079,0.1532268602648717,0.3415749097472924,0.33268094238215007,0.2449491251822841,0.046437634288522746,0.3058558697760543
Church of Sweden,0.19560229839921986,0.29738179821785243,0.0552719147333006,0.04993334232203564,0.07895023798112184,0.06988730485098772,0.04977324507490261,0.12687048316034819,0.1368349499563307,0.15413735559738126,0.23107320924917918,0.0,0.21446432234711907,0.1794172490478688,0.15954238134224466,0.2009086517978026,0.04802382429984251,0.2493138122929167,0.23191476900010874,0.09486263789383383,0.2038378109800798,0.19515945528304668,0.045073752174889646,0.05282762273531124,0.20577313387236,0.05427635271386886,0.20164683980005926,0.0942233510705743,0.05947812926107154,0.022677081326238538,0.10280562607351147,0.038643160005089196,0.21196494132210372,0.07943074033828439,0.09785385478360165,0.2059303050673611,0.23645830595214054,0.1533368337600094,0.1575864466761981,0.10783602784702971,0.0552719147333006,0.04253302072956463,0.04435378060192186,0.060837299504886255,0.21025756863417863,0.39521600597998124,0.03606740086246366,0.1600178549818796,0.20666794211411943,0.07381294338460015,0.04870918500462049,0.06756779571681955,0.1983914791293915,0.19060559306594457,0.14311647767369942,0.20728259787540274,0.12066562036628199,0.6657247925447839,0.10415318094688285,0.34256960257801133,0.11863560958947648,0.0552719147333006
Confucianists,0.10465700162035206,0.03683118062117904,0.31435296264628976,0.13604177910918167,0.06773603207965957,0.09954152204161676,0.2673014573125518,0.059223634708620965,0.1266198315984524,0.021991638700639946,0.14982465400144443,0.21446432234711907,0.0,0.1277849558767834,0.1142931389066718,0.050488408492883156,0.0994053492093332,0.18002156569119673,0.14100562869254604,0.04445164956174641,0.1338231235017228,0.15106962807065075,0.13460599132935622,0.10395933844965792,0.13850047155710685,0.09066928509480345,0.09182922593656691,0.06132483021200813,0.10747776404564825,0.20752913127204584,0.05724199704218456,0.13330889344987276,0.14342460509382896,0.08224519582465481,0.04671992382678991,0.04871839616261301,0.025320952205270888,0.11196163536011167,0.12482097101445276,0.07815411716929256,0.31435296264628976,0.13355240287858586,0.13431061355960222,0.07738573758967905,0.14024655766813574,0.06201233729181649,0.1171454244687599,0.12997582780502068,0.1337114770575711,0.06939342837191412,0.2910553203917539,0.09656191712362501,0.13864651328314168,0.04111612314075027,0.06398175972293398,0.13640240692134417,0.043827855445758755,0.5017308044195713,0.11311005525892315,0.07228364021551899,0.11317116124353455,0.31435296264628976
Cypriot Orthodox Church,0.02649912922326712,0.15870815838286248,0.2591343796564815,0.1510134450241191,0.07510807238775107,0.06747235369830397,0.2083578836917208,0.048460148018703374,0.018919589033247166,0.08699382660133824,0.03529004677870409,0.1794172490478688,0.1277849558767834,0.0,0.008783312144241886,0.05860439580591178,0.0968020054407533,0.06299191651857007,0.024924753616676593,0.08687392165109276,0.008919515382545077,0.02886945103354793,0.2272077354462608,0.1556654692694226,0.014701420373941091,0.11210264988175482,0.2777598775807866,0.09011352642118058,0.08181737171809748,0.22928273769671473,0.09168361456811702,0.12944505706255133,0.015308819100383614,0.10209105081418766,0.07526255688278304,0.04938348165353649,0.09658835315665158,0.010573403043990924,0.013231492894138322,0.03724650065752557,0.2591343796564815,0.13795110111883438,0.1489880185434867,0.10645335832570453,0.03288059335267119,0.26891816646811756,0.11498971324537705,0.015072182719241552,0.015457952215591176,0.10811228921581749,0.24860318032862627,0.06168844590829303,0.01164154107629206,0.06937791031728391,0.09053369730063766,0.019930129948153394,0.1036260172860536,0.33535359133995174,0.2783135310580036,0.19425882366163236,0.02348850892849519,0.2591343796564815
Druze,0.026293615118503838,0.15795326727829803,0.24141029060824606,0.1293400841110658,0.06225883739337446,0.054531925809976366,0.19126378947221997,0.032798798433815814,0.0160528979475156,0.07367576491358188,0.031887123760558446,0.15954238134224466,0.1142931389066718,0.008783312144241886,0.0,0.047417992679221165,0.0799263215504533,0.06236813047060915,0.023478062281896778,0.07372458780865716,0.0164762190020606,0.03109747061685002,0.20827193933727406,0.13479088795306224,0.01933538960534109,0.09265206979847224,0.26746411669285974,0.07286317957540815,0.06834817667467957,0.20760502533759598,0.07970951977506036,0.10801440700953753,0.021947185306013126,0.08321057564943145,0.06425988122655658,0.04359469121441965,0.0925460736709761,0.00950193474555742,0.013485990899302212,0.025446503136278904,0.24141029060824606,0.11921531104745826,0.12767532940281293,0.08985460984102213,0.030977673363003496,0.26317218314193996,0.09904482549379001,0.01742085481245402,0.0193046565670109,0.09473615994590008,0.22616517373879955,0.04861137058762766,0.03257500535281449,0.05778390163108472,0.07094731945862537,0.019741157695858724,0.09327767306340694,0.49800764245718715,0.2584104442239205,0.19329598522950497,0.017251578082583086,0.24141029060824606
Dutch Reformed Church,0.055363596284536,0.10908325140001396,0.3084513474777872,0.13343369129615404,0.05868868798268214,0.07958453734391992,0.2579035264879122,0.02147347205547338,0.06343897239491521,0.037130308790747496,0.05859413067475125,0.2009086517978026,0.050488408492883156,0.05860439580591178,0.047417992679221165,0.0,0.08669706642708237,0.12647692876382674,0.04979547413786569,0.048091399492538156,0.05628601771375263,0.08442682848198696,0.18596373153014625,0.12456811354702824,0.06806359516806994,0.09577870152866463,0.1910822428602379,0.06766389990560928,0.09545227212017852,0.2224719306131865,0.06975405567504309,0.12521067328907676,0.0772247125510813,0.0771561594320111,0.048386033166835984,0.00629585590175933,0.046670675188103826,0.03656857400798509,0.05009362127135958,0.030003726328421226,0.3084513474777872,0.13687735003436444,0.1375849610993922,0.08923884320627161,0.04279003981963054,0.18091961459757797,0.10795293796239926,0.05456446620993851,0.0468032512399453,0.0743387352270635,0.2860815677856768,0.061405902815353915,0.056002648015908096,0.02280467951492395,0.06632885530544602,0.05412368766786751,0.07190458666936017,0.5007153618893314,0.20303330919596582,0.13066216427736263,0.049477895007719846,0.3084513474777872
Eastern Orthodox,0.10437696153768412,0.1707419737944085,0.11672960625696009,0.017874017841582792,0.012383426455476325,0.013526753633564537,0.08077505693712585,0.037465283688813945,0.06710580465379452,0.05340059171871003,0.12836230100247242,0.04802382429984251,0.0994053492093332,0.0968020054407533,0.0799263215504533,0.08669706642708237,0.0,0.16854131240806589,0.13254593872932632,0.018323016147013496,0.1140183578721324,0.1253480724782148,0.05733204129741889,0.016956367665635307,0.1244401518204602,0.0057931100377466675,0.14578724764109444,0.02075993705926601,0.013402388060740613,0.057825798134357724,0.029076027833634267,0.013795815088969028,0.12793555067871906,0.015372585491128332,0.01937966084828061,0.09364211295672524,0.11950785468826709,0.0758812813255228,0.07745899304079522,0.03320387763821111,0.11672960625696009,0.015455342574317093,0.017327034943767902,0.008260114071854176,0.1257349689846473,0.25280187528801285,0.004756186898644589,0.08198874088678186,0.11703727011311882,0.013212616934772173,0.09856760961206142,0.011733260443528392,0.1184250325858236,0.08505777738768037,0.06166099527787453,0.11005006145651945,0.039384323363361645,0.5066674771475534,0.10237043100164193,0.21687671791321997,0.04697976124489637,0.11672960625696009
Ethiopian Orthodox Tewahedo Church,0.046442430452189536,0.19243177210964016,0.3351783513230698,0.21971859091039223,0.1290040005688017,0.12137899667829614,0.2725495696139883,0.10463412702285124,0.06630182507382526,0.1495017944601488,0.12561320197565554,0.2493138122929167,0.18002156569119673,0.06299191651857007,0.06236813047060915,0.12647692876382674,0.16854131240806589,0.0,0.10829986570060306,0.1503061206931429,0.07725491184725801,0.06189560825601883,0.30229725469803115,0.22170142207596588,0.029147270241373927,0.1755554143098582,0.34775308789513854,0.13256042578487573,0.12506353178277763,0.3032821178274343,0.12627958319137433,0.1846725768642171,0.029045161480376194,0.16691236469319204,0.13214614593752236,0.11015229192327668,0.11057521977080485,0.07075897927154794,0.08505969983414736,0.08570735174865074,0.3351783513230698,0.19554369896538637,0.21369387818353017,0.16944072588042913,0.09055499912561003,0.3293710803024323,0.18145964958996466,0.08255838682077374,0.08893990925527767,0.16833039749532785,0.32175424795793434,0.12643007724228245,0.066989163793691,0.1271137249941906,0.0744831779636586,0.10665527458519274,0.1413102554059593,0.32998176429520537,0.35080807051821,0.21859676642541184,0.09817538175459854,0.3351783513230698
Ethnic religions excluding some in separate,0.06432307827561938,0.20321820070931165,0.31156262527250655,0.18616074363203886,0.10831235324754242,0.10513545700194511,0.25821153397473856,0.05665735109328505,0.03236457389527605,0.10725625384557734,0.01340686175900537,0.23191476900010874,0.14100562869254604,0.024924753616676593,0.023478062281896778,0.04979547413786569,0.13254593872932632,0.10829986570060306,0.0,0.11415293861921043,0.014185914096818799,0.054536406520637924,0.28237756746500314,0.19379901285314696,0.03995720127527884,0.14927800073243552,0.32986478014764525,0.1294191545326239,0.1273919026669161,0.2844474183692893,0.13606982720244348,0.16824896361266042,0.04705040482863996,0.12673886552103467,0.10528009905416547,0.04556538893352235,0.1296185177469973,0.021899391821003217,0.016038371089569407,0.05245487899111791,0.31156262527250655,0.18553814393046852,0.18750046805625975,0.1494358193184848,0.020523699142542772,0.30364138794887713,0.158136914306272,0.021854438009336324,0.006417628640869043,0.1476748011618362,0.30033886087454115,0.09181527541806571,0.017161947626368246,0.07091440669076217,0.12498266839890183,0.008421521896484504,0.15453517022858,0.3397229244057866,0.3321676177292227,0.22635342254448,0.043776193943728926,0.31156262527250655
Evangelical,0.08452555629841646,0.10114751894101533,0.18447503141487995,0.04620505545130695,0.013344758235010384,0.029485594416156845,0.14202082169305685,0.022758684422587636,0.06813962219355885,0.01867647748277397,0.11083543584510315,0.09486263789383383,0.04445164956174641,0.08687392165109276,0.07372458780865716,0.048091399492538156,0.018323016147013496,0.1503061206931429,0.11415293861921043,0.0,0.09905063622749737,0.10996714051921175,0.06701121957563934,0.027789916370251477,0.10729863395969845,0.01858990841777899,0.09520862952440422,0.020244601777863,0.03186641187724019,0.10081369080486051,0.01819444793209227,0.04272704698542087,0.11446650322918162,0.01848334045278253,0.007696680680698598,0.05139385370701128,0.06009949754533534,0.0662929082519726,0.06917558350437665,0.028930860327173766,0.18447503141487995,0.04429734705483085,0.04600006028094583,0.01395951007865287,0.1093849098155734,0.1664537785592759,0.026576121266121966,0.07033793913481233,0.0991736894234725,0.010887882624585172,0.16406095082925137,0.01901947157696337,0.10315810674022119,0.03742774585722327,0.03967852350636105,0.094476359387012,0.01872213287021462,0.5022471901340482,0.08747515857729488,0.14102078113222113,0.046974505296750256,0.18447503141487995
