,Adventist movement (Sunday observing),African traditional religions Ethnic,Ahl-i Hadith,Anglican,Armenian Apostolic Church,Baptist,Brotherhood of the Cross and Star,Buddhist,Byzantine Rite,Catholic,Chinese traditional religion,Church of Sweden,Confucianists,Cypriot Orthodox Church,Druze,Dutch Reformed Church,Eastern Orthodox,Ethiopian Orthodox Tewahedo Church,Ethnic religions excluding some in separate,Evangelical,Evangelical Church of the Augsburg Confession in,Evangelical Lutheran Church of Brazil,Evangelicalism,Free Church,Greek Byzantine Catholic Church,Hindu,Hoahaoism,Iglesia ni Cristo (Church of Christ),Islam,Jainism,Jehovah's Witnesses,Judaism,Maronite Church,Methodist,Mormons,Netherlands Reformed Churches,Orthodox,Orthodox Church of Greece,Orthodox Church of Ukraine,Other Christian,Other syncretists,Pentecostal and Charismatic,Presbyterianism,Protestant,Protestant Churches without free churches,Reformed Church in Romania,Roman Catholic; Latin Church;,Russian Orthodox Church,Serbian Orthodox Church,Seventh-day Adventist Church,Shia,Sikhism,Slovak Greek Catholic Church,Spiritism,Sunni,Taoism (Han Chinese),The African Church,United Evangelical Church in Nigeria,Vietnam Ancestral worshipping / Tradition,Vodou,Yiguandao,Zion Christian Church
Adventist movement (Sunday observing),0.0,0.05201331227378111,0.14125293542936657,0.04450233702675565,0.04222143606089617,0.015628096857604825,0.16712094108788098,0.003921697354856477,0.00813647727957062,0.04440024063341129,0.09838275522486048,0.07855450233921944,0.07603400887078622,0.006639194139194139,0.014189756379451914,0.0324143097298792,0.04404504890692522,0.048616111740859634,0.015907404267560276,0.01499223781272135,0.010786688449959444,0.07731537034394166,0.15365593275155914,0.03146234419473141,0.05692185120756553,0.04636524768987043,0.15365593275155914,0.04620863032639646,0.015544447221859542,0.033716506882377185,0.0359128467377336,0.05089988576183076,0.022260596546310803,0.08595277022615262,0.0019532133863727043,0.012475058989112942,0.04358742355088714,0.00441587243872468,0.018978499203075344,0.003544922170199784,0.11078269849219867,0.059720746606663745,0.0947623377093734,0.025027716711563144,0.023748169150877626,0.0953641173959412,0.025758074447574945,0.0019051679326805937,0.00809632533928743,0.005568480691743811,0.09245889843365283,0.013245724624842792,0.005558199237686345,0.020208524041312795,0.01322569273362978,0.011607551974749053,0.03398967634743911,0.21383066666666667,0.07263626361084803,0.09993625574594807,0.051102440976390544,0.1519749299107322
African traditional religions Ethnic,0.05201331227378111,0.0,0.2822132165343132,0.0785101479805307,0.04109490706191642,0.10138161000229948,0.2967879229091,0.04231991362974201,0.09233729485002828,0.01724234839123984,0.022700883987594376,0.05930321869836156,0.015745275442023594,0.0458156817452317,0.10657088380340937,0.01808085718140792,0.026816997421727003,0.16621898940429805,0.10362591302679262,0.023543184693779806,0.10046813894639982,0.19263548742512346,0.06683038821896621,0.07849318027345212,0.17847852976090564,0.047324894608714106,0.06683038821896621,0.14610696312692179,0.0920542811719282,0.06102897521003042,0.040863268686592215,0.023160677225752015,0.1258655419952015,0.0249138567099323,0.03583539254772129,0.019660116857223523,0.0011939599636747009,0.0708858575867811,0.028894247854395153,0.07841502127216406,0.21965064033266926,0.14327830857034338,0.03581117295402979,0.03305426367799117,0.055056689342403674,0.016867381734220567,0.07725832270548283,0.04638539036048041,0.036651055894891545,0.05206903287058423,0.02833842627960249,0.03162438814065359,0.07306017723564635,0.0202260578385407,0.06750142481234901,0.026376566274698674,0.015040837886760224,0.23138299319727892,0.023992369784958462,0.01870773140065718,0.0010616724099870112,0.2629740395906763
Ahl-i Hadith,0.14125293542936657,0.2822132165343132,0.0,0.22425224842003671,0.2265058037428618,0.093365903894974,0.09419398541811475,0.15770800021497755,0.0958020858380649,0.24350394413215845,0.3169425194048996,0.2978557645813265,0.28587438421488814,0.17790322010270843,0.09920138781338424,0.2597873930382738,0.24270271045812736,0.051519511713850705,0.08425276984407952,0.19329197780041868,0.10068642841752078,0.042217307640549616,0.436543848308554,0.15408492457672773,0.0404827736360573,0.23839417538664284,0.436543848308554,0.06730779862667911,0.09115265933760096,0.18890800381281278,0.2304491384813481,0.269992714702452,0.07214054844667049,0.346854806261301,0.16264730448867262,0.2107141224788282,0.2712846411774256,0.12192181431812756,0.2256204433552982,0.11528067184315456,0.12351607323406313,0.09999478593357572,0.36167955915855027,0.20273157694210983,0.21462805496418924,0.33397974574445144,0.17357517380385348,0.15948757125227697,0.1918923645266355,0.1507611018889213,0.35595714566610503,0.20992185622813972,0.1292603371930672,0.22376404365806482,0.11537046719122777,0.17518378063123544,0.26403381865566716,0.07016848214285709,0.33128069041381714,0.35491119524732945,0.28801777121104827,0.15671005631782925
Anglican,0.04450233702675565,0.0785101479805307,0.22425224842003671,0.0,0.0668592005491181,0.07003168721036648,0.2421061711131113,0.044561425676517656,0.06420747359242687,0.07295912511991536,0.13607908158863619,0.0810840763124462,0.10460384665922791,0.03509333178191829,0.06194881142249585,0.04676473251687679,0.06308272191799293,0.11992334106842693,0.07307592382938854,0.04872416235459794,0.06012995970243765,0.15792805160341666,0.1446358757204885,0.07346612568266231,0.13319768118700961,0.05749781945471248,0.1446358757204885,0.11381769228279305,0.07711169694996399,0.06565405083468004,0.05525075475072172,0.05580659389229918,0.0846990096572515,0.0859719656712139,0.04324316579138436,0.04070546952341631,0.07025977487950807,0.0501739695376905,0.0381053108849654,0.05201096148138571,0.16876766002165597,0.12620695042155713,0.08044489937131023,0.04969659614323631,0.0383975836437158,0.12236010597483922,0.023903257506075474,0.04106791356679842,0.035974288824268195,0.0443926218491585,0.09110623606362674,0.03693159476971554,0.05423935659236697,0.04263791282063073,0.07406038233427169,0.05934536407649381,0.0499860722336498,0.35705600104864077,0.0738656164220076,0.11592755097085565,0.07259014791385907,0.20462196486332365
Armenian Apostolic Church,0.04222143606089617,0.04109490706191642,0.2265058037428618,0.0668592005491181,0.0,0.06204448469451107,0.18161523249311612,0.028447645966823587,0.07283129466786938,0.00913634562923658,0.0876898550880064,0.018330788650324874,0.02681411391469088,0.033508254749376735,0.07806926681811178,0.027398277610899077,0.007369370443612212,0.13793903385857162,0.06991186640914317,0.016011152782104344,0.07379557595823767,0.1708595528688134,0.10856184024570582,0.016493215721895358,0.152171843080098,0.049692362109233786,0.10856184024570582,0.08060833107005934,0.06220900759574545,0.0044947394750258,0.011089375410951336,0.019738077799081512,0.10000739395390654,0.049563181743114804,0.03432114607639476,0.024955128860168315,0.03549151287156575,0.04514455508039828,0.026815202246556397,0.05870021288444248,0.11124976283485946,0.06744456689091533,0.06196064188646101,0.006536670870758071,0.038817782307147886,0.07651055819442384,0.04796223354834476,0.036561241021787386,0.02906000891046115,0.027697882815386782,0.054386669291179135,0.02710416918468302,0.055915196509506104,0.02181135157566314,0.06258990446292227,0.0397586709864587,0.027488094801132446,0.28934955379261534,0.04617811080132379,0.07284755453142015,0.037305460723344605,0.13442932759082502
Baptist,0.015628096857604825,0.10138161000229948,0.093365903894974,0.07003168721036648,0.06204448469451107,0.0,0.1150037906514075,0.01885783008412813,0.007973920526441311,0.07381348564357933,0.14955107410350355,0.10760549872942651,0.11080589083496283,0.02973487939634234,0.011302021672475791,0.07515149687342226,0.06815310618760193,0.027483112140400473,0.003844049401029648,0.03880661575093506,0.008912912484340878,0.05511632657622607,0.21572754469173885,0.028805605924890763,0.03362258112866675,0.07120552712299136,0.21572754469173885,0.0179701609777374,0.0059557246093209495,0.042340347946338674,0.05867326031771093,0.08297486206426229,0.011249103874213396,0.13716665470709893,0.025022905145855708,0.046686897064061865,0.09104491507446551,0.007900550462126777,0.05373123909856125,0.008755428841065985,0.07729159064035807,0.038407973087678335,0.15076753469610563,0.04403181026729948,0.05159444551070146,0.1494530348878173,0.031545304510609655,0.021049081498339017,0.035135167996630974,0.01402770417021664,0.14565820574088995,0.04446263187259564,0.02373220620426175,0.05273018953975534,0.021525797611392294,0.03989335440943562,0.0777146192983532,0.35242028163857414,0.12582919386459582,0.1567424121771946,0.1011164168495875,0.11055111893552506
Brotherhood of the Cross and Star,0.16712094108788098,0.2967879229091,0.09419398541811475,0.2421061711131113,0.18161523249311612,0.1150037906514075,0.0,0.1753157804545579,0.131679150609162,0.22686321796130085,0.33816440204464077,0.25225605925959665,0.2636448427260993,0.19743603987296446,0.1344242261664505,0.27066874529816104,0.21999967809133802,0.09933646618849283,0.11545466178211715,0.20359029602834897,0.1336434192197721,0.11043623719680042,0.4386156749097068,0.109158536142549,0.10147422758753653,0.2509969637302346,0.4386156749097068,0.06234755159268997,0.11752750627473858,0.14026183800474165,0.21675397455590634,0.26557023689077675,0.11398636574692902,0.34955749911259115,0.18655010715234116,0.22729229763660483,0.28529041671401734,0.14599763176132582,0.2390540546651932,0.14474159743111614,0.05261189495721748,0.052485006720262684,0.36591298180397963,0.18909782359938415,0.22986648087421857,0.3485007323809712,0.18653610886584193,0.18039192126887207,0.20857565564131697,0.1645024169957444,0.3589190137110306,0.22445234066932865,0.15214844330142976,0.23693690051767075,0.15375073117701912,0.20229438005465358,0.27414578129091444,0.2857519735509465,0.3367929709064753,0.3645149615021612,0.3001660194265828,0.02443932457926204
Buddhist,0.003921697354856477,0.04231991362974201,0.15770800021497755,0.044561425676517656,0.028447645966823587,0.01885783008412813,0.1753157804545579,0.0,0.01853213495176188,0.02858079655532179,0.08826838510183942,0.0598749454289841,0.057840449805043645,0.007829463850182055,0.025743834858534896,0.024876742362257637,0.029061807399521442,0.06407306715030259,0.022354165044392898,0.006405058181725549,0.021089186297265482,0.09251180768365001,0.13614181066606737,0.02614148212448106,0.07528855770211185,0.03687462728143653,0.13614181066606737,0.051757994228658066,0.018426044170152346,0.023386039339979604,0.020787127430919712,0.03507551794436793,0.03597351176529943,0.0685140599342763,0.00356567050264445,0.008953340438988919,0.033953487109400556,0.005550560737618288,0.014621487999482641,0.010986820806956968,0.11504273119416243,0.06124833635683776,0.08047882833778165,0.013244696421233559,0.02278721126838961,0.08336195733826877,0.021523955413549033,0.002693414183386903,0.006372332650088766,0.0017123311233319762,0.0743418978707885,0.009664280456068108,0.01605799990524327,0.013147788431173993,0.01697174692819906,0.011458011871105006,0.024971679338464805,0.28490076494933625,0.05960323992759058,0.08611435369965752,0.040590887830407145,0.15141848401650357
Byzantine Rite,0.00813647727957062,0.09233729485002828,0.0958020858380649,0.06420747359242687,0.07283129466786938,0.007973920526441311,0.131679150609162,0.01853213495176188,0.0,0.08001454111451348,0.1378614729473879,0.12033429903497915,0.11704120726587945,0.023598297925303692,0.004676696859793098,0.06918525918525913,0.07880414064581379,0.021223422841069872,0.0051293514259803785,0.03978125128576019,0.0027001289016918605,0.04755758704696495,0.21118243769692407,0.041790044291809166,0.024714930918248817,0.07439862111948711,0.21118243769692407,0.027254599909687954,0.008779544366628547,0.05442136726234618,0.06763182893442561,0.09052541098233642,0.0038735494197679235,0.13671056075741578,0.01675298496401043,0.039521702787008936,0.08268330482957047,0.007126307437277999,0.04812768535985825,0.002135381901189832,0.09118109007720676,0.04836955085967671,0.14598568758161257,0.051741499203672624,0.046797785571657216,0.13977224065005472,0.03837152839018653,0.015168174116086503,0.029548730046204036,0.017846671340443356,0.14425897956033765,0.03907521602435782,0.008064431824390848,0.050213255847740994,0.013919333338570922,0.02955269492412354,0.07202496428951632,0.21218949907235624,0.1208208990570283,0.14886150581077479,0.0931142609989383,0.1342372009684464
Catholic,0.04440024063341129,0.01724234839123984,0.24350394413215845,0.07295912511991536,0.00913634562923658,0.07381348564357933,0.22686321796130085,0.02858079655532179,0.08001454111451348,0.0,0.050228862744177774,0.030362561602040868,0.008696881001895387,0.039596017406549715,0.09218946041294897,0.022383426208212796,0.0056799606440391314,0.14847013239559143,0.08007948487758519,0.010858896817266327,0.0861699250198029,0.17589018161367015,0.09058195227759516,0.03579541065942312,0.16156012942647519,0.041028557271332484,0.09058195227759516,0.10079368315039663,0.06728032434205541,0.021124453541726967,0.01500343324782337,0.012891009131807022,0.11040454714770785,0.03617677176971578,0.03209487005836688,0.02022470688129225,0.01419407394361597,0.051945967933696734,0.027558873539504973,0.06653503983742252,0.15328113404810265,0.09093894619883347,0.05066856292146437,0.008310918390317704,0.04922923223860014,0.04347904849062877,0.056504157564403835,0.03861080290208193,0.03155931718612675,0.03305599659775839,0.03992170774727004,0.02821843513461268,0.06618838190668094,0.018514348809085538,0.0574529800732377,0.027713553429646494,0.019536854496543417,0.2932189408463876,0.03581568374326128,0.04440590610154897,0.016405928822745563,0.187306606166471
