,Adventist movement (Sunday observing),African traditional religions Ethnic,Ahl-i Hadith,Anglican,Armenian Apostolic Church,Baptist,Brotherhood of the Cross and Star,Buddhist,Byzantine Rite,Catholic,Chinese traditional religion,Church of Sweden,Confucianists,Cypriot Orthodox Church,Druze,Dutch Reformed Church,Eastern Orthodox,Ethiopian Orthodox Tewahedo Church,Ethnic religions excluding some in separate,Evangelical,Evangelical Church of the Augsburg Confession in,Evangelical Lutheran Church of Brazil,Evangelicalism,Free Church,Greek Byzantine Catholic Church,Hindu,Hoahaoism,Iglesia ni Cristo (Church of Christ),Islam,Jainism,Jehovah's Witnesses,Judaism,Maronite Church,Methodist,Mormons,Netherlands Reformed Churches,Orthodox,Orthodox Church of Greece,Orthodox Church of Ukraine,Other Christian,Other syncretists,Pentecostal and Charismatic,Presbyterianism,Protestant,Protestant Churches without free churches,Reformed Church in Romania,Roman Catholic; Latin Church;,Russian Orthodox Church,Serbian Orthodox Church,Seventh-day Adventist Church,Shia,Sikhism,Slovak Greek Catholic Church,Spiritism,Sunni,Taoism (Han Chinese),The African Church,United Evangelical Church in Nigeria,Vietnam Ancestral worshipping / Tradition,Vodou,Yiguandao,Zion Christian Church
Adventist movement (Sunday observing),0.0,0.040203202047521966,0.22510482696444578,0.14844480551061764,0.07200128991354755,0.06352396725424408,0.20492876015468145,0.03919367665933319,0.03890533964354287,0.0592368685883323,0.043003010495120425,0.18606687064808314,0.051770026079658034,0.021380658075131644,0.05318097476157621,0.02989467785755003,0.09725956468731506,0.043328647405690104,0.031651869749424424,0.0711967296270867,0.023518298962975612,0.021965825366593635,0.15700565224794327,0.12355029018147701,0.024888700370620204,0.12193580055555721,0.12709442526109735,0.08448761784870636,0.09785878721775274,0.20198570934577317,0.06312656159665044,0.10331237279647912,0.05856085783357922,0.07285836920248527,0.0502091369613186,0.02690154009013618,0.011232012416728589,0.027512515873114537,0.024609017272436008,0.04330780000891741,0.24290691737723175,0.14560152289297387,0.1110354181863435,0.10330537526987542,0.048678050279366836,0.049325416072788376,0.11111549795442313,0.022028684130378284,0.02220624778723207,0.08616498716280484,0.14208436961901352,0.06460835546498944,0.024440505437588845,0.028340158978727478,0.043139013521462245,0.027435977462652982,0.08974730986007258,0.30472756032625525,0.17272600932235127,0.05126954945893784,0.05080789875572197,0.22281718676427098
African traditional religions Ethnic,0.040203202047521966,0.0,0.1953859732710322,0.11151705051397276,0.0757715602250225,0.06042159052893519,0.17423054508944383,0.03901220378969672,0.03691487129524595,0.037698484380639136,0.029423460181166247,0.1342655279981558,0.03792775308668306,0.07806891992665731,0.04817888299858715,0.047931205681505454,0.08243824236925505,0.11846711626151302,0.05574229654775924,0.05350625154922176,0.058163383440163884,0.07541573735473467,0.11236727361925145,0.09195477988185598,0.06563867354204456,0.10429567183252483,0.09914117544578753,0.06972863012065185,0.0826716967554936,0.17402342062497492,0.053811513356837114,0.0688583238022874,0.06877602296783838,0.050973928239611534,0.04543447809519915,0.03786204420036366,0.03047603015305552,0.06836565787623859,0.038817423749330636,0.05605971794341429,0.20145594403837463,0.1155688225366968,0.08042123649053344,0.075457271320011,0.09014323040257677,0.050936669060507665,0.0896439404572295,0.0471507784470732,0.05902620492265434,0.07098589799811891,0.10623320681018736,0.07547649683043454,0.04054855428629427,0.044595709272258685,0.0472888628532477,0.029879315800361024,0.054275612766691836,0.3082732362437149,0.14767724977248795,0.015476523938502932,0.03823725997577052,0.18246496271843723
Ahl-i Hadith,0.22510482696444578,0.1953859732710322,0.0,0.11163267221842618,0.12047970485415835,0.10889219272029534,0.07012083345605638,0.15126750608039,0.22181553827630265,0.13131915102080222,0.20467343898681842,0.09606371584746978,0.13738107320065487,0.27150341362046465,0.22074556962750025,0.25532882078319424,0.09409186233504249,0.30169503321444,0.2352974805965011,0.11043040918175229,0.2599703540375506,0.2564175572157313,0.12244564813237126,0.10079175717958364,0.26684765680694417,0.09829954357867374,0.11917327856365499,0.10198579529094529,0.06418600652322401,0.0592269396839576,0.10559404297897546,0.11844403314224337,0.2620767421728351,0.14264695532558797,0.12418862629440303,0.2356190514178796,0.20978604436229656,0.25825829539111345,0.22868611641826941,0.13554968985247545,0.07389051114391736,0.06848189826143464,0.12300512641098052,0.09140589633619406,0.30947353067099825,0.223147745453919,0.09379497021985506,0.24316159610112426,0.25384002527823113,0.0954690147270397,0.08811991880625492,0.11640788760995004,0.23391546867656585,0.1884352381847908,0.12192365240996726,0.1894169623018598,0.1049710974047906,0.4938973546966845,0.06906717812192183,0.18890068142670363,0.16076210746379319,0.06224500794174713
Anglican,0.14844480551061764,0.11151705051397276,0.11163267221842618,0.0,0.06474042629453307,0.048436168879060625,0.07542721160154764,0.07264869530033348,0.13918860258114296,0.05569336934984324,0.11463332382364602,0.05161359920486086,0.06954672545319183,0.18457293394363064,0.13581884832936922,0.1472061699790969,0.03437124478295384,0.23528850384962854,0.14168008896938653,0.045443766203012145,0.16684417966878462,0.18240308230617058,0.07238316820832846,0.030861118078376975,0.17210135862161857,0.027442752280226003,0.07683212413422127,0.05610988931287662,0.05648513200838149,0.07009536413023656,0.04714072795268576,0.04121607870382136,0.1709125686915721,0.05275714566188927,0.05641932903410163,0.13389687443170967,0.13409075915542162,0.16045239512491513,0.14341746897658383,0.08464324762280513,0.0924322238746949,0.04379729120602745,0.01890868263074848,0.03108043535669432,0.19846831135756282,0.143988703363244,0.027825402180152035,0.1542351794750907,0.1677618160046982,0.04483556738271459,0.07787240197829172,0.06925587641570796,0.15653707537564826,0.10132673288853446,0.08705807026747546,0.09911691136388003,0.04529217838268713,0.5084230173736674,0.07289562986098931,0.11477983016501717,0.07425206004880228,0.0788607001017183
Armenian Apostolic Church,0.07200128991354755,0.0757715602250225,0.12047970485415835,0.06474042629453307,0.0,0.02150364150164053,0.06854745967743792,0.03226517797150922,0.08919282387612629,0.02942606789307955,0.08783648960547273,0.09289347329809113,0.029746218643334005,0.09699582221435597,0.09724931102036734,0.09289035165906866,0.019301325422072607,0.11943743615833675,0.07810951493288397,0.02713665447602853,0.09211203677365641,0.09889511573242364,0.10527544470163581,0.04881885448910056,0.09962815747411048,0.03862693085238442,0.07558596378616142,0.020816039341292544,0.02612893074382656,0.07910568610309447,0.016574969241666626,0.05169699420802876,0.12063501032640676,0.04999724172231075,0.024594336986642623,0.08405996289493749,0.05958509474084404,0.08782434914863169,0.08297938430871533,0.030525725281824526,0.10221114305932294,0.03926050562880663,0.05671170854169405,0.03165404683596824,0.12861900697727363,0.09359427031557481,0.03729193987446028,0.08500826981224364,0.09155909423942266,0.034104231212199326,0.08668028904088328,0.022784221544389065,0.08928753056091399,0.050744790242076586,0.028384684190078967,0.05093512893805411,0.03730092826437285,0.41142098391158394,0.0793741108858139,0.08602961338628082,0.051361153164814224,0.08991653456630493
Baptist,0.06352396725424408,0.06042159052893519,0.10889219272029534,0.048436168879060625,0.02150364150164053,0.0,0.07845151055793086,0.01672474934727221,0.06818661929243428,0.021911152629247956,0.07435049458422088,0.07045871833422132,0.028615178059656687,0.09276829308453015,0.08339213768674252,0.08419101785937545,0.014825057896768152,0.12540429899405248,0.06261964903004556,0.012743205896749087,0.08381935076201698,0.0866239008527935,0.07355762273843684,0.036912868115637334,0.08688128441681556,0.035743839966674594,0.050808012338658746,0.016212100437983688,0.02343728922454362,0.07696661200987849,0.010398424808690347,0.0352985816989665,0.10858726142191906,0.0312555949291453,0.012160218615741505,0.0746026833113346,0.05660137141268167,0.08085904033078603,0.06817059837760842,0.027114025541621248,0.10417952004289446,0.04054947528832382,0.03501477239646428,0.02160167232804683,0.1173509866866226,0.09465702665898697,0.017496056617471396,0.07561186280647197,0.07981985580631532,0.015759376074512867,0.06376165223688068,0.016565952575842265,0.08396677086424185,0.03994995405376223,0.02765949448994858,0.03820683184937228,0.02298018354828153,0.4842037590758066,0.062020257565363585,0.07046510466882663,0.03314235355982405,0.08974468687153281
Brotherhood of the Cross and Star,0.20492876015468145,0.17423054508944383,0.07012083345605638,0.07542721160154764,0.06854745967743792,0.07845151055793086,0.0,0.12145640715276948,0.2039712528633979,0.10051948142671073,0.1944895906530384,0.07284243853646691,0.10869461652261163,0.24588718468997645,0.20802957135218056,0.22883892979723786,0.052100089409397914,0.2760898203218266,0.20401452671344972,0.0807065091057881,0.23376618306950114,0.2375932878938193,0.10362716199429357,0.06496514307196431,0.24084356676176757,0.0620184918095702,0.08999941570821837,0.057464890666346004,0.05737176596838507,0.02455577195332301,0.075079877788848,0.09803423578231248,0.24334398622355993,0.11544529194593554,0.09666022954331854,0.21289645502738308,0.18519152836419675,0.23096999164980286,0.2099355843682145,0.12519213013560446,0.02614343481588547,0.019591268277372707,0.0971509507525046,0.056767796906103465,0.2809650203309147,0.21000503809659982,0.06010905324858385,0.22171509074039,0.23052155026086715,0.07637588278338121,0.08648636408057354,0.08957193215863878,0.21320939960092128,0.16049676935205814,0.1158421286595856,0.1618811165329497,0.07859512402290024,0.43330325113185797,0.05641737180437625,0.17640902330102295,0.13259614931793978,0.018524404346156424
Buddhist,0.03919367665933319,0.03901220378969672,0.15126750608039,0.07264869530033348,0.03226517797150922,0.01672474934727221,0.12145640715276948,0.0,0.03571821072246816,0.024215238400482134,0.051670656428590735,0.09755718804234562,0.02503601078330404,0.05861947817004747,0.0536347483099676,0.04883433323077114,0.04065141360238335,0.094702783243228,0.027045532170512386,0.02538892011987176,0.04459161316048344,0.05606554406051821,0.0908190162356292,0.060461419050077965,0.04880744861115312,0.06387036661228732,0.06737815105271465,0.030819189913161054,0.04546205924696404,0.12045946245034388,0.021591895414367866,0.042661707518558835,0.07563414119609307,0.03162718758053854,0.016751321738317063,0.04431224786988052,0.03094229268673365,0.043882909405126604,0.03336344056181521,0.020511582066767644,0.15437751298770544,0.07394497716447411,0.0485529651308875,0.04139116752953676,0.0738869571927765,0.07637771586947596,0.04240989685596476,0.039148323113447264,0.04549954911367894,0.03051593493027158,0.08255082274002669,0.027549279774476534,0.04585363347466765,0.027278936809682606,0.02628636642634219,0.01497826985299417,0.03559580361607622,0.42294029377713077,0.09995759405683195,0.05488543526609591,0.025730827932077874,0.13362776964582704
Byzantine Rite,0.03890533964354287,0.03691487129524595,0.22181553827630265,0.13918860258114296,0.08919282387612629,0.06818661929243428,0.2039712528633979,0.03571821072246816,0.0,0.06606282259891168,0.06244263867588799,0.16883822005611915,0.06508004054050598,0.053151979198365784,0.04035295664875465,0.052039210732302006,0.10580833951244971,0.09217176496666336,0.03019266045872343,0.08014408100939316,0.031637443349258935,0.04789194655781775,0.145495626713155,0.1275522051892639,0.04021804173242782,0.13316646908324964,0.12765834026536,0.0830100609744915,0.10513589577818201,0.20667205122240695,0.07701194017963907,0.08700354879687926,0.060269225936252786,0.07854782703745251,0.06531645792469984,0.050233235656213335,0.03416636610944057,0.04394119082209556,0.012021306609489645,0.06123106931770623,0.2367634002854655,0.14783114306784736,0.10720216878213386,0.10861042103642038,0.06444819036374683,0.08698967466431361,0.10608246160021524,0.01902925235190726,0.02870660833088512,0.08301488398262655,0.1366777877212951,0.08415716153916998,0.022285205595430027,0.05752046420235415,0.06443607436564291,0.037359695150716445,0.08966805433849787,0.3027995276547149,0.18061422035498392,0.05673034334609972,0.06249099454229675,0.21572519701963766
Catholic,0.0592368685883323,0.037698484380639136,0.13131915102080222,0.05569336934984324,0.02942606789307955,0.021911152629247956,0.10051948142671073,0.024215238400482134,0.06606282259891168,0.0,0.045492126833694434,0.07650269098991601,0.013803068399034932,0.09351475220833833,0.07180521241808832,0.06840059798426541,0.027455664089595985,0.1390675442449906,0.06343179080860165,0.016751213287350627,0.08182540146932099,0.09570435198842202,0.0840133064036451,0.03839793758344561,0.08790868283402423,0.04832226434620667,0.07296525313143186,0.026131898979255146,0.036059199172697495,0.09788190829411222,0.014096903122713425,0.03360077888115065,0.09482994425962935,0.02497480373525897,0.015203129389000942,0.05576137291579335,0.050059738853983196,0.07540770892307956,0.061168819621860306,0.032547298640193206,0.12299995146860904,0.05184350622520601,0.03840263008985972,0.02392232081590162,0.11451476076383148,0.06301916309119136,0.03512137530747673,0.07090279694866981,0.08279013681450471,0.026241679360727143,0.07763855916086826,0.03600594627672495,0.07361442310143695,0.03806339068708533,0.027981115263216703,0.03043981167284868,0.022727898115280917,0.41543824141909264,0.0873455759673352,0.04678534769239001,0.027623066253267745,0.10750504623311363
