,Adventist movement (Sunday observing),African traditional religions Ethnic,Ahl-i Hadith,Anglican,Armenian Apostolic Church,Baptist,Brotherhood of the Cross and Star,Buddhist,Byzantine Rite,Catholic,Chinese traditional religion,Church of Sweden,Confucianists,Cypriot Orthodox Church,Druze,Dutch Reformed Church,Eastern Orthodox,Ethiopian Orthodox Tewahedo Church,Ethnic religions excluding some in separate,Evangelical,Evangelical Church of the Augsburg Confession in,Evangelical Lutheran Church of Brazil,Evangelicalism,Free Church,Greek Byzantine Catholic Church,Hindu,Hoahaoism,Iglesia ni Cristo (Church of Christ),Islam,Jainism,Jehovah's Witnesses,Judaism,Maronite Church,Methodist,Mormons,Netherlands Reformed Churches,Orthodox,Orthodox Church of Greece,Orthodox Church of Ukraine,Other Christian,Other syncretists,Pentecostal and Charismatic,Presbyterianism,Protestant,Protestant Churches without free churches,Reformed Church in Romania,Roman Catholic; Latin Church;,Russian Orthodox Church,Serbian Orthodox Church,Seventh-day Adventist Church,Shia,Sikhism,Slovak Greek Catholic Church,Spiritism,Sunni,Taoism (Han Chinese),The African Church,United Evangelical Church in Nigeria,Vietnam Ancestral worshipping / Tradition,Vodou,Yiguandao,Zion Christian Church
Adventist movement (Sunday observing),0.0,0.05632901063622563,0.24689370523352228,0.12157750169438705,0.06023517197140084,0.08382053095792122,0.21922217959285462,0.04753287346654807,0.08131564163790167,0.03481237794469238,0.09891466188635388,0.19808833522528296,0.03633925870843075,0.06445194578179705,0.08753977281985377,0.03284803084108928,0.07662304830710712,0.07743461644735732,0.08583500167159339,0.0456346563115125,0.07600436530607954,0.0852343045806182,0.16497040086291548,0.08954577289936952,0.08437895469636389,0.07613666391067223,0.14937881411205206,0.05349468345115662,0.07360870840313302,0.21222532535665542,0.043551057921831074,0.11324727915267321,0.09685967758659453,0.08399302328236397,0.03791142703431124,0.038069449721862506,0.01320819788683079,0.06755142616064772,0.07525368801526117,0.057907695099599324,0.2478434271720083,0.10703608006318732,0.12396235484961267,0.06844930622751806,0.09043249560757413,0.07770244974934525,0.12994861312203948,0.078966937973149,0.07845666146316374,0.0883109333560684,0.2564921393294801,0.14278559153378212,0.08970639767022114,0.03276081888916863,0.069243155119518,0.020324270456083954,0.04042226347057311,0.4952068855416784,0.17852535696810218,0.09542574602205249,0.031178095191643364,0.25433814967796675
African traditional religions Ethnic,0.05632901063622563,0.0,0.3179289081679847,0.18781666006105063,0.1096007189873992,0.16146227640702412,0.3084694890824323,0.10572101009033172,0.14642332654887666,0.04550577307500122,0.07089881967328512,0.2789076793087638,0.020868034580943787,0.16445476079320465,0.13643177740132123,0.06404984585680885,0.12923440152242058,0.1653156805761165,0.17973107810128403,0.09316710996312691,0.15307901266912938,0.19318855861759335,0.251804106347837,0.1365784236632069,0.16574216877026543,0.10847644051990754,0.20435669611845375,0.11336847540995161,0.12911718150629373,0.2736744700167756,0.09123107457840199,0.18957938405616573,0.1420175147966601,0.13372925124985985,0.094388556034242,0.054821359259788496,0.03327008861908788,0.152720425295522,0.1549357557573823,0.1125915196398802,0.3158360811637652,0.16588110399076075,0.1876529425767704,0.12846301592375908,0.17695346210577295,0.051614226545395395,0.21314093933878792,0.15190668151981027,0.14665120805323448,0.17038692720871246,0.29425723814717875,0.1722935753671392,0.1701002885546218,0.07341637438716306,0.08109051392514335,0.06096663161931611,0.059860379517416226,0.4992927956421368,0.23510386319467663,0.062259801719789565,0.057801005047785056,0.34248704770286864
Ahl-i Hadith,0.24689370523352228,0.3179289081679847,0.0,0.08550925235432305,0.11783882449035185,0.09163317640856412,0.02513983069232672,0.14862847610616275,0.15298145565536547,0.23298860810678948,0.42277707520163543,0.05475022846919199,0.24259871209742806,0.18042950821913814,0.17958509906331818,0.2762488703781055,0.09270350606585336,0.20258043770495573,0.2123850577652581,0.12777506517533546,0.19442748179236816,0.21998963691343584,0.1051078703797605,0.12168436268610072,0.2154000963774747,0.10135945482082402,0.12340908034048956,0.11426915936449325,0.09243906597336508,0.01582812420592603,0.1379705209580914,0.06876808337618198,0.2058038848912454,0.13095816653840361,0.13612189798823537,0.30972696176955805,0.25046321528542875,0.17749729923071786,0.13505426525988007,0.12852064985915276,0.00017683465959316268,0.06615573096860368,0.07707227025834887,0.1084396568165787,0.2037807915940928,0.39509576269239155,0.06400779907215684,0.15528712587782284,0.1966555853577312,0.09797859570404673,0.028455028455027554,0.13261137853718735,0.19173914705369827,0.22153282012466935,0.209837437608011,0.25161092421830766,0.1765792017173161,0.49827200000000005,0.06928773151810166,0.419017279666389,0.24592678680284888,0.012765957446808482
Anglican,0.12157750169438705,0.18781666006105063,0.08550925235432305,0.0,0.05491669177011449,0.0442669905036512,0.053361754167016516,0.0876201729719314,0.13156785958137704,0.0884979661874786,0.23088821064273063,0.07068563892447532,0.11939807500534416,0.14193422181010745,0.1523214797174599,0.11750323301433832,0.043559949422483105,0.1525820806053533,0.15549654972704935,0.04531049336958792,0.1614818489316133,0.15070504384770683,0.11236711514527706,0.015813227074007247,0.16605719169433447,0.03976909665475737,0.14387539286963366,0.035219228407020305,0.04324595718092014,0.08163352910296527,0.04685561987983687,0.015236095774582839,0.1882298360445093,0.013994786686772781,0.0381563260061236,0.1401166151817895,0.13002842696570668,0.15523680156964464,0.1149010663697386,0.06319681553088216,0.08779705834837451,0.015985665450282988,0.004969291633968731,0.024713031222033128,0.14886641305869897,0.2195260783095422,0.06819913949307013,0.13310073302256625,0.17102909199421623,0.05933213818056624,0.10657405451607657,0.13849664665146894,0.15564566887426148,0.08815112514427338,0.1321402038638407,0.11120104427194248,0.06209576891943626,0.4079377253410853,0.1219715070769033,0.23475361532758945,0.10203309679243419,0.07274329490751456
Armenian Apostolic Church,0.06023517197140084,0.1096007189873992,0.11783882449035185,0.05491669177011449,0.0,0.027046328008127646,0.10673073069226906,0.018685444186225284,0.05490899004453076,0.07017864004344096,0.19763366597344662,0.10320468055303196,0.06527777743746652,0.07342075729596312,0.05626304902806384,0.09069140630606598,0.012479711226970266,0.08852308365954112,0.09820640573147675,0.018102725892486057,0.07729200988055425,0.1049410947963405,0.1128992151299123,0.050601590102089776,0.09453507712257836,0.01510648929016668,0.08441424615661251,0.014108486266091968,0.008811862704704174,0.08690524588262652,0.02198137433853355,0.03742061894723312,0.07857222360538582,0.04868759670790181,0.019937706896962577,0.11231585710098388,0.05871647880634563,0.06339295986089669,0.04574083298907895,0.0193124617279464,0.11673356310869062,0.029898084238148416,0.050999435500303815,0.02772360524490331,0.09568714898739704,0.18207545858681037,0.05318819312110503,0.05382379144250009,0.07494265026742367,0.03632614139952754,0.10967562277800565,0.06233694932045373,0.09763880186007164,0.05960776275959726,0.029478981601148792,0.07036994846418519,0.044526969582817835,0.4973024308563064,0.08173747682089418,0.20511546200326158,0.07515388417987709,0.1376800943316216
Baptist,0.08382053095792122,0.16146227640702412,0.09163317640856412,0.0442669905036512,0.027046328008127646,0.0,0.06792742709981385,0.029301345769217536,0.039648758498692815,0.09659381789954226,0.23294835589379748,0.054966206923101966,0.11191337937276433,0.054096853463615924,0.05678396198023048,0.09690020509652272,0.02688874662138293,0.05715654640940824,0.06252342712928768,0.023236196209506253,0.06111865888246961,0.06729275067277815,0.0702956655510384,0.03927027898764697,0.06507676215701788,0.027041697451249236,0.07458127455287963,0.017516821614186683,0.021467814991839907,0.06986725505803244,0.024262535301541023,0.015414769234808407,0.08259779026842787,0.04641647788560107,0.02866021083054529,0.12472686069962094,0.08853378911482362,0.06288761025632025,0.03328873322831942,0.015134824287327871,0.09299092976631744,0.028554715485404093,0.04433094679437475,0.02187220500614561,0.0595708049757836,0.21929758344891032,0.026833207215174893,0.04344124914036557,0.06968823861323162,0.01243207147469837,0.10895942937630823,0.06037529725316025,0.06838829495556696,0.05711692411645473,0.09178673586573897,0.08105100435260729,0.05662077351395502,0.49732632773938495,0.07719800865637952,0.22854971432556398,0.08566620792662671,0.09562094122107137
Brotherhood of the Cross and Star,0.21922217959285462,0.3084694890824323,0.02513983069232672,0.053361754167016516,0.10673073069226906,0.06792742709981385,0.0,0.1375967598054492,0.13805744750709123,0.20592388884523866,0.3903813180325149,0.03337815067937526,0.23327932043038632,0.1489067711277542,0.17410584500387288,0.2363515840570521,0.08608842086426857,0.16719707488744687,0.17546577197943952,0.10936566350728731,0.17553170676579177,0.1704119499103251,0.08079917274973572,0.08436493898624647,0.18262476948152534,0.09522174722102714,0.12092014819781134,0.08797466346589855,0.07960533832444375,0.032548411612707454,0.11213009744762241,0.040441989400390364,0.19987862625506198,0.09336748560690036,0.11077039855336639,0.26849718139898615,0.23293651042248203,0.16397867943824831,0.12134309017433442,0.11321176873428862,0.02742763668637817,0.05098262102452422,0.0528607614564078,0.0821338188132084,0.16797488901943652,0.3635915617369987,0.04480824709564436,0.1431185297382473,0.18547766344861688,0.07365518773068083,0.06068115850724511,0.13469245261919766,0.15620683358524062,0.1884809922790974,0.2039222426869242,0.22069392469817145,0.15011424551753672,0.23494152542372887,0.08404089263636272,0.3708640249909886,0.21245491179257528,0.012373873245518236
Buddhist,0.04753287346654807,0.10572101009033172,0.14862847610616275,0.0876201729719314,0.018685444186225284,0.029301345769217536,0.1375967598054492,0.0,0.023141596076592816,0.08132433437992911,0.18588145917136492,0.11602184993314502,0.06595545550516116,0.039396834204136824,0.022395464584113244,0.07364081700465194,0.024476134971696,0.05402849440495405,0.04923504954391765,0.022686428787196497,0.03075741952066493,0.05920240752192252,0.09929677963247445,0.07160394839864496,0.04997487887692614,0.028718369397466907,0.05923175875226492,0.02973633994518924,0.02550216150066012,0.10931170300541578,0.03057599110866077,0.05885343590575722,0.03717269448238191,0.07703756744833953,0.031945251519540835,0.09153643115215383,0.04286128772436442,0.02949344603558001,0.020642046390085093,0.009978209415633831,0.14725291167723714,0.059306338445581065,0.08919895397869508,0.041783086256259885,0.054604333694574715,0.1717560003789492,0.053270364631507326,0.019826674375119938,0.029191518979466757,0.035313071815999894,0.13698021077049663,0.04300511293965778,0.05722079417758173,0.046817808667447655,0.04474848269403246,0.04857940140184648,0.053626465664693215,0.4964290400847283,0.07747284237400329,0.1928330922995812,0.061339489294772634,0.1698039911206158
Byzantine Rite,0.08131564163790167,0.14642332654887666,0.15298145565536547,0.13156785958137704,0.05490899004453076,0.039648758498692815,0.13805744750709123,0.023141596076592816,0.0,0.1280982349083202,0.239693490534702,0.10541509644028371,0.11645025422284479,0.0187305403978724,0.014485221478959693,0.0997699442667812,0.06139491726982329,0.022070156028006164,0.025960816238758243,0.05683222093092386,0.007167236869468893,0.03733749088440149,0.0818726145551076,0.11078999882353353,0.01890381066006009,0.06744782775802705,0.049159700089611555,0.06083681308076749,0.05730133628881841,0.1134248021029181,0.06171372455954469,0.08574147211497136,0.01629042880618221,0.1224564283861902,0.06581740373542506,0.12462578356583716,0.07518223081050762,0.017090186197217777,0.008471875204515748,0.02908607769535785,0.1521649290447212,0.0985029342526296,0.1339385649708208,0.07723373515968496,0.029761785026666182,0.22525251425307347,0.048010734345474704,0.006627719562331208,0.011123640268700285,0.04085059708393072,0.15764072659298317,0.030682736807873746,0.013158667884337467,0.07140611435527056,0.08918798448287457,0.08346298741156373,0.0901896127793805,0.2995771664174994,0.08107245046153465,0.2339879850683803,0.09538816742615339,0.17134991072970274
Catholic,0.03481237794469238,0.04550577307500122,0.23298860810678948,0.0884979661874786,0.07017864004344096,0.09659381789954226,0.20592388884523866,0.08132433437992911,0.1280982349083202,0.0,0.04938217873158535,0.1895544065346491,0.017511600807071512,0.12952260262705512,0.13927673457335085,0.03024623694998685,0.07993542468712558,0.13785139999242643,0.1401031197931845,0.04747094973200227,0.13617097810985973,0.14336690744808384,0.1848903264584464,0.06048174697425997,0.14246699995178563,0.06600713488392763,0.18105924445193555,0.05448349828378687,0.07939488809442176,0.20678680933579194,0.04269235283955647,0.10382351408858839,0.16218702685091443,0.04915441212967388,0.03328932457977589,0.027014848332819353,0.035101597076940695,0.13846442972806844,0.12335484221382227,0.07730491992572902,0.23434636146454277,0.08756309672028016,0.09177391304476537,0.05709194415010388,0.142268367179614,0.04364647144712179,0.14249647410456495,0.13041210528009622,0.14533059411775653,0.10645174798110572,0.2442281708597228,0.16836029898547383,0.14150284415090028,0.035770537313134974,0.09216638573121104,0.028704160958800923,0.01998503565511749,0.49787159338418513,0.1963740256679546,0.07613107943670498,0.020283152407473033,0.2369763729192967
