,Adventist movement (Sunday observing),African traditional religions Ethnic,Ahl-i Hadith,Anglican,Armenian Apostolic Church,Baptist,Brotherhood of the Cross and Star,Buddhist,Byzantine Rite,Catholic,Chinese traditional religion,Church of Sweden,Confucianists,Cypriot Orthodox Church,Druze,Dutch Reformed Church,Eastern Orthodox,Ethiopian Orthodox Tewahedo Church,Ethnic religions excluding some in separate,Evangelical,Evangelical Church of the Augsburg Confession in,Evangelical Lutheran Church of Brazil,Evangelicalism,Free Church,Greek Byzantine Catholic Church,Hindu,Hoahaoism,Iglesia ni Cristo (Church of Christ),Islam,Jainism,Jehovah's Witnesses,Judaism,Maronite Church,Methodist,Mormons,Netherlands Reformed Churches,Orthodox,Orthodox Church of Greece,Orthodox Church of Ukraine,Other Christian,Other syncretists,Pentecostal and Charismatic,Presbyterianism,Protestant,Protestant Churches without free churches,Reformed Church in Romania,Roman Catholic; Latin Church;,Russian Orthodox Church,Serbian Orthodox Church,Seventh-day Adventist Church,Shia,Sikhism,Slovak Greek Catholic Church,Spiritism,Sunni,Taoism (Han Chinese),The African Church,United Evangelical Church in Nigeria,Vietnam Ancestral worshipping / Tradition,Vodou,Yiguandao,Zion Christian Church
Adventist movement (Sunday observing),0.0,0.02415541983863775,0.10447792558390266,0.08214978403002543,0.035381310889627406,0.038401088138154585,0.08217115502966492,0.06090511199850348,0.02537401906032966,0.0357291731588311,0.06586621352432588,0.12701079506538498,0.04809767880806537,0.03462492863423299,0.03487822644013964,0.04494063148991146,0.06507503542030305,0.025625765194913698,0.05757726834121546,0.05270130953486032,0.055986757536874106,0.01635917333004307,0.13494888481388587,0.06706355708645356,0.02544586896518118,0.10579508235203226,0.13659266467591336,0.03728246546098377,0.04103062886850684,0.07550900012756544,0.03334037977550981,0.08730196132756102,0.02607895456645123,0.08491400724791638,0.034818533338015566,0.03238745307869467,0.011521658677230472,0.028109897468468825,0.058792892713892125,0.03421654270394482,0.08575019693260358,0.0660960695221715,0.09959046745068668,0.06826605977185254,0.07514977896885972,0.03431109394424946,0.09241137265821414,0.05878609549156331,0.05661625451134478,0.04990822948196952,0.09359352059261537,0.0505050088161276,0.05279653273923293,0.022814420745819096,0.019873743897848257,0.062329113379512906,0.05004892358072481,0.13431074266224063,0.12671531594375243,0.03465490123754103,0.05795532224358024,0.09516324768927857
African traditional religions Ethnic,0.02415541983863775,0.0,0.11565620459136716,0.048804930232257474,0.023311521651098784,0.046227917254496396,0.08715873287849558,0.03667387743633687,0.04254473658279255,0.012550915399703743,0.01912944579835176,0.08014907379188017,0.024285582385565753,0.04288900605505172,0.042639690341034785,0.021125163260832445,0.0357976242431564,0.07022417402852703,0.05015690058021328,0.034152810630016385,0.05149038987621304,0.04746767378881919,0.09557937447853519,0.044206384928017727,0.039568935559525835,0.08436898050212399,0.08970655838232723,0.045963073992998996,0.03929659636280008,0.05530839793102483,0.02600673148281551,0.06865376914386744,0.0401426536303999,0.05145019690361494,0.03249298310215773,0.009646223060904142,0.01188497382279697,0.035971048139919734,0.055157878210912406,0.031889545485014416,0.08862266251571675,0.0633409610376671,0.06189144156199191,0.04128155149591634,0.06780087620262948,0.0044720980440804865,0.0697672999147968,0.05352306904473942,0.051693016047605546,0.04532652307347382,0.08609764757642187,0.03691347425875165,0.05009988760045267,0.029619697160727262,0.03362996784805328,0.028400546403217694,0.03017444916298312,0.18034420035512896,0.08517892187186674,0.009618172369325677,0.02532367742035254,0.0903468516845954
Ahl-i Hadith,0.10447792558390266,0.11565620459136716,0.0,0.08838001662234936,0.08810538518208072,0.07297828064627745,0.01738715309046822,0.1492436290793496,0.14686270365253595,0.0869290392716726,0.15690894348065312,0.16212077162076144,0.1402675956508952,0.15140744229318767,0.1526738917467881,0.1487920494859671,0.11046567509520702,0.12986499556949052,0.1631484995086312,0.10247765901772396,0.17680248112594707,0.13296652261837025,0.2261014735423568,0.0783942820837886,0.14146138114276496,0.13023813509302798,0.22939821550457254,0.038593619875659596,0.05175368325103664,0.05838136494631392,0.09616810121585216,0.15688862335382772,0.1436272596587307,0.17237010146997647,0.08829622496185165,0.13111042356574462,0.11403278015212738,0.13417301874817464,0.18012057997571268,0.08931311916062322,0.02210619419820832,0.03360519987091181,0.1656650497837617,0.0947981632284972,0.19480962504405197,0.1303679378160164,0.11124352475423889,0.18105841457603503,0.17652830758287674,0.09443435869259154,0.15922303891018358,0.10133977307295065,0.17512228797562732,0.12038430313788205,0.06622031603425314,0.14826083543424276,0.09108921237248437,0.22578917193173575,0.17984402862880228,0.1246432626832938,0.15244368740392034,0.014924826715452673
Anglican,0.08214978403002543,0.048804930232257474,0.08838001662234936,0.0,0.03093286847847231,0.03854433180856945,0.06630355227228857,0.035371081360025,0.09551024929672414,0.024627525931262374,0.0488062634610248,0.02289927412412083,0.03682644584420391,0.07940757505677837,0.0794476786571308,0.046482297562356646,0.0192171519888738,0.13136867179445536,0.06955490408203596,0.01380691590070983,0.07846918704714484,0.10206837322552528,0.07191269011006506,0.020089125369701564,0.08981460270857848,0.06536177611568729,0.06702572598193435,0.04852970578275728,0.02626942928268795,0.011395029053289284,0.025063984519981965,0.03863743067775373,0.0962783314671754,0.0318295275934994,0.02967693317024759,0.04740866714638747,0.05662932007455939,0.0721484227244399,0.07500663104604423,0.023686224611611132,0.06241471640977734,0.037011669723449284,0.025712916216009928,0.010456077903072304,0.07540118398793387,0.05010686533532052,0.029582767947387126,0.07969437907219606,0.07903658707259768,0.02568756902904166,0.06797111005896453,0.02510234623095766,0.08994002744348915,0.05165999600690693,0.049791302692394464,0.03825991209045203,0.017260645473102222,0.22675998968186725,0.03521413497392573,0.0494336137231782,0.031119133148608088,0.06178983453480052
Armenian Apostolic Church,0.035381310889627406,0.023311521651098784,0.08810538518208072,0.03093286847847231,0.0,0.01770835587778088,0.05594734974965558,0.038840385520476,0.055641766435173864,0.007851031569979449,0.04414602959148717,0.06840366394995666,0.03741977545946571,0.05170263300751225,0.05206502538277966,0.03428648719164596,0.024669637259173302,0.08149727766592389,0.05088331741602108,0.023716247757603972,0.06139960297148521,0.058156956087468646,0.11390107568965671,0.02075243027541911,0.05066411955031327,0.0681769586536568,0.10434174728572998,0.02347888707070818,0.020160790895670223,0.02764597814995119,0.014674493320144172,0.053969252042519095,0.054503252455337846,0.05749395703990931,0.016373020999519147,0.026423515403889385,0.019284580891890637,0.03889990289170945,0.0637575846189644,0.011852853812020352,0.055476877704663856,0.036719265842548206,0.05884218878737533,0.027643747938414964,0.075516305151128,0.02336741410261781,0.05217048542737164,0.06293777499839172,0.061223669277921784,0.025609543263212783,0.0853061353731466,0.024928304636191424,0.06517565461997211,0.026850076393023434,0.017001206256658772,0.03589948109213434,0.02005011509283578,0.22506291346899515,0.07077117567544572,0.03206565752710379,0.04110599386552835,0.06240122079768686
Baptist,0.038401088138154585,0.046227917254496396,0.07297828064627745,0.03854433180856945,0.01770835587778088,0.0,0.04296308554088559,0.058443509693987365,0.0739049393675799,0.024299567727826484,0.08377965699472921,0.08371531403030313,0.05096609385014314,0.06799061803207841,0.06448046996907289,0.061890406402959425,0.028804693683519587,0.07443553584777711,0.08146837431553879,0.02451286458781327,0.08814445326939767,0.0627183185393601,0.1250245461422978,0.017653967672422347,0.06644786303497013,0.06398333884370162,0.12334862632183966,0.01750075039104098,0.011082697602231685,0.02472970329545009,0.012452613248925827,0.05850466872037374,0.07261249875159197,0.07232637557909335,0.010247163490253192,0.05403177538972684,0.03178094380358205,0.05557619529860535,0.08683605074215522,0.01568298784790295,0.047015486492803446,0.02263640042162429,0.07258431961814417,0.0278997573202445,0.09811047479320928,0.0517491065669111,0.04399366937531513,0.08982368381809955,0.08852712437213003,0.016606147649508664,0.0658091603045076,0.029404731636036775,0.11012302695844679,0.022972087790743077,0.012407050540155708,0.06885027213394922,0.01932033303042344,0.40294898049765104,0.08351591218608606,0.05268960104352099,0.05819389124358731,0.05666442341633165
Brotherhood of the Cross and Star,0.08217115502966492,0.08715873287849558,0.01738715309046822,0.06630355227228857,0.05594734974965558,0.04296308554088559,0.0,0.13085970802331295,0.12912079174708077,0.05767800445485767,0.13151515381430512,0.13543725705405152,0.11834590102400626,0.13519681082909754,0.13347836490719817,0.12852617745961029,0.08296922584772365,0.11369377947065255,0.14810228873525944,0.07614214438708114,0.16032825496089925,0.11639616593980316,0.20007680489488736,0.043519961779242056,0.12468311756830902,0.10784477375685353,0.19986920067971353,0.015329655432049172,0.03213245255828505,0.03798958927263634,0.06366394725425648,0.13574840857342893,0.12515836960946894,0.1436033334959537,0.05673981238747628,0.11004603257938594,0.08904146692261855,0.11727485459116335,0.16385936637883441,0.0679907557481093,0.00459836125697477,0.0124511935218119,0.13712772199824833,0.06722228271297805,0.1789303926852461,0.09365362292586425,0.09428527931457996,0.16448967396100797,0.1603744177425731,0.06527917411521761,0.12612736700840052,0.08347224456865861,0.15770248298778736,0.08788197745470479,0.043457170550188245,0.13024853045145743,0.05973265626210122,0.18427515263638553,0.14496667961816223,0.09515867585946078,0.12613789069219902,0.00792017719692603
Buddhist,0.06090511199850348,0.03667387743633687,0.1492436290793496,0.035371081360025,0.038840385520476,0.058443509693987365,0.13085970802331295,0.0,0.055613571990129146,0.03590305215645797,0.0340364865052304,0.03885998679901301,0.010422603536490717,0.03809086885119078,0.03878524204260731,0.010697552210226084,0.027560558854615894,0.10189215483802051,0.029641008049091307,0.023097468828736176,0.032475877568186116,0.0674451340341304,0.05767652991758774,0.057649301871869445,0.050092620879850426,0.08478185615344856,0.045007642582069386,0.08328818708195643,0.054091915028095024,0.050017905007512846,0.032924616207284846,0.02690255231792754,0.055442550802864095,0.021704781159073226,0.04172765275740378,0.020082099217368147,0.03158391164522342,0.03357424173979781,0.028304626277638533,0.02072824724524984,0.1310024976715264,0.09220802162185203,0.027357641720366647,0.032909845078177354,0.02829946615316018,0.04168989266092041,0.04694297837230696,0.0312864462342762,0.03357754718895519,0.03929477208716268,0.07094380454425532,0.015021735775294155,0.04480948500171206,0.03741995710394842,0.05861849758894334,0.011320803290021879,0.0379524454995725,0.2256913351795088,0.04500486954308097,0.04399395803813688,0.011968391121194496,0.13059564761949458
Byzantine Rite,0.02537401906032966,0.04254473658279255,0.14686270365253595,0.09551024929672414,0.055641766435173864,0.0739049393675799,0.12912079174708077,0.055613571990129146,0.0,0.05631991312164888,0.0691565635606986,0.1352071702909672,0.05740463045233333,0.011352660690827314,0.013037333304489362,0.03798039880262813,0.0790598344183475,0.03487048259420261,0.027944345871250584,0.07546826684644711,0.019373662366424214,0.007104904797153601,0.14355452397621785,0.09823697017601439,0.006512641886805096,0.1227724089877912,0.13846438292076965,0.07663406700403015,0.07497199527012058,0.09783206616252609,0.06218394742437084,0.0852661921884001,0.004528397293698171,0.0940909850084835,0.07009340968808984,0.034596523336518775,0.02750812404281634,0.012418102295304658,0.022241616061840767,0.04578872637383599,0.12880693982293728,0.11171849133300225,0.11060417368503987,0.0944692598522565,0.03876442399274391,0.05018765945131569,0.1049868353531689,0.020480556304531217,0.021521043530459073,0.08195196550522713,0.13556991501426582,0.06155189318429302,0.010891763679158681,0.054187882968795835,0.05333243940438552,0.0556679689444515,0.08077638225039334,0.09016320953436807,0.14149020550596866,0.05153539305162245,0.0660723591977756,0.13106264704015894
Catholic,0.0357291731588311,0.012550915399703743,0.0869290392716726,0.024627525931262374,0.007851031569979449,0.024299567727826484,0.05767800445485767,0.03590305215645797,0.05631991312164888,0.0,0.031214522274082876,0.06160839616991362,0.03219384243667438,0.05447684550945118,0.05476638762227402,0.03215696954048891,0.020012614900570973,0.0843168600125196,0.054437874494345825,0.01885726516523545,0.0635110192383867,0.059144530050395876,0.10119077738325416,0.018457198365433372,0.05308867244474707,0.06439876975369335,0.09266591609711984,0.025106532856331097,0.017743309649597014,0.025925929521611792,0.012178810192191013,0.05781185075242101,0.05651140724195389,0.050821830426899764,0.017356024194413303,0.021525575480799558,0.021090886094380482,0.04187506696378456,0.0657395679598041,0.01661364289657334,0.05749308186574316,0.03322189972681382,0.05249356407791288,0.02015001511705156,0.07880116910964702,0.014140961287823894,0.04854281752751455,0.06498750815481888,0.06426256122099822,0.027401625962444984,0.07695930299605508,0.024269171628945426,0.0666731946798485,0.028478303053699573,0.02004725756964119,0.030008622058758337,0.014305080210048464,0.22532845234773083,0.06811325174584053,0.01619580124248675,0.03206564937878261,0.06042324504711167
