,Adventist movement (Sunday observing),African traditional religions Ethnic,Ahl-i Hadith,Anglican,Armenian Apostolic Church,Baptist,Brotherhood of the Cross and Star,Buddhist,Byzantine Rite,Catholic,Chinese traditional religion,Church of Sweden,Confucianists,Cypriot Orthodox Church,Druze,Dutch Reformed Church,Eastern Orthodox,Ethiopian Orthodox Tewahedo Church,Ethnic religions excluding some in separate,Evangelical,Evangelical Church of the Augsburg Confession in,Evangelical Lutheran Church of Brazil,Evangelicalism,Free Church,Greek Byzantine Catholic Church,Hindu,Hoahaoism,Iglesia ni Cristo (Church of Christ),Islam,Jainism,Jehovah's Witnesses,Judaism,Maronite Church,Methodist,Mormons,Netherlands Reformed Churches,Orthodox,Orthodox Church of Greece,Orthodox Church of Ukraine,Other Christian,Other syncretists,Pentecostal and Charismatic,Presbyterianism,Protestant,Protestant Churches without free churches,Reformed Church in Romania,Roman Catholic; Latin Church;,Russian Orthodox Church,Serbian Orthodox Church,Seventh-day Adventist Church,Shia,Sikhism,Slovak Greek Catholic Church,Spiritism,Sunni,Taoism (Han Chinese),The African Church,United Evangelical Church in Nigeria,Vietnam Ancestral worshipping / Tradition,Vodou,Yiguandao,Zion Christian Church
Adventist movement (Sunday observing),0.0,0.004734571249008227,0.0505851854690891,0.17106697259643427,0.023415048396655945,0.05657236566507366,0.12548330630245202,0.02886432967343939,0.008431806077493564,0.02228815193379513,0.024693174767395458,0.08658903278650193,0.007757459506920829,0.00931920071532695,0.023481209464997294,0.008041685813443812,0.05615694537138216,0.003726664043563167,0.017870689721953714,0.04417279106686073,0.010886986960539713,0.006900945626319476,0.09883712680521335,0.05661171413725992,0.005085109696942742,0.10263176159350736,0.10287697196560905,0.058064650956120754,0.040708660389585184,0.1177839412719365,0.048102234865927254,0.04493686317407853,0.007060134179541555,0.047179492624732235,0.05126668769172441,0.002900252138026109,0.003489032637968839,0.011281559451599666,0.022689950028845392,0.01744374423214634,0.10497187914452814,0.07724964481666342,0.09714682187158429,0.05537051625408594,0.02085534765120119,0.004171607718900556,0.10010362067333986,0.01646090364847782,0.021008489928915894,0.07628368356266216,0.11436682493901282,0.06602167612754307,0.0060443667125871636,0.018748450857118827,0.013421030132253129,0.028716107299666227,0.0541673312029753,0.09977506626997458,0.0889509392310067,0.011403097593504453,0.03939243364996021,0.13636061341983258
African traditional religions Ethnic,0.004734571249008227,0.0,0.049745921357417955,0.16794968794768614,0.022804596779155716,0.05837795615767909,0.12619225868213896,0.025357932165925086,0.0036212138292232876,0.021345250153444694,0.019594179666959553,0.0823823129048869,0.00704276202469069,0.005296511632073466,0.020419533467466687,0.008928467493161068,0.05097391010228469,0.008848823856566147,0.01556674775341616,0.04613685458936188,0.006618798464292032,0.014170762217547572,0.09534046925986547,0.05794293105826252,0.007748936931453687,0.10121060661412196,0.09716728950265405,0.0627665910001763,0.04149544691797514,0.11631880367595862,0.05125241588763951,0.042712386672459156,0.0029999486644659646,0.04477987221286023,0.05481194554682587,0.0038362503245211637,0.008208842397118443,0.009609253578790099,0.018224898592818884,0.01477941861006354,0.10455629777003347,0.07819534509436413,0.0952066493812799,0.055786588110126066,0.014955243149347788,0.002528196081519397,0.0966987229517681,0.010307704872354143,0.014308332072140726,0.07705912333434381,0.11171818581444488,0.06320653716169002,0.0006293385326275271,0.020613691780008297,0.01737369956913167,0.023402417787163596,0.05530396583547559,0.10052779872340427,0.08495789972642304,0.011322804564866902,0.03774944016799135,0.13496882382419062
Ahl-i Hadith,0.0505851854690891,0.049745921357417955,0.0,0.14850216306110217,0.0327091553253591,0.06875302701707783,0.08873168182639357,0.043898361636379155,0.04547330360853476,0.04692128551324223,0.05950462984677711,0.03960886828281831,0.03408835891132393,0.0494887307348724,0.045508370744867535,0.0490510308828072,0.048861628000459754,0.05728967847385376,0.05013166594776382,0.04563129750530549,0.043664529802753975,0.057956018147367595,0.05126671751843379,0.0500595518320406,0.05083379760559319,0.09709113986900288,0.06822744366726388,0.0700220740263299,0.039802799690651834,0.07030844155844149,0.0534731919358367,0.028170893245745638,0.05260822242118278,0.04290754789178834,0.06829534546692444,0.04852904667328698,0.051385267818689295,0.04931161089264033,0.055831701278368874,0.03614662650025402,0.05690425782168899,0.0603689838454083,0.0790667439257118,0.04580997326691117,0.05072713782531239,0.04870361793992706,0.08143862960470444,0.04589692179879655,0.05222294118485797,0.06777426889462665,0.06922607534309647,0.06108216687224598,0.04897390791610037,0.04852483181595637,0.03420840105468745,0.05396013570899664,0.060408513712507605,0.14998686294416244,0.04100512819750798,0.0640987554534583,0.05218336306139486,0.09170480605505851
Anglican,0.17106697259643427,0.16794968794768614,0.14850216306110217,0.0,0.1286445673968272,0.10190316580477136,0.1617692449591837,0.11454085474430284,0.164034356398482,0.12038594694817184,0.1647459708408972,0.1031364101330543,0.1498726510180012,0.16347102356880297,0.15010173299576057,0.1596782078807076,0.08565840872140838,0.17965840334323224,0.15172640268797594,0.103449021679388,0.15579953704155805,0.1780520257497463,0.1127696515787533,0.0882048877802443,0.16344890794434278,0.04837333400768186,0.11195035541568421,0.1151750793947657,0.11142395486581447,0.0955619661439317,0.09822265182839073,0.10071683587637822,0.17004519147668629,0.10424606428752774,0.12020442938112272,0.16406635798425345,0.16648926082375026,0.1524065141029637,0.1669494301554025,0.1356575162715199,0.14145058555482568,0.10690275949086289,0.03417071285553563,0.09189198562400386,0.15832936685236843,0.16297719171455755,0.049782441199992686,0.1581030511617294,0.1605041525958611,0.10291907162099412,0.11144483123657978,0.1079106985003195,0.18113824748193236,0.12639979693192946,0.13900092981119175,0.13724122836588948,0.11622957824850563,0.4005068383373043,0.12580788473534577,0.17271070148809864,0.1147922360334372,0.16879089030727532
Armenian Apostolic Church,0.023415048396655945,0.022804596779155716,0.0327091553253591,0.1286445673968272,0.0,0.05300173024782747,0.08280358184607614,0.021090448359752993,0.020015506570862984,0.012464841121402448,0.02232493725870006,0.041907474236165476,0.010421081436813338,0.01683191631337545,0.016275992912624042,0.016581066915013355,0.02312110216170446,0.03144284785539535,0.011004627023990044,0.03364415322923223,0.013396236299161807,0.030201849127182285,0.07148776515735826,0.03050738576041228,0.018986472627407623,0.07268835673322395,0.07251995573946349,0.04291912120091091,0.0236924565083416,0.07477757882440539,0.032709864321131765,0.023571388016484722,0.024526485165404555,0.028853622823212265,0.05870793780799247,0.018122017631163046,0.018795593077432986,0.011817861860845453,0.019566246855660135,0.018666513438803153,0.059651580369937215,0.0478034156238223,0.06352492336164536,0.02826125491499403,0.015925628276456334,0.01691958220160929,0.06708485821469755,0.014543966366684064,0.01852552398571894,0.06291533634735709,0.09003862492683132,0.055482244748485544,0.025823567498793852,0.026167151666730847,0.01423973273994677,0.023948804061390085,0.05722109900960557,0.14962564103779172,0.059165829573192816,0.024228748283342934,0.03175618106517106,0.0943365939155544
Baptist,0.05657236566507366,0.05837795615767909,0.06875302701707783,0.10190316580477136,0.05300173024782747,0.0,0.13113213226443202,0.023831986729791026,0.05705062992140132,0.03518307566693965,0.07671712602688527,0.05532433792943262,0.0531392378830486,0.06436290462384195,0.06991878464746427,0.06068017626454124,0.029597917635066816,0.0595867374199472,0.06273805734112611,0.012342797976138645,0.06135569362383151,0.06525494176323196,0.05234232149454161,0.027717241111761586,0.05999194389806721,0.03778033210106882,0.05338093992130742,0.03138602351715482,0.020999668294176283,0.05394736243581166,0.01515194805769674,0.036849759341704126,0.05839626734408056,0.028969396156756394,0.010343213354018988,0.05752049880946706,0.06059684638086501,0.056653775430069206,0.07551646821358901,0.04050980754650019,0.10988258289369549,0.05310425148149421,0.04480344168166004,0.01896751029399356,0.07120005451597655,0.059746222205770104,0.02918778254732553,0.06582089111611643,0.0717794484602783,0.011903321366667441,0.04786633184995697,0.019410313745092344,0.08313775240615318,0.02454631814088616,0.042990687604598024,0.047724104086588004,0.00797455193028609,0.44482963083862004,0.04655651001578848,0.06876987499458216,0.03338357011038714,0.13992180674592117
Brotherhood of the Cross and Star,0.12548330630245202,0.12619225868213896,0.08873168182639357,0.1617692449591837,0.08280358184607614,0.13113213226443202,0.0,0.11500869866866495,0.12432221287566855,0.08499792845961365,0.13408570504500208,0.09043414676030562,0.10599857740800175,0.1268786689811949,0.12423675148971562,0.12340470213485762,0.09313246629146425,0.1254433596205748,0.10859200699583567,0.10671219613344614,0.12065961124912103,0.11754997938115277,0.13776247644817538,0.06283385920923082,0.12165677059710275,0.10378904926147428,0.14878119689091895,0.0670795443069038,0.0945336013998169,0.055030977177862615,0.084152120483617,0.10287984760367301,0.13199516025583907,0.11253470527677015,0.13569221542683463,0.12553334571219818,0.12049803884061697,0.11712231453643959,0.133449360504056,0.10532926688076079,0.014639160994028597,0.030309279454335914,0.12722131622696023,0.07672461726004368,0.1270548603962199,0.122842118908747,0.11846119120681016,0.12294039108004391,0.1286360535468565,0.1303609448456875,0.1495939643446789,0.1327025267944046,0.12557498757671423,0.11673463728092237,0.10595350616738437,0.12861565665139502,0.13543750058617432,0.1614133846153846,0.12713495133315408,0.1326288693431478,0.1275674796787699,0.0158155939294527
Buddhist,0.02886432967343939,0.025357932165925086,0.043898361636379155,0.11454085474430284,0.021090448359752993,0.023831986729791026,0.11500869866866495,0.0,0.024312626491502808,0.014972714600378708,0.02630553672159508,0.03955121037288099,0.018141232217396615,0.022520057052742327,0.024059854178337534,0.023406864479881617,0.01784396418755924,0.035330873317250794,0.021504833378027447,0.010659113785561346,0.018982793929505186,0.03585213855024563,0.04683370206902892,0.03039280925573194,0.025509570939565678,0.05689217481956167,0.0444152244364718,0.03303004311155036,0.009945163054213734,0.06264246496667836,0.016945522042306895,0.022559609604972754,0.02796034920821362,0.010619049391127396,0.022217449832577462,0.02417518747003749,0.02589840087913161,0.018581972128100675,0.026922876819626934,0.00965150481429955,0.09187981661993103,0.050701401866234355,0.04937191431163255,0.016436864709493702,0.022679413353130874,0.022535482756838733,0.04738412116967439,0.020918423763575097,0.02326440864674772,0.028219426936344594,0.05399418773282418,0.018873473465440486,0.03596229577083081,0.009873481041080202,0.014901946044106834,0.007576281772459251,0.02106752972880719,0.24770583799263698,0.03676926978448,0.031180061060571834,0.010054839547835879,0.1266966154520855
Byzantine Rite,0.008431806077493564,0.0036212138292232876,0.04547330360853476,0.164034356398482,0.020015506570862984,0.05705062992140132,0.12432221287566855,0.024312626491502808,0.0,0.02157495919706992,0.020088850707743224,0.07995039972833759,0.007022741947727358,0.004183625788668268,0.020802148082857918,0.011244951570182467,0.045346572901758676,0.010870422165074256,0.014116232517986568,0.04393650136262399,0.006942789528898008,0.018337156409720362,0.09057733149330152,0.0549345884994363,0.009783029655540464,0.09713695314330396,0.09051861503874106,0.06227090736202534,0.038302738261003375,0.1129035030920483,0.05073965631516675,0.0394940059316878,0.0016477912033329705,0.04435968930974462,0.05427311265155109,0.005118614271929074,0.0098295230405657,0.008851182142634114,0.013068916020688603,0.01618680482431869,0.10089634358488886,0.07650067017207184,0.09361656155592647,0.052561889528000075,0.0141227353978424,0.005082190258980686,0.09307915387057877,0.007929008908121198,0.01298113267922357,0.07516496440586388,0.10575954677769488,0.06194092406160866,0.0023201187894768566,0.02168182802617168,0.014881488200370482,0.020722223547467014,0.05384844173828494,0.10078784371944574,0.07917285373522961,0.01284424517125611,0.037220185996050884,0.1326559929420669
Catholic,0.02228815193379513,0.021345250153444694,0.04692128551324223,0.12038594694817184,0.012464841121402448,0.03518307566693965,0.08499792845961365,0.014972714600378708,0.02157495919706992,0.0,0.03500383568708042,0.04938502156071475,0.018186472456451025,0.022789267264568737,0.029546430594409916,0.02394330999792358,0.021707687461415295,0.02771375027281838,0.020505103406116925,0.02520596764157903,0.021550926401689468,0.03095409684299919,0.07897990793493935,0.020116315830521057,0.023066010861373033,0.05889988306594031,0.08019793341825789,0.025087839816337814,0.018482234839354905,0.06149497425791538,0.018531341739630218,0.02647230286226695,0.02355911102093792,0.02966011159216636,0.042132105057885096,0.02029063031877125,0.024117874938492972,0.014686997251676806,0.033387772470354474,0.01561419563296924,0.06403975527932748,0.032061568471174175,0.06292526330605087,0.019271878052768886,0.028768359808196788,0.02104841176953214,0.05781899319083944,0.02535348181818502,0.030081526842599977,0.050295257652743765,0.0875283624691956,0.04709608471197082,0.03303912881790118,0.018474371939315355,0.019059317349863124,0.023584111893497264,0.04097910443576784,0.24760745075066293,0.0621637645662501,0.029961581892107802,0.03367303023078279,0.09381916214785002
