,Adventist movement (Sunday observing),African traditional religions Ethnic,Ahl-i Hadith,Anglican,Armenian Apostolic Church,Baptist,Brotherhood of the Cross and Star,Buddhist,Byzantine Rite,Catholic,Chinese traditional religion,Church of Sweden,Confucianists,Cypriot Orthodox Church,Druze,Dutch Reformed Church,Eastern Orthodox,Ethiopian Orthodox Tewahedo Church,Ethnic religions excluding some in separate,Evangelical,Evangelical Church of the Augsburg Confession in,Evangelical Lutheran Church of Brazil,Evangelicalism,Free Church,Greek Byzantine Catholic Church,Hindu,Hoahaoism,Iglesia ni Cristo (Church of Christ),Islam,Jainism,Jehovah's Witnesses,Judaism,Maronite Church,Methodist,Mormons,Netherlands Reformed Churches,Orthodox,Orthodox Church of Greece,Orthodox Church of Ukraine,Other Christian,Other syncretists,Pentecostal and Charismatic,Presbyterianism,Protestant,Protestant Churches without free churches,Reformed Church in Romania,Roman Catholic; Latin Church;,Russian Orthodox Church,Serbian Orthodox Church,Seventh-day Adventist Church,Shia,Sikhism,Slovak Greek Catholic Church,Spiritism,Sunni,Taoism (Han Chinese),The African Church,United Evangelical Church in Nigeria,Vietnam Ancestral worshipping / Tradition,Vodou,Yiguandao,Zion Christian Church
Adventist movement (Sunday observing),0.0,0.0555300424929415,0.2875765407547757,0.05224629276069358,0.041195872336127586,0.033431644027105425,0.07251409937458855,0.01918782365609007,0.03293881684968333,0.04630270449493591,0.0961562392141506,0.09193214972877475,0.06672713676884699,0.02864664219373951,0.03920059945334095,0.04900481226411026,0.05651569587224698,0.06349645537406277,0.025767728557934792,0.03651967976660857,0.033048120683665236,0.07769851249422126,0.18268924999142547,0.05595052965295325,0.06398255272096916,0.05274993674771114,0.17541082675564723,0.06036552979895019,0.05682405986278664,0.0779097863463923,0.0503278455413759,0.06312239540963836,0.0480113768697668,0.08280997535772058,0.023866446726378786,0.03262612783081739,0.04202010128781524,0.02747541125862896,0.03786349048522111,0.031686038821845404,0.12443271210119068,0.043517215716587884,0.09733479177169102,0.04840115524243283,0.04315024369861953,0.09215519438030996,0.0439627225416959,0.02537218213651643,0.027492573875800376,0.03060151297968847,0.1222500159332516,0.04585098672148008,0.03186734417036771,0.03236975355126495,0.03268158585952169,0.02469242952624982,0.06538180027441709,0.38783846755264834,0.10444443633843868,0.138526926209419,0.06961327583328902,0.1554005643133926
African traditional religions Ethnic,0.0555300424929415,0.0,0.4128890840034287,0.0722100215350991,0.03637650378753213,0.11293397839537783,0.16171781289183593,0.059420556232845576,0.11780930769200568,0.021382513056030273,0.024609533414353405,0.06595790539418137,0.00806691059928786,0.07840579305490514,0.1284031779991971,0.0387625942616889,0.03775982620613636,0.18005725928353614,0.1130941802673336,0.04013313194376493,0.11856853516621937,0.19095196264633302,0.10118685495725092,0.08276949157412324,0.17868907499071182,0.05269335921790353,0.10823971546381217,0.14544309414481937,0.12400963945530602,0.09986701522088179,0.058053019114040455,0.05119836962067339,0.1413482886221155,0.028633757998955005,0.05699558750148163,0.031532907823252035,0.015401632801992662,0.09659309383209747,0.06278531235740124,0.10448583780220486,0.19890079219028922,0.09879910420235083,0.04382263491331701,0.045833944310843436,0.08588182993098205,0.018154953717506726,0.08745071869750909,0.0797242021167654,0.06847741987812567,0.07502229864523133,0.0657621924863327,0.0747196122011869,0.10002918310432735,0.03655607289870139,0.08518040817980518,0.037535753662483316,0.044707507229591825,0.4022740126473473,0.06926779808740097,0.05701991083507112,0.02208644664092129,0.22936822424657807
Ahl-i Hadith,0.2875765407547757,0.4128890840034287,0.0,0.26692062851100345,0.3091242918501989,0.18470681671418335,0.22660585067521902,0.2756361105746048,0.22076986829225512,0.3364428812455355,0.44464924356225605,0.3977315468106315,0.41224145087622205,0.297214248943004,0.22791143537724481,0.38815789180410043,0.32223155899663763,0.2279463498693502,0.21944571750002184,0.3111522178028337,0.2344349194321718,0.19297598264432386,0.5836241113128262,0.24568074124251402,0.1977080071731695,0.2859671219764471,0.5895884359880997,0.15015954848614305,0.15735069774639424,0.25279330158936536,0.3140708653945683,0.3159159672839865,0.2161918277097589,0.4582386477570713,0.25925857032385496,0.35486450107602213,0.3966243662697196,0.24841625119222538,0.3283830359869223,0.20124507726705537,0.15872009197565753,0.2327797645463077,0.4456076419960925,0.3042830060824414,0.3323083057791647,0.4615972558052297,0.24573592189881666,0.27670376611787906,0.30363193901990027,0.25025382370849114,0.4744783215851435,0.30652051154199184,0.2517541445408557,0.3740531473574399,0.207664504495229,0.3079776135284821,0.34101506363081024,0.2960541945479664,0.40956419426485113,0.5323493315174371,0.43834752381963105,0.16530899604368496
Anglican,0.05224629276069358,0.0722100215350991,0.26692062851100345,0.0,0.020385226545930266,0.03776115707996008,0.12631657365717064,0.04668568960044438,0.09583103929948078,0.03127818193541903,0.1163811645400927,0.04678485792958895,0.08582763729991691,0.07360907974732703,0.09697440137823775,0.0627685415976558,0.028435590850148556,0.1507763541955781,0.08036749418187333,0.03074378796488486,0.08867587497185843,0.16778088223570248,0.16697372497098384,0.01489869452443543,0.14619970940827426,0.024124968039071385,0.1652451015094273,0.05389995602518017,0.047977733689735264,0.026824166263708253,0.021538396866568176,0.04932838193284692,0.11685919472504142,0.06760464794772039,0.02403441365827963,0.05027401855339772,0.07517252209746829,0.07379351316793058,0.07485807028766972,0.04244547302448701,0.07348074832295483,0.05619081367373201,0.058404603289794195,0.022571933491043146,0.074375572125296,0.1085856282863918,0.0265732781297503,0.08018796692600338,0.07108559944162003,0.02773111149632018,0.10077758107031934,0.048443994378453245,0.08169060733968658,0.053118221217292386,0.051227190589330465,0.05959472564264016,0.03129919382693143,0.4451976164435012,0.07471629406841075,0.1480429692615602,0.08244389310386493,0.09508379301467605
Armenian Apostolic Church,0.041195872336127586,0.03637650378753213,0.3091242918501989,0.020385226545930266,0.0,0.05261909251768892,0.141903512629885,0.03164221083452831,0.08577932860448285,0.01193804126108171,0.07885310207887322,0.04209595140673207,0.045829057010565465,0.05308396565391756,0.09316627746008835,0.04111755248287828,0.010949396358624254,0.1495542963155866,0.07428417643921671,0.020427547982989916,0.08612192288609319,0.1634118704145506,0.13661090298228193,0.032978104183708536,0.1493839472158149,0.017645014330604,0.1382854649030647,0.07673384679147202,0.06170024714488024,0.04158859122954128,0.019139883837118527,0.030078121393852002,0.1110243178589695,0.045743999475495206,0.023606280660152166,0.03457190992020709,0.037633869628147354,0.060164770517910485,0.04827655020826802,0.04819918026858745,0.11499340877437475,0.06697855905430494,0.042894335724719596,0.016706259049781513,0.06167278826476346,0.0679193170165178,0.03488844882178794,0.055184956781807556,0.04840646839374269,0.029737613126403186,0.07300130272361496,0.032632972391766955,0.07598622915497166,0.035308325634846933,0.04622069482761182,0.03237373587834668,0.020607585270130332,0.4471942128311767,0.05375234974496149,0.0957467119227027,0.05165328548933575,0.14146253632037795
Baptist,0.033431644027105425,0.11293397839537783,0.18470681671418335,0.03776115707996008,0.05261909251768892,0.0,0.07005997586716618,0.029984075409844085,0.04290669522672244,0.06515351742150027,0.15189962502692594,0.10351818138831205,0.12355000921304425,0.06211446105021797,0.048656198796338694,0.09192267792633464,0.06433192507672741,0.07006901148477072,0.02819032337617936,0.047074339448381526,0.04337755158010268,0.0777065307012525,0.2441061770494619,0.029878835023429764,0.06271413942840794,0.04830845527968538,0.23857380949000653,0.016514906690717247,0.015332691217091902,0.05337678044547221,0.05165463165710378,0.07346612659918039,0.05210441022534071,0.13472836149061637,0.021773980032748684,0.06931302572393983,0.09822172103970771,0.03528157213532716,0.07948123104919314,0.00807144906758056,0.06762470693613251,0.02863680595298391,0.13017280901244466,0.04847449494214007,0.0768745870775524,0.15403039053996473,0.026011863480605173,0.054823087567699665,0.06330807671190158,0.021867208263312787,0.160077293954641,0.05415274405425929,0.056578613032127446,0.07631275602216976,0.019858322882586966,0.053137674812093215,0.07307555977071828,0.49532506029269796,0.1252986049698253,0.2035638293678684,0.1254736054263592,0.09322445135282373
Brotherhood of the Cross and Star,0.07251409937458855,0.16171781289183593,0.22660585067521902,0.12631657365717064,0.141903512629885,0.07005997586716618,0.0,0.10262684826529227,0.07819287948486554,0.15190620027548374,0.19608911023027842,0.2050150518391712,0.17345521504816908,0.12997828379590903,0.07901330121710036,0.16451704952815616,0.16137736465013822,0.05387096109278833,0.06726766622638017,0.12415544633445309,0.07681343010382626,0.05665723921006841,0.3175730569210711,0.11007141131799242,0.04688227115817464,0.14587262707354237,0.32175125926723935,0.06787025493743373,0.09214621675698495,0.15775470475432496,0.1561469811836633,0.1932901755503442,0.0649209941377909,0.2136185234545519,0.10105591361474511,0.12255494681622259,0.1619650155993999,0.09324544949553508,0.15829727709858987,0.08578923866718834,0.1120194157951871,0.0467320702613708,0.22905035914283578,0.13373929166896462,0.15339877635480148,0.20186011724903097,0.11468422230601799,0.11522854336551276,0.13506896869368307,0.10547139995710143,0.25262003400735955,0.15397249035930652,0.09315331485662434,0.13742481221894154,0.0845422764871934,0.10242973085892941,0.17498793192664158,0.3863476249379054,0.24163428121451108,0.25804714184944927,0.1831843715133091,0.12746076471090845
Buddhist,0.01918782365609007,0.059420556232845576,0.2756361105746048,0.04668568960044438,0.03164221083452831,0.029984075409844085,0.10262684826529227,0.0,0.03778852019315696,0.036738272825112765,0.09867094621557297,0.06569060952124578,0.0689341343177507,0.03035371743539967,0.0461888572669839,0.039457092043695824,0.03356168873457688,0.09031057227788858,0.03160728460073996,0.020062597376651368,0.0411056747772766,0.09922892530166283,0.16434594778791214,0.04097117561423197,0.0859204106082268,0.03537059005272902,0.1636635057360178,0.06229669073021699,0.043012515818449074,0.06033434871961315,0.031663554991774895,0.04219376005589022,0.053684195665460094,0.07973134386845908,0.01673218204449351,0.029730213581732487,0.04537219436830225,0.019215336221883234,0.03358768504251103,0.02149819792474141,0.1319499716597595,0.047925159352137245,0.08522158987544212,0.025132172560810805,0.04265847584244544,0.09806777005505583,0.02543090052657174,0.026135100806863442,0.029024817260346406,0.018335759610841884,0.09673672358294058,0.02827014200879722,0.04430630237272759,0.032709908260417454,0.026414042391835448,0.01675187907959339,0.04115962993567424,0.49744684026660363,0.07169122008709637,0.144429829525387,0.06070713091198822,0.15803514341826977
Byzantine Rite,0.03293881684968333,0.11780930769200568,0.22076986829225512,0.09583103929948078,0.08577932860448285,0.04290669522672244,0.07819287948486554,0.03778852019315696,0.0,0.10235970007516376,0.15721584251194293,0.15061112676537994,0.12345912435858919,0.024611067448049435,0.014597499734199536,0.08255728724239116,0.10491453628264472,0.04308262512647771,0.01332939232395259,0.07994539150081942,0.009345411416101956,0.05051837799916855,0.25616529910792685,0.09202818403543161,0.031071691788977767,0.10037159976876353,0.2652714231444196,0.06807009316728958,0.0603081559208059,0.12478429790958348,0.10234243069839194,0.09954118916688658,0.013793618768661264,0.15638563492670787,0.062019697375554,0.06721954628213332,0.0951250317089296,0.013290739049460702,0.04326640560874352,0.03540737178577548,0.1468017014251653,0.06996602308924288,0.167053009856408,0.09124467928060533,0.044234964967921536,0.1598169693353261,0.07542656614746342,0.015916901539048622,0.029823680379821367,0.06321337781929619,0.189608919265517,0.08309112936055728,0.015376575751982705,0.09164147079614718,0.04796953583207244,0.05543909680206984,0.12055326567030097,0.332230954996793,0.159171191694012,0.21875813320190668,0.13561377780751668,0.17569216042598063
Catholic,0.04630270449493591,0.021382513056030273,0.3364428812455355,0.03127818193541903,0.01193804126108171,0.06515351742150027,0.15190620027548374,0.036738272825112765,0.10235970007516376,0.0,0.04745214943885837,0.04474286455296388,0.028419181301697145,0.07046171641520907,0.11218860209874551,0.0404886504182639,0.013785893944843355,0.16377026885697482,0.08996976692337678,0.019161619708401183,0.10494871988683462,0.17371196232459188,0.12342479968637475,0.041437804986365095,0.1631499401365128,0.019695232675834798,0.12118040395700048,0.09177198687270155,0.07325426123160168,0.05261998164472651,0.022931248199831757,0.026022061927824205,0.12799890130228533,0.03415681091577582,0.024193758131513653,0.03301532364279816,0.02692749103645843,0.07539037859943541,0.05877665799570009,0.06274682326976033,0.1421443635381404,0.07076873165476322,0.036268391774406536,0.018580947469546857,0.07836660995149994,0.04453449634281185,0.046617856206670395,0.06969527274057981,0.06123231578547782,0.03813504963890081,0.06492127154940391,0.044122678908086785,0.0911055181503642,0.03512693853532044,0.049631162403875745,0.029228397918706836,0.019207224098887605,0.44994458849322805,0.04946018070648991,0.08640987184114429,0.03813304383730271,0.16941291302159314
