,Adventist movement (Seventh Day ,Adventist movement (Sunday observing) ,African traditional religions Ethnic ,Ahl-i Hadith ,Ahmadiyya ,American Israelism and Latter Day Saint movement ,Anglican ,Anglican Catholic Church ,Anthroposophy ,Armenian Apostolic Church ,Assemblies of the Lord Jesus Christ ,Assembly of God ,Australian Christian Church (Asemblies of God) ,Bahai Faith ,Baptist ,Baptist Union of Wales ,Bible Students and splinter groups ,Born Again Movement ,Brotherhood of the Cross and Star ,Buddhist ,Byzantine Rite ,Calvinism ,Cao Đài ,Catholic ,Celestial Church of Christ ,Chinese traditional religion ,Christian Church (Disciples of Christ) WVS Time Series 1981 2022,Christian and Missionary Alliance ,Church of England ,Church of God (Seventh-Day) ,Church of Ireland ,Church of Jesus Christ of Latter Day Saints ,Church of Norway ,Church of Scotland ,Church of Sweden ,Church of the Foursquare Gospel ,Churches of Christ in Australia ,Cihui Tang ,Confucianists ,Cypriot Orthodox Church ,Druze ,Dutch Reformed Church ,Eastern Orthodox ,Episcopal Church (United States) ,Episcopal Church in the Philippines ,Ethiopian Orthodox Tewahedo Church ,Ethnic religions excluding some in separate ,Evangelical ,Evangelical Baptist Union of Ukraine ,Evangelical Church of the Augsburg Confession in ,"Evangelical Lutheran Church in Russia, Ukraine, ",Evangelical Lutheran Church of Brazil ,Evangelicalism ,Free Church ,Free Presbyterian Church of Ulster ,Georgian Orthodox and Apostolic Church ,Gnostic Christianity ,Gnosticism ,Greek Byzantine Catholic Church ,Hindu ,Hoahaoism ,Humanism ,Hussites ,Ibadi ,Igbo ,Iglesia ni Cristo (Church of Christ) ,International Pentecostal Church of Christ ,Islam ,Israelita Nuevo Pacto Universal (Peru) ,Jainism ,Jehovah's Witnesses ,Judaism ,Korean shamanism or Sinism ,La Luz del Mundo ,Lutheran ,Lutheranism ,Mandaeism ,Maronite Church ,Members Church of God International ,Mennonite Brethren Churches ,Mennonites ,Methodist ,Mita (Puerto Rico) ,Mormons ,Neo-paganism ,Netherlands Reformed Churches ,Netherlands Reformed Congregations ,New Apostolic Church ,Non classiﬁed christian movements ,Orthodox  ,Orthodox Church of Greece ,Orthodox Church of Ukraine ,Other ,Other Christian ,Other syncretists ,Parish Church of England ,Pentecostal and Charismatic ,Plymouth Brethren ,Presbyterian Church of Wales ,Presbyterianism ,Protestant ,Protestant Churches without free churches ,Protestant Free Church of Germany ,Quaker ,Rastafari movement ,Reformed Church in Romania ,Reformed Churches in the Netherlands ,Roman Catholic; Latin Church; ,Russian Orthodox Church ,Rātana Church ,Santería ,Second Advent; Parousia ,Serbian Orthodox Church ,Seventh-day Adventist Church ,Shenism (Chinese Religion) ,Shia ,"Shinto, Animism ",Sikhism ,Slovak Greek Catholic Church ,Spiritism ,Spiritual Baptists ,Spiritualist Church ,Sunni ,Taoism (Han Chinese) ,The African Church ,The Church of Jesus Christ of Latter-day Saints ,The Salvation Army ,The Satanic Temple ,Ukrainian Greek Catholic Church ,Umbanda ,Unitarian Church of Transylvania ,Unitarian and Universalism ,United Church of Christ in the Philippines ,United Evangelical Church in Nigeria ,Uniting Church in Australia ,Vietnam Ancestral worshipping / Tradition ,Vodou ,Wicca-Pagan Witchcraft ,World Missionary Movement ,Xuanyuan jiao ,Yiguandao ,Zion Christian Church ,Zoroastrianism 
Adventist movement (Seventh Day ,0.0,4.327201423078723,13.365783910409435,181.55387196554298,18.191131811992925,12.670494528460235,19.626967670864023,3.86724674048243,8.766779809389513,12.378672599088759,9.776981985605605,5.373140633961864,1.9920075486334885,7.8451771989045715,6.102616759839184,5.067309603477189,4.328472331170676,17.32679202267302,26.413830908929295,9.630252481965575,6.7499899835068575,6.273422437852309,10.376520398579707,11.0368944272918,4.15295419509937,31.543228236206943,9.017858466233733,7.328932887355953,6.414349316137599,1.8933631056918727,3.796233159125327,10.610694834426184,40.41456943510956,6.816971524667363,593.2015588774151,2.9878201466450833,3.585576193943927,3.1146237314950613,10.294542826343024,10.244872204244329,28.8042801996262,18.17070387995103,15.155266424296919,2.9584536904801806,9.502549885060319,8.238456138325171,11.874851060706455,8.008826125517857,4.107218428786127,8.55756036999367,6.316637520505992,4.112636717193387,180.95847506189878,16.7709875923849,2.0385097358781565,8.625079762923653,1.984120937991807,2.016046098096857,6.174426618368519,11.693938224643537,20.758836936468175,8.927399295207373,14.710154234356109,3.293750695525069,6.6083169565767195,7.201912599020557,1.541092112520684,10.427027092252752,19.31143224834449,29.65647698012752,7.1332470502876575,15.64049626689379,6.9494144111211895,6.086120083128357,10.03849763844984,15.100301514545244,8.325786268159138,62.382845362940856,12.800562560966771,1.081327402755974,10.108057027128384,14.147555647307724,7.829607089277629,6.2882711079296945,6.317410426090622,17.45825616972265,6.68279885718343,7.946627416094476,7.51543883773076,7.16732686413222,12.800489533754982,8.706489152556685,11.487630243167393,5.9818365130123725,120.88649145399032,4.5951059020245815,18.76866614089176,4.539618276460382,5.36392833746449,21.761776555835795,9.96486260018709,21.01420617316291,6.000270926961692,2.3106260166202373,14.23598932192251,18.95694592534119,5.971312857308293,10.505081014397378,9.54740132410195,10.3799947418574,9.489749530583952,3.0752679603287447,8.905075220792096,6.748840947559695,34.08635452741417,70.75745830121926,8.007013691347858,10.054979455063544,7.457643169909653,6.627540703898665,1.7996393226656384,11.745596581551737,9.673364114127741,11.845458833490211,65.24346776130771,6.869020003419534,5.897746269950511,12.156727714267001,12.776464915234444,5.607898801137806,3.1029760896757503,6.593698957054268,9.797657765240817,2.878425090573405,9.437268863371747,356.3632768476808,23.914145132193834,8.445042858793197,2.769923015642192,7.353598095049168,11.307837980249827,103.3120958003059,12.708303990542662
Adventist movement (Sunday observing) ,4.327201423078723,0.0,4.694381324146729,29.952319072852735,20.639294286884436,9.181222157583424,9.37986173664815,11.79145033519678,26.16572668024872,5.925405892736858,15.060413516109744,4.542176097519147,5.610256118581385,6.87226091467033,2.1656766646420986,14.87749877492603,3.652736317516963,8.8418110878078,10.1248274651717,3.020049038311796,2.8767092259588316,4.294296262361213,6.86348317001266,4.00449189682935,13.107268064275036,6.499530778539391,29.489296044416644,17.449453730257876,12.382828661679483,3.7738608219297025,2.666083537949587,32.23625436663151,11.46557758895581,29.164750695524376,92.54381823579432,5.295823692879321,1.9424934697437148,7.487597239349623,3.455771769977134,6.281009118090856,4.93439343819975,5.804631963083421,8.838429737501198,4.988991651244131,9.120988644229547,8.785756676939682,6.16818021085965,3.2914409791491472,3.0392648821425308,3.677295901657668,3.691911554122777,2.2405316061553986,37.5318791028929,5.8273752275159,5.632339921448682,6.05943137061435,5.050929507547125,4.111600222194461,2.5781497547207897,6.270389900188592,10.953096607617177,37.77955005225025,16.44366633129123,6.163007542363015,23.4318898605123,3.1392605183641766,4.370787997438633,5.810888001356983,10.784160365240748,10.291633771037706,2.772053508182113,11.494106725284471,3.9212536046691873,13.416824522117183,6.218552363361236,58.885374005280255,44.956374540786655,8.233363396818888,53.69911400841335,5.062360822358566,14.695924945490159,6.435615536963813,14.47076564561356,2.31361542083876,2.529008282500585,4.247845193373409,2.6572470478500625,3.8139869986245554,29.447148832995207,1.3628394970301978,7.5822089380599955,6.231179459563914,5.734761939410389,1.9212170641315727,17.53278911284437,11.175100175261324,10.533770457416553,12.423424249579362,16.24537114211528,9.296044747396701,4.847077879942293,12.27419713422115,2.569171931124012,3.757121201328215,5.153970194172613,3.9979977223540413,11.808750129087503,16.765929616436754,5.070700722266861,6.4692612078136555,7.010689556103199,3.9034239422014285,10.094406670892969,2.927545770527038,12.73101063006243,41.584842873505565,22.07668681058231,6.101259986882411,4.097961913902431,2.3233481381518324,6.7127883688565975,7.857967668284302,4.623686173944362,3.137035915361761,9.301004308575394,3.788688371319501,5.347653003090437,45.29912185494526,3.7742477919528117,4.849922525391422,5.60441269792804,22.872503753190102,36.91249823053468,12.112962496943632,4.876178975948868,55.59528938960246,6.022778407150156,8.5969414048067,3.616726583681007,26.780474716927362,3.7675984000885454,18.082912807316593,8.957722647655936
African traditional religions Ethnic ,13.365783910409435,4.694381324146729,0.0,25.594506382563445,38.140212149121936,19.410224202512673,12.469489730967323,13.17627635889464,31.219504779510572,17.51383100977592,36.382183546872916,15.28784848227848,15.604161464294233,19.47168920727964,7.2255679398490305,16.617898975489428,13.10612984385838,16.993254005300102,17.02874601070189,10.51240307597618,6.43741694532553,6.145715384978771,16.723657716672335,5.9507324337685965,24.517717820600094,4.655630543082431,85.29135114374697,41.18442721887667,15.428002335714003,11.423019777287925,7.618937150803983,24.92666279463967,18.481723537576688,23.181238520071908,39.709671939665704,16.261977061930363,6.4865582487439335,12.856251448141771,4.622947489221938,10.799628120365652,9.741632404307065,6.478306536200388,22.56192852057662,12.44420433610478,4.057879782961304,15.963529711131034,8.551859201091165,9.853514495847033,10.058475794536944,6.267581139171735,6.939593651803589,7.209722690402423,19.065204053855858,9.501593050186191,18.56432746438005,12.163656929381128,13.446668133403753,11.526773596137545,6.1263800416955325,17.418619976688905,16.594229197084513,28.824444714977474,28.451552849689346,14.426716035421649,16.27600629280568,7.08943200072173,13.210171169320969,20.138627456117863,23.251403786375278,15.771251105048453,7.94945377950764,19.963140400348262,7.1757628083696305,24.226706190136547,11.259191398704015,40.2242506498547,28.083878831792283,10.856325129786045,72.42950234449644,15.555905210577494,36.36569260774098,9.965334186466821,34.18677796221771,7.627322044281106,6.3761532118618085,4.967944789721492,7.735915135180899,4.98791591897316,24.57168945344034,5.069293138412304,15.078051135570558,7.9117435699052105,13.715827801374724,9.673358844950583,15.670176902790661,24.64740694925959,15.643233215313625,19.11194794839865,14.76373065910669,10.622820107633526,13.572186409929,12.566392272258895,8.062712491767602,9.117502965621453,3.1421821155650114,6.780988509946972,24.738536841054227,37.40821983346746,6.987144768771998,10.979854339893553,18.457799332550696,11.216089224251343,7.469099106727673,8.688490467353907,20.652239205951098,50.538179245903905,17.365488027743197,11.016914925138414,5.604946685815589,4.91439591432838,13.279846464958174,11.212814915978047,17.83591459113595,6.0735180747825845,5.573212116598571,6.712298968622452,13.279866799558828,29.826281954223038,5.486688581459343,8.673053201030699,14.260042129474725,42.98768198335136,43.022754340212266,24.580355402000496,5.78758504709438,30.702318658986695,2.659672153921456,11.146182810821657,14.151510977129114,20.77715094429557,5.528976989841903,16.460984557147864,19.033546488234467
Ahl-i Hadith ,181.55387196554298,29.952319072852735,25.594506382563445,0.0,2.883574004655934,24.370353476437636,10.8450712354733,337.385693558689,579.0533684974487,13.71034571485303,19.08090921847481,34.09635017304604,338.38181285639723,34.12397813660483,13.321791814432546,410.98726427014225,37.10171190122694,18.49780632548371,11.13354845243384,18.692879087054965,22.155211439875796,90.285225482644,37.10355403373454,24.593516476068512,492.56648621036624,24.588071414465045,225.62210087552265,24.963992416941597,277.7778025748729,354.83554272594534,66.42875070892248,788.9724229420816,16.951836538842993,597.3276660528304,20.228336878001237,224.98582336064868,117.9257845482377,222.06302703494387,23.44565161493349,19.636489644254695,16.446911490076182,22.61543920760745,19.83632161601575,290.95453358905314,213.95712178479602,13.901316060897573,23.776615544248692,13.384136203944715,87.54308840179537,29.729777254046432,66.91111174391472,20.54955310659745,16.695745311252974,18.624059033721583,299.1198605107807,59.290013235557076,279.52034256523496,200.14829274744804,29.626526914705774,10.18492946591515,30.75980244251239,496.3992632320552,49.24398599183543,94.41083657156751,548.8607720798884,14.554022263298217,246.50169033760974,7.885447527054976,10.938231665456662,10.475544931903846,10.233546528177458,7.140508762825679,67.72151646475717,395.57749455108717,39.78162720527445,947.7877903293703,520.1647578682906,18.93177809141453,1049.5025800410797,244.19323062034468,8.937743966405755,20.00926233997386,61.89176612270867,20.917443611474884,45.33198468778046,24.336991950058934,37.93425308835121,81.7951782119949,511.6315457278562,16.74826315270426,24.18888987293465,18.98623134480164,11.90258947275893,10.138654410444005,9.813479634260291,389.6816115295517,8.394031282815874,248.2942257155628,625.9890900170626,13.404452039143653,21.64295712359169,25.274506667696013,42.70556666547174,233.19324376050886,48.13643877598169,23.52389315956447,61.00064600761984,23.462113217154,19.78349984900345,44.83114156356142,53.73087354779835,210.00311230247902,22.280901876801614,11.117732264965632,17.233388832670894,5.568651526681237,636.6282962495493,10.257249181849799,43.077413471051266,20.702406487412166,331.9918957319495,76.29819152382328,9.430102064940504,20.563206626004924,12.858919872614614,69.26204676907895,55.881039312194346,677.5532838750961,45.65005802885135,85.5361252963232,95.59273640855334,176.82703483125402,862.7860519101132,480.37009821502585,77.75491875836845,10.405771366966993,23.8131577301931,113.24424008217972,137.89698991148785,466.7496141131374,24.595030662716482,7.4262084587003,20.76008256865131
Ahmadiyya ,18.191131811992925,20.639294286884436,38.140212149121936,2.883574004655934,0.0,10.801155730428354,21.277782448367308,29.699944742649986,47.14763779605291,15.847242572421473,7.313865022091778,9.902917140097404,26.43792207088739,10.992501251610749,17.823624418382717,37.70128382423598,9.501706542051643,11.2329732417894,12.476555387365066,22.79753770332429,21.17269933946745,18.895308950023527,14.500681049646664,23.661447520165666,27.728611602809696,41.6210857647685,20.32995022805478,8.570291084004152,23.87629794950344,23.129145370906986,18.77910354728462,61.62920234694674,13.847460902951024,43.66484710760036,43.25870161564886,17.853411397255414,16.624520039106123,20.568357263149583,17.345722222935013,40.152675432530565,19.494096468512502,46.51781631809981,16.321982784862715,22.154193667947116,24.68756085286505,28.778311539634064,45.44876079349964,20.386998091064058,15.817107071831597,31.386952653414095,18.61900743134946,21.684948786893635,39.05128850131425,19.193725452315793,20.191698444262528,10.894062022429422,28.348848650023843,21.26853157527742,30.166083413184268,14.302999281357202,26.570071224705266,47.489927977452,11.34512536104642,12.33374634396839,42.73404423494994,17.078174182200456,21.50599885578516,14.990259043747926,7.700679759312396,11.37830490627704,17.343188478421112,12.109303882972496,22.88132962475243,30.574245005815822,17.172768866024864,64.66852357291621,41.69525689742082,39.29013792659035,71.42987894537451,21.864348554430336,5.803799578639042,17.848760023419292,9.565781569354137,15.468795119727623,14.809913981416203,36.88883004560595,18.411965625185818,17.873604908894023,30.781998163661584,28.671334408224887,43.297471335739694,33.57776337957428,17.87779783308826,22.820347384156932,15.19067195537597,31.602826182550757,16.208461679297383,23.141664372445913,46.84926347375884,24.510456879426222,17.99751229880542,60.49931279462854,19.531456896021343,21.53627425098311,25.592138624572467,21.464433708741186,8.414151735046447,16.08182738513931,32.81212908065821,14.93330627069524,13.309182773181567,19.114802929670944,43.871322266889365,14.78059231389175,14.241748287469834,16.24404605081517,47.26294738279541,15.03569957784108,27.651940314312764,25.93231133422296,27.70621196572049,18.373431631796045,14.150332410218711,38.87051532777531,23.08489832803051,24.26569269732128,13.5444930126952,51.93683654839366,22.5039133926558,19.782649752078445,10.302929573095788,21.418108502385085,51.249690970560856,32.61412635262395,23.29144546770385,23.459276113517177,33.60278250863575,20.23964063673406,14.794075168678592,28.614618414197622,29.414559080768996,11.422238746152082,8.234118132033865
American Israelism and Latter Day Saint movement ,12.670494528460235,9.181222157583424,19.410224202512673,24.370353476437636,10.801155730428354,0.0,4.334810963971638,15.244947501275934,31.171293276394255,40.89947883092527,1.8275416380994272,2.7993168051570168,18.049659412005052,4.100653460774797,3.3289944011632904,19.39936567772509,4.704962806318812,1.59019002088974,5.523654448313527,6.731628501172339,10.846786315575757,10.661638937378271,3.946580511480448,11.758107962245951,32.46213422661228,22.432138275682153,19.63856632684088,1.3338221042403622,16.470543443629467,16.899466940669182,9.382432511378239,34.97269390129214,6.097638831446513,31.929721005402865,27.919297153715686,16.27309938531793,9.15902478138225,16.898950882420216,9.383198793124903,29.029987558475295,13.330579585900592,23.450810805092743,4.742278481591447,18.805823349666294,17.501885105161993,30.740382346485465,27.43877238944222,4.716759816453599,11.568594178746778,14.772407686805023,10.690060279875231,11.821101588143327,19.18502200213496,4.746369420534286,15.567900633087,9.16539131164412,13.447822610435676,14.598341264514328,12.949852872743206,4.5847733240772675,11.826792140234561,28.619688270345424,5.411526606552332,10.498506493940544,30.644681098545203,3.226857086407271,12.58036019978335,7.009218090982184,2.69334596578633,3.9102433666586984,4.957275437503187,3.9224164064906932,11.417909759317975,21.515302210177023,4.918400167978091,48.404962811797105,32.11121141301287,32.15891159590416,70.26198840613357,13.506974213851699,2.9115698621803525,5.349876506876677,6.310015289059447,3.5114116477446817,7.29898507807982,18.537941443636022,9.520673908677319,8.563101265307845,31.03626056210817,16.547795147837036,31.253265436098452,25.271453586618147,4.02429814036068,11.090651886324142,9.985063066555385,22.332641073926567,7.616239574252965,13.12208505457097,32.62541782420724,7.296270718627225,3.756320383807119,35.55763567851862,9.850640571078104,14.348166491851101,13.112953858598821,14.396932559768212,6.099364737778865,2.5334058416407976,20.5707657870041,5.226902758481611,7.083325173544021,13.551386964661324,37.71066184224326,3.867833446278905,3.348158133584749,12.045026699419804,28.07400555411437,4.232484308964936,13.090964471939872,9.84064333687533,15.572222881820235,8.755894256667919,21.26461408730799,14.687177996836429,6.302202070413698,11.543317299153696,5.607609702071005,35.22865719848315,13.493764808467851,10.519131060402584,8.726694746458756,8.23461977842115,49.4354520530828,30.406550094919655,11.811368818710855,16.267267737854063,19.10305110059482,10.301796773196564,12.426726434848158,26.100439421690893,11.232602222845381,8.39917476164333,3.896853482248827
Anglican ,19.626967670864023,9.37986173664815,12.469489730967323,10.8450712354733,21.277782448367308,4.334810963971638,0.0,11.794539095233675,73.77953131078009,4.72947252528325,9.866078166539909,4.712751910099982,20.197465002754797,17.34469966838589,3.51084164007569,15.438143661891486,5.965532185999421,4.353282936689822,5.656066593060078,3.7745050031065803,12.646386397775714,22.733432548420385,16.158183934947463,6.448336927762861,52.129952728106446,8.4565014935933,184.89072152922313,8.6754650473733,12.914347731607782,20.890430332271766,10.437523872533005,29.255466067100674,5.454224972031826,24.487015790554842,6.419361334816795,23.110007685319548,7.448280123109824,17.087511786270532,7.079958946593034,9.176267154807485,9.522874570283706,7.400965293035511,3.2552990202613605,19.04793352008662,35.416125048491054,10.245842293181125,9.157099418050754,3.4430760760016406,19.447230478048596,13.028673974120396,16.646714710433113,10.367291987454287,6.289430829816208,2.5846258370135193,21.43619788749692,8.196190756388985,19.14824051308586,23.70793172397022,11.433945200610003,3.56421213158898,22.249282841448636,24.756265131753608,9.909311575090662,15.498732180613937,82.19615788044972,4.6168020238859535,11.821034589019362,9.33035308418414,7.2705348529405684,5.5043860946310375,3.7446060323842696,2.700430156421985,20.164409872641038,30.215158995914067,3.1968931319742535,88.34308236240125,79.74078852890432,10.826291770808169,220.239203899431,16.433310275548497,8.523364097539325,0.8710169702664463,15.55923691373248,4.349093703438481,5.393356736500139,7.830337982745359,10.636303052933751,6.874460828920774,19.09408061349545,8.141512397352086,9.281653962165358,9.216370033745449,1.9810187854989552,4.353901016872653,6.143804869321965,24.190978140230804,3.5283700350944707,11.079665554161956,41.84709493112128,0.8024659856416575,1.7501027922753436,10.191078609199435,10.833098517315996,19.481894236554936,22.52822438702014,9.09007472415349,8.461935775500686,3.0057085325514805,9.939143328019831,1.9308700405713197,9.302895952343661,23.20013271180862,9.894036009237686,4.385198442053174,7.554520464855296,9.094497633666293,31.19790960325519,4.267692069574899,18.390288506417807,7.246550031566695,15.01739712906409,8.258872637964547,10.10400452419037,5.780290625093427,4.728602429891366,19.15574490088406,11.059700696105752,31.65323541637479,14.514757148900744,13.442315919349141,8.684786836529232,11.823900839282429,124.39809767193313,54.47976880981668,10.762928490866905,7.846502721809493,14.90428316616917,14.639894764275285,19.80902725704912,24.78920612593035,8.992103883967927,5.014750073112193,11.9324699507653
Anglican Catholic Church ,3.86724674048243,11.79145033519678,13.17627635889464,337.385693558689,29.699944742649986,15.244947501275934,11.794539095233675,0.0,4.537037037037037,28.254051129324154,15.969610859623769,9.561464650794331,2.8703703703703702,10.395963854834601,11.707860997989966,1.3888888888888888,9.444181733239565,19.119273479229808,39.23836921806687,11.216047793121005,13.951125289389696,6.969048135765623,11.807027965989768,11.541936147155512,4.407407407407407,29.63981745087457,12.498214166826697,7.9631363324259095,2.050358572925892,2.5555555555555554,5.710122209300656,2.5462962962962963,50.585089376698186,3.425925925925926,683.6545969382884,5.699775812182527,3.430342517561868,3.410368640443058,11.713140867874365,13.514301216286205,22.58329501721319,6.143255686032915,19.222595775933925,3.455541770057899,11.895045635617159,43.309251387197506,9.693728400642208,10.765591206834134,11.269107001022826,10.133849074370936,13.125472719293759,10.567696087235667,206.52278448397317,11.899236431031895,3.259259259259259,14.641113640186179,2.814814814814815,4.673597204746435,6.648279660908948,18.939362087745923,23.708501261467518,3.0,16.30374687629502,6.407461080953675,3.037037037037037,15.296612381826034,1.4259259259259258,28.62401204768762,35.33511239368755,31.755779382608935,14.100348797582502,13.070999394189629,10.022380778170382,4.351851851851852,4.750130029263294,4.398148148148148,4.435185185185185,60.26765714602156,9.296296296296296,2.4537037037037037,17.109295795326368,10.743912438258649,11.834905137451042,11.192213418143853,6.282782367705999,6.252062644890999,7.427267067631967,5.514485433788551,3.814814814814815,19.192939396625903,11.032413600172934,13.656037514431452,13.052669435272364,9.36611350528303,174.05201428898167,4.75,33.559453605712044,2.7962962962962963,2.3055555555555554,12.280474586616208,11.462258969356059,6.272808514650939,4.844038626421715,3.963588936585531,15.493799042285987,36.692962456385764,6.422617816771042,12.114911858584607,12.090878115208882,8.528037065138008,11.969991342805292,4.120923301844354,8.026956354746002,14.849662785376397,50.58984128902703,87.61178604905643,2.2314814814814814,13.799563037996172,7.718586826186374,7.860754956233284,1.0092592592592593,5.2314292494559105,36.08178314552742,11.61102511912492,50.990935042210104,5.465267174655723,6.892488919698296,3.462962962962963,24.731007181168824,4.288952149979449,5.897185613418018,2.6688333117366763,5.342592592592593,4.37037037037037,5.315860416097404,438.4580559694251,25.553940086609803,4.788262910341026,7.640512870106325,3.425925925925926,12.773551120084733,160.37123936362266,22.511957273025317
Anthroposophy ,8.766779809389513,26.16572668024872,31.219504779510572,579.0533684974487,47.14763779605291,31.171293276394255,73.77953131078009,4.537037037037037,0.0,116.29533338067131,25.075042420144513,21.863414564351142,5.055555555555555,34.52217908905153,27.887752174138015,4.962962962962963,31.082460165356583,38.994789755659845,75.04031812676325,47.30312273853219,28.951599789010974,14.905953973674611,32.92746183130628,94.10426845795672,8.38888888888889,120.55356381446272,21.047529219887938,13.089768593741574,5.9934489740889845,5.851851851851852,23.625409641822277,5.731481481481482,93.19641715345757,6.925925925925926,2769.0883248833966,10.230145249647878,14.359252992386253,9.161571924146202,39.70206862541845,62.97617056682463,107.5937275967708,75.45499309970474,107.4179264198296,9.342202881183407,19.73504907676807,90.05777513670793,45.32714649848066,56.634489688403676,25.162421903156176,26.206627782882634,22.909237709657045,31.607681566940776,771.7056683117136,63.352952182409155,6.62962962962963,34.65744643052885,4.537037037037037,8.388160164656393,26.113449055886868,82.63678832326092,67.40036853424547,5.7407407407407405,26.681372835094063,19.463141627004152,3.0925925925925926,30.033424974775343,5.092592592592593,83.79808507204669,64.97715115335497,109.99287069540806,50.431155848580644,63.52698453855431,26.5341847931739,7.148148148148148,29.49223681104168,6.064814814814815,6.12037037037037,335.8000509458903,9.444444444444445,6.25,29.594112989860015,40.673443608316475,17.19374529890382,32.77881545183472,25.407091855677415,80.28059038690728,37.56466666657062,16.169180235697056,8.944444444444445,49.46450653236319,66.71041295599878,33.68564218041325,81.46992122334133,36.74518640605248,264.29857266341975,6.194444444444445,144.61805073604842,7.796296296296297,4.5092592592592595,97.25759138495727,62.265801864229694,76.5546704253883,32.892475095446244,9.43064490663053,29.84668032628087,95.20209016410355,11.832300895053129,53.29668384571362,33.500528496071595,26.953117861646703,16.016060862755605,8.994807254768991,20.788965499646103,37.73951681059941,84.36874634858631,282.71393735582905,4.601851851851852,59.21690785925702,20.36459031494424,33.904329980281304,5.157407407407407,20.117240328721117,84.80274971255888,58.61719280556423,414.33047014768505,15.846615515112878,25.24161575239415,6.37037037037037,56.14449290203687,13.765300229241243,14.647409908453076,6.895971972299007,4.0092592592592595,8.685185185185185,23.038738750300325,1687.6547833844281,83.34857912090943,12.433423497208404,16.4539067386354,6.611111111111111,49.26321978398004,268.19994786676244,51.72008144280506
Armenian Apostolic Church ,12.378672599088759,5.925405892736858,17.51383100977592,13.71034571485303,15.847242572421473,40.89947883092527,4.72947252528325,28.254051129324154,116.29533338067131,0.0,110.81798012909539,15.952677293360082,14.122568877442914,54.507833295707314,5.9900350307015415,34.28334944263856,3.323393567604733,8.94303344523422,4.40544309750388,1.9299887375284288,10.391045550206034,20.659414430486322,59.134746728452235,2.125526125632398,25.380213404177766,9.892556900522711,311.57621544823706,111.00075580315324,25.556542989612936,12.733703405656453,9.132807931885273,67.9495952141817,5.932805610834324,30.104915901606464,10.077661942619947,10.370226404501974,6.414112006717317,9.310641087274531,4.858821010831371,6.792115155364752,5.888343500577276,11.524594625842717,1.2550189685471567,9.057597104427458,34.38742607705382,5.716311753489357,9.330677453822902,2.257732926750124,9.582886786638275,11.908748801681293,11.756741552933978,8.86708789827546,12.82348111520493,7.2758432629790715,8.665893045802678,2.7623013829105747,13.571781951069724,19.787585407780668,11.902479515917811,1.3644072436285575,69.72639500839584,54.09014140835656,7.620827179856672,8.085571329329552,106.78778800372142,7.249833920113658,8.808862725285408,1.5716949694219067,31.547472591276605,14.293098741509302,3.469302422207241,4.602670672423728,15.056601622818516,20.376777332089706,27.02779110267861,147.16880307181933,100.01261109838404,7.192669826064551,286.4304970684013,8.844755150254707,75.22168657583768,10.999860242941184,7.873607950016823,12.084202711176795,3.5608918656749378,11.492639381992134,8.866848386584444,10.560462102704424,14.648197901027336,4.569792907199548,6.260241884919901,7.130838792648043,1.7004619831995897,2.2662475734541925,6.979891698246671,19.169568526498185,2.8729984689017947,11.139772172352592,46.66390488922304,7.654368349418864,1.454162144172958,14.897500710717182,9.166771423771179,15.910498727460844,22.856369700270857,4.1402071614892355,7.966674789350447,2.59920983357255,7.979852977757616,21.856943761804146,11.559853422336403,14.618879638677871,9.394672398888789,6.108983024910702,28.375175010317047,6.122273042040287,60.05795838138876,8.386153004264607,20.247789147255624,12.904934219793981,18.939552971846624,28.26331567152712,2.0887709009296236,4.864750889883653,5.5639953380993585,24.442446146508196,27.05320155911418,54.61850018408235,6.630810007899875,18.102731658842522,4.910664495168756,295.42791908627765,188.57527248175361,29.94233109722923,14.539519182415459,8.275911438934557,18.757546216676403,29.49784019274437,9.568488112112643,25.715448233227907,16.03660692812062,4.924017092775478,33.68414219310716
