Religion,,A006,F001,F004,F005,F007,F009,F010,F050,F052,F062,F063,B009,E217,E218,E219,I001,A027,A029,A030,A032,A034,A035,A038,A039,A040,A041,A042,A043B,A044,A045,A165,A168,A168A,F022,A170,A173,E040,E041,F051,F053,F054,F064,F198,A025,A026,A046,A047,A048,A049,D018,D019,D022,D023,D024,D059,D060,D061,D081,E290,F114A,F114B,F114C,F114D,F114E,F115,F116,F117,F118,F119,F120,F121,F122,F123,F124,F128,F135A,F028,F028B,F029,F031,F032,F033,F065,F066,F067,F194,E220,E222,F202,A065,A098,E069_51,F102,F103,F104,F105,B017,F003,F051.1,F053.1,F054.1,F057,F060,A124_12,F203,F204,F205,G007_35_B,F025,F025_WVS,Religion
Adventist movement (Sunday observing),91416,1,0,0,0,0,0,0,1,0,0,10,0,1,1,0,10,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,8,5,10,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,1,1,1,4,1,1,1,1,1,1,1,1,5,1,1,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,2,1,2,0,0,0,0,0,0,0,1,0,1,0,0,1,3,0,0,4,2,20804000,Adventist movement (Sunday observing)
Adventist movement (Sunday observing),92336,1,0,0,0,0,0,0,1,0,0,10,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,10,10,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,1,8,8,1,1,1,8,8,8,7,7,7,7,8,8,0,0,8,7,7,0,0,0,0,0,0,0,0,10,0,2,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,4,2,20804000,Adventist movement (Sunday observing)
Adventist movement (Sunday observing),305160,1,3,0,0,0,0,0,1,0,0,10,0,1,10,0,10,0,0,0,0,0,1,0,0,1,1,1,0,0,0,2,0,2,0,2,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,10,1,10,10,0,1,1,10,1,1,1,10,1,1,0,0,10,3,3,0,0,0,0,0,0,0,0,1,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,2,20804000,Adventist movement (Sunday observing)
Adventist movement (Sunday observing),111939,1,0,0,0,0,0,0,1,0,0,10,0,9,7,0,9,0,0,1,1,0,1,0,1,1,0,0,0,0,0,2,0,0,0,10,9,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0,1,5,1,8,1,1,6,1,1,5,1,4,10,6,6,0,0,5,2,1,0,0,0,0,0,0,0,0,8,0,1,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,4,2,20804000,Adventist movement (Sunday observing)
Adventist movement (Sunday observing),305213,1,1,0,0,0,0,0,1,0,0,10,0,10,10,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,2,0,7,0,5,7,4,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,0,0,1,1,1,1,0,10,1,1,5,1,1,5,0,1,0,0,5,3,3,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,3,2,20804000,Adventist movement (Sunday observing)
Adventist movement (Sunday observing),306601,2,0,0,0,0,0,0,1,0,0,7,0,9,7,0,8,1,0,0,0,0,1,1,0,1,0,1,0,0,0,2,0,0,0,6,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,1,7,1,1,1,4,3,4,2,1,4,5,5,4,2,0,0,5,3,4,0,0,0,0,0,0,0,0,6,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,2,20804000,Adventist movement (Sunday observing)
Adventist movement (Sunday observing),305065,1,2,0,0,0,0,0,1,0,0,8,0,9,9,0,3,0,0,0,1,0,1,0,1,0,1,1,0,0,0,2,0,2,0,5,5,5,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,0,0,8,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,5,2,1,0,0,0,0,0,0,0,0,9,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,3,4,2,20804000,Adventist movement (Sunday observing)
Adventist movement (Sunday observing),305161,1,1,0,0,0,0,0,1,0,0,10,0,9,6,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,2,0,10,0,10,10,1,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,10,2,1,7,0,1,1,1,4,10,10,10,0,1,0,0,10,1,1,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,4,2,20804000,Adventist movement (Sunday observing)
Adventist movement (Sunday observing),306181,1,0,0,0,0,0,0,1,0,0,10,0,5,1,0,2,1,0,1,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,10,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,0,1,1,1,10,1,1,1,9,2,10,9,9,10,1,10,0,0,10,3,2,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,2,2,20804000,Adventist movement (Sunday observing)
Adventist movement (Sunday observing),111929,1,0,0,0,0,0,0,1,0,0,10,0,8,5,0,2,1,0,0,0,0,1,0,1,0,1,1,0,0,0,2,0,0,0,7,3,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,5,3,1,4,2,1,1,1,1,1,1,5,1,8,5,1,0,0,5,7,7,0,0,0,0,0,0,0,0,5,0,1,1,2,0,0,0,0,0,0,0,1,1,1,0,0,0,4,0,0,4,2,20804000,Adventist movement (Sunday observing)
Adventist movement (Sunday observing),306235,1,0,0,0,0,0,0,1,0,0,10,0,8,7,0,9,0,0,0,1,0,1,0,0,0,1,1,0,0,0,2,0,0,0,7,8,8,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,4,1,9,2,2,2,1,6,2,2,5,8,10,6,2,2,0,0,5,2,2,0,0,0,0,0,0,0,0,6,0,2,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,2,0,0,3,2,20804000,Adventist movement (Sunday observing)
Adventist movement (Sunday observing),91783,1,0,0,0,0,0,0,1,0,0,10,0,1,10,0,10,1,1,1,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,10,10,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,3,1,2,0,0,0,0,0,0,0,1,1,1,0,0,0,4,0,0,2,2,20804000,Adventist movement (Sunday observing)
Adventist movement (Sunday observing),306152,2,0,0,0,0,0,0,1,0,0,10,0,3,7,0,3,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,10,5,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,5,2,6,1,3,3,2,6,1,1,4,4,4,4,2,3,0,0,4,1,2,0,0,0,0,0,0,0,0,7,0,1,1,2,0,0,0,0,0,0,0,1,1,1,0,0,0,3,0,0,2,2,20804000,Adventist movement (Sunday observing)
Adventist movement (Sunday observing),305064,1,2,0,0,0,0,0,1,0,0,10,0,1,1,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,2,0,10,0,5,10,7,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,7,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,4,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,3,3,2,20804000,Adventist movement (Sunday observing)
Adventist movement (Sunday observing),111178,2,0,0,0,0,0,0,1,0,0,10,0,9,9,0,4,1,0,0,1,0,0,1,0,1,0,1,0,0,0,2,0,0,0,2,6,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,4,9,9,4,9,9,9,4,4,4,6,6,6,6,6,6,0,0,6,3,7,0,0,0,0,0,0,0,0,9,0,1,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,3,2,20804000,Adventist movement (Sunday observing)
Adventist movement (Sunday observing),304340,1,3,0,0,0,0,0,1,0,0,10,0,7,7,0,5,0,0,0,1,0,0,1,0,1,1,1,0,0,0,2,0,2,0,2,8,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0,0,2,1,1,1,0,8,3,1,8,1,1,0,1,1,0,0,1,2,2,0,0,0,0,0,0,0,0,7,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,4,2,20804000,Adventist movement (Sunday observing)
Adventist movement (Sunday observing),92899,1,0,0,0,0,0,0,1,0,0,10,0,9,10,0,9,1,0,0,1,0,1,0,1,1,0,0,0,0,0,2,0,0,0,10,9,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,2,1,0,0,0,0,0,0,0,0,3,0,2,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,3,2,20804000,Adventist movement (Sunday observing)
Adventist movement (Sunday observing),92315,2,0,0,0,0,0,0,1,0,0,10,0,1,1,0,4,1,1,0,0,1,1,0,0,1,0,0,0,0,0,2,0,0,0,8,10,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,1,1,1,1,2,1,1,1,3,5,7,1,4,4,2,0,0,10,7,1,0,0,0,0,0,0,0,0,5,0,2,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,3,0,0,1,2,20804000,Adventist movement (Sunday observing)
Adventist movement (Sunday observing),305322,2,0,0,0,0,0,0,1,0,0,10,0,9,9,0,8,1,0,0,1,0,0,1,0,0,0,1,0,0,0,2,0,0,0,10,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,4,1,1,1,4,1,1,1,1,1,1,1,1,3,1,1,0,0,1,4,3,0,0,0,0,0,0,0,0,6,0,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,4,2,20804000,Adventist movement (Sunday observing)
Adventist movement (Sunday observing),304442,1,1,0,0,0,0,0,1,0,0,10,0,10,10,0,10,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,10,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,0,0,5,1,1,1,0,1,1,1,2,2,2,2,1,1,0,0,2,7,3,0,0,0,0,0,0,0,0,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,3,2,20804000,Adventist movement (Sunday observing)
Adventist movement (Sunday observing),305228,2,3,0,0,0,0,0,1,0,0,10,0,5,1,0,5,0,1,0,1,0,1,1,0,1,0,0,0,0,0,2,0,5,0,5,10,4,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,0,0,1,1,1,1,0,1,1,1,5,5,5,5,5,1,0,0,10,7,1,0,0,0,0,0,0,0,0,1,3,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,1,4,2,20804000,Adventist movement (Sunday observing)
Adventist movement (Sunday observing),306319,1,0,0,0,0,0,0,1,0,0,10,0,7,8,0,8,0,0,1,1,0,1,1,1,0,0,0,0,0,0,2,0,0,0,6,8,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,3,1,9,1,1,1,1,3,1,1,1,1,1,10,1,1,0,0,9,2,2,0,0,0,0,0,0,0,0,6,0,3,1,2,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,4,2,20804000,Adventist movement (Sunday observing)
Adventist movement (Sunday observing),305239,1,3,0,0,0,0,0,1,0,0,10,0,1,1,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,2,0,8,0,10,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,4,2,20804000,Adventist movement (Sunday observing)
Adventist movement (Sunday observing),306582,1,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,6,6,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,5,0,0,1,1,1,0,1,1,1,0,1,1,10,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,10,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,2,20804000,Adventist movement (Sunday observing)
Adventist movement (Sunday observing),112108,1,0,0,0,0,0,0,1,0,0,10,0,1,5,0,10,1,0,0,1,0,1,0,0,0,1,1,0,0,0,2,0,0,0,8,8,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,2,1,1,1,1,1,1,1,1,1,5,7,5,5,0,3,0,0,5,7,1,0,0,0,0,0,0,0,0,10,0,3,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,2,20804000,Adventist movement (Sunday observing)
Adventist movement (Sunday observing),111644,2,0,0,0,0,0,0,1,0,0,10,0,5,1,0,3,1,1,0,0,1,1,0,0,0,0,1,0,0,0,2,0,0,0,8,10,10,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,4,1,2,1,7,1,1,8,1,1,1,1,1,1,1,1,0,0,1,2,1,0,0,0,0,0,0,0,0,2,0,2,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,3,2,20804000,Adventist movement (Sunday observing)
Adventist movement (Sunday observing),112111,1,0,0,0,0,0,0,1,0,0,10,0,8,7,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,2,0,0,0,10,8,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,5,1,5,1,3,1,1,4,8,1,1,1,1,1,1,1,0,0,1,2,1,0,0,0,0,0,0,0,0,7,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,2,20804000,Adventist movement (Sunday observing)
Adventist movement (Sunday observing),304940,2,4,0,0,0,0,0,1,0,0,10,0,6,7,0,9,0,0,1,0,0,0,1,0,1,1,1,0,0,0,2,0,8,0,8,8,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,0,0,6,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,2,3,0,0,0,0,0,0,0,0,8,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,4,2,20804000,Adventist movement (Sunday observing)
Adventist movement (Sunday observing),305210,1,1,0,0,0,0,0,1,0,0,10,0,1,2,0,6,0,1,0,0,0,1,0,0,1,1,1,0,0,0,2,0,5,0,8,7,4,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,1,1,1,1,0,10,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,3,3,2,20804000,Adventist movement (Sunday observing)
Adventist movement (Sunday observing),306588,1,0,0,0,0,0,0,1,0,0,10,0,0,6,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,2,0,0,0,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,5,1,0,2,1,1,1,2,1,1,1,1,1,1,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,20804000,Adventist movement (Sunday observing)
Adventist movement (Sunday observing),306398,3,0,0,0,0,0,0,1,0,0,10,0,10,10,0,2,1,0,1,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,10,10,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,10,10,10,10,10,10,10,10,10,10,8,1,1,1,1,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,2,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,3,2,20804000,Adventist movement (Sunday observing)
Adventist movement (Sunday observing),305000,1,1,0,0,0,0,0,1,0,0,10,0,5,7,0,8,0,0,0,1,0,1,0,0,1,1,1,0,0,0,2,0,5,0,10,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,3,3,1,1,0,6,2,1,6,3,1,5,6,1,0,0,5,1,1,0,0,0,0,0,0,0,0,7,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,4,2,20804000,Adventist movement (Sunday observing)
