Religion,,A006,F001,F004,F005,F007,F009,F010,F050,F052,F062,F063,B009,E217,E218,E219,I001,A027,A029,A030,A032,A034,A035,A038,A039,A040,A041,A042,A043B,A044,A045,A165,A168,A168A,F022,A170,A173,E040,E041,F051,F053,F054,F064,F198,A025,A026,A046,A047,A048,A049,D018,D019,D022,D023,D024,D059,D060,D061,D081,E290,F114A,F114B,F114C,F114D,F114E,F115,F116,F117,F118,F119,F120,F121,F122,F123,F124,F128,F135A,F028,F028B,F029,F031,F032,F033,F065,F066,F067,F194,E220,E222,F202,A065,A098,E069_51,F102,F103,F104,F105,B017,F003,F051.1,F053.1,F054.1,F057,F060,A124_12,F203,F204,F205,G007_35_B,F025,F025_WVS,Religion
Armenian Apostolic Church,14153,1,1,0,0,0,0,0,1,0,0,10,0,10,10,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,2,0,10,0,5,6,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,0,0,1,1,1,1,0,1,1,1,1,1,5,5,1,3,0,0,8,3,1,0,0,0,0,0,0,0,0,6,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,1,3,3,30202001,Armenian Apostolic Church
Armenian Apostolic Church,12888,2,1,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,3,1,2,0,0,2,3,2,10,8,0,0,0,1,0,1,2,0,0,0,0,1,0,1,2,1,1,2,0,0,0,4,0,0,0,0,5,1,0,0,1,3,8,10,1,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,30202001,Armenian Apostolic Church
Armenian Apostolic Church,14526,3,0,0,0,0,0,0,1,0,0,10,0,3,10,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,7,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,2,1,10,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,6,3,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,3,30202001,Armenian Apostolic Church
Armenian Apostolic Church,14231,1,1,0,0,0,0,0,1,0,0,10,0,7,9,0,7,0,0,1,1,0,0,0,0,1,0,0,1,0,0,2,0,1,0,5,7,5,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,3,1,0,0,0,0,0,0,0,0,7,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,4,2,2,3,30202001,Armenian Apostolic Church
Armenian Apostolic Church,15238,3,0,0,0,0,0,0,1,0,0,8,0,7,10,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,2,0,0,0,7,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,2,2,6,1,2,1,1,7,5,1,9,5,5,10,5,5,0,0,10,8,3,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,3,30202001,Armenian Apostolic Church
Armenian Apostolic Church,15391,1,0,0,0,0,0,0,1,0,0,10,0,10,10,0,8,0,0,1,1,0,0,0,0,1,1,0,0,0,0,2,0,0,0,7,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,3,1,0,0,0,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,3,30202001,Armenian Apostolic Church
Armenian Apostolic Church,12209,1,2,0,0,0,0,0,1,1,0,10,2,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,4,3,0,0,0,1,3,6,4,7,1,1,1,1,0,1,1,0,0,0,0,1,1,0,2,2,1,1,0,0,0,7,0,0,0,0,10,1,1,1,1,6,4,6,1,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,3,30202001,Armenian Apostolic Church
Armenian Apostolic Church,15327,1,0,0,0,0,0,0,1,0,0,10,0,7,7,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,2,0,0,0,6,5,5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,5,1,5,1,1,1,1,1,1,1,1,1,1,5,1,1,0,0,1,2,1,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,3,3,30202001,Armenian Apostolic Church
Armenian Apostolic Church,15187,1,0,0,0,0,0,0,1,0,0,10,0,10,10,0,7,1,1,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,5,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,0,1,1,1,1,1,1,1,1,1,1,1,3,5,1,1,0,0,1,3,3,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,30202001,Armenian Apostolic Church
Armenian Apostolic Church,13489,1,1,0,0,0,0,0,1,0,0,10,0,10,10,0,8,0,1,1,1,0,1,0,1,0,0,0,0,0,0,2,0,8,0,5,10,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0,5,3,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,4,3,4,3,30202001,Armenian Apostolic Church
